id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Magnolia Manor,8911 Highway 78,Huntsville,Madison,AL,35801,(938) 454-8010,Continuing Care Retirement Community,"Specialty Care, Skilled Nursing, Intermediate Care, Assisted Living",108,AL-ASL-98702,Alabama Department of Public Health,2024-05-01,80,True,False,True,https://www.huntsville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.749562,-86.582246
2,Madison Center,3178 Memorial Parkway,Madison,Madison,AL,35756,(205) 887-7013,Intermediate Care Facility,"Memory Care, Independent Living",70,AL-ASL-50210,Alabama Department of Public Health,2024-07-10,85,False,False,False,https://www.madison-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.726037,-86.738246
3,Pine House,4902 University Boulevard,Huntsville,Madison,AL,35803,(251) 937-9244,Intermediate Care Facility,"Skilled Nursing, Continuing Care, Adult Day Care",102,AL-ASL-38719,Alabama Department of Public Health,2024-09-24,85,True,False,False,https://www.huntsville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.750604,-86.575424
4,Manor Care Center,9342 University Boulevard,Madison,Madison,AL,35757,(659) 956-9387,Memory Care Community,"Intermediate Care, Respite Care, Adult Day Care",126,AL-ASL-57598,Alabama Department of Public Health,2024-07-13,83,False,True,False,https://www.madison-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.720596,-86.729815
5,Maple Plaza,2744 Government Street,Meridianville,Madison,AL,35824,(659) 441-4809,Skilled Nursing Facility,"Continuing Care, Assisted Living, Independent Living, Specialty Care",114,AL-ASL-88451,Alabama Department of Public Health,2024-12-06,96,True,False,False,https://www.meridianville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.166902,-88.197314
6,Meridianville Gardens,3936 Madison Boulevard,Meridianville,Madison,AL,35819,(659) 856-6517,Intermediate Care Facility,"Memory Care, Assisted Living",95,AL-ASL-72610,Alabama Department of Public Health,2024-09-16,76,True,True,True,https://www.meridianville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,33.633734,-86.901777
7,Plantation Court,2766 Highway 65,Huntsville,Madison,AL,35805,(205) 433-4524,Memory Care Community,"Assisted Living, Independent Living, Intermediate Care",124,AL-ASL-70512,Alabama Department of Public Health,2024-02-10,83,False,False,False,https://www.huntsville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,34.758763,-86.562172
8,Village House,1321 Spring Hill Avenue,Meridianville,Madison,AL,35826,(251) 796-5457,Skilled Nursing Facility,"Skilled Nursing, Adult Day Care, Respite Care, Assisted Living",117,AL-ASL-18411,Alabama Department of Public Health,2024-09-28,84,True,True,True,https://www.meridianville-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,32.592135,-84.902978
9,Manor Commons,582 University Boulevard,Athens,Limestone,AL,35907,(659) 434-1024,Skilled Nursing Facility,"Specialty Care, Memory Care",128,AL-ASL-84232,Alabama Department of Public Health,2024-09-23,75,True,True,False,https://www.athens-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,30.496883,-86.805191
10,Manor Residence,9441 Old Madison Pike,Ardmore,Limestone,AL,36825,(251) 381-4631,Intermediate Care Facility,"Respite Care, Skilled Nursing, Continuing Care",54,AL-ASL-39040,Alabama Department of Public Health,2024-09-08,88,True,False,True,https://www.ardmore-senior-care.com,Active,Alabama Department of Public Health,2025-07-12,32.705559,-87.710643
