id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Northern Lights Manor,100 Main Street,Anchorage,Anchorage,AK,99501,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20001,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1681,-149.94029999999998
2,Denali Care Center,150 Alaska Street,Anchorage,Anchorage,AK,99502,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20002,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1781,-149.9303
3,Glacier View Commons,200 Frontier Avenue,Anchorage,Anchorage,AK,99503,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20003,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1881,-149.9203
4,Aurora Village,250 Northern Lights Boulevard,Anchorage,Anchorage,AK,99504,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20004,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.1981,-149.91029999999998
5,Midnight Sun Manor,300 Denali Street,Anchorage,Anchorage,AK,99505,(907) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,19,AK-ALF-20005,Alaska Department of Health and Social Services,2024-07-05,74,False,True,True,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.2081,-149.9003
6,Tundra Winds Care,350 Glacier Avenue,Anchorage,Anchorage,AK,99506,(907) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,20,AK-ALF-20006,Alaska Department of Health and Social Services,2024-08-06,75,False,False,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.2181,-149.8903
7,Frontier Living,400 Aurora Street,Anchorage,Anchorage,AK,99507,(907) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,21,AK-ALF-20007,Alaska Department of Health and Social Services,2024-09-07,76,True,True,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.2281,-149.88029999999998
8,Seward's Haven,450 Midnight Sun Drive,Anchorage,Anchorage,AK,99508,(907) 207-1007,Senior Living,Assisted Living; Independent Living; Memory Care,22,AK-ALF-20008,Alaska Department of Health and Social Services,2024-10-08,77,False,False,False,https://www.anchorage-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.2381,-149.8703
9,Northern Lights Manor,100 Main Street,Fairbanks,Fairbanks North Star,AK,99509,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20009,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.7878,-147.75639999999999
10,Denali Care Center,150 Alaska Street,Fairbanks,Fairbanks North Star,AK,99510,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20010,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.7978,-147.7464
11,Glacier View Commons,200 Frontier Avenue,Fairbanks,Fairbanks North Star,AK,99511,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20011,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.8078,-147.7364
12,Aurora Village,250 Northern Lights Boulevard,Fairbanks,Fairbanks North Star,AK,99512,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20012,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.8178,-147.72639999999998
13,Midnight Sun Manor,300 Denali Street,Fairbanks,Fairbanks North Star,AK,99513,(907) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,19,AK-ALF-20013,Alaska Department of Health and Social Services,2024-07-05,74,False,True,True,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.8278,-147.7164
14,Tundra Winds Care,350 Glacier Avenue,Fairbanks,Fairbanks North Star,AK,99514,(907) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,20,AK-ALF-20014,Alaska Department of Health and Social Services,2024-08-06,75,False,False,False,https://www.fairbanksnorthstar-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,64.8378,-147.7064
15,Northern Lights Manor,100 Main Street,Juneau,Juneau,AK,99515,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20015,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.251900000000006,-134.4597
16,Denali Care Center,150 Alaska Street,Juneau,Juneau,AK,99516,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20016,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.261900000000004,-134.4497
17,Glacier View Commons,200 Frontier Avenue,Juneau,Juneau,AK,99517,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20017,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.2719,-134.43970000000002
18,Aurora Village,250 Northern Lights Boulevard,Juneau,Juneau,AK,99518,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20018,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.2819,-134.4297
19,Midnight Sun Manor,300 Denali Street,Juneau,Juneau,AK,99519,(907) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,19,AK-ALF-20019,Alaska Department of Health and Social Services,2024-07-05,74,False,True,True,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.291900000000005,-134.4197
20,Tundra Winds Care,350 Glacier Avenue,Juneau,Juneau,AK,99520,(907) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,20,AK-ALF-20020,Alaska Department of Health and Social Services,2024-08-06,75,False,False,False,https://www.juneau-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,58.3019,-134.40970000000002
21,Northern Lights Manor,100 Main Street,Kenai,Kenai Peninsula,AK,99521,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20021,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.504400000000004,-151.29829999999998
22,Denali Care Center,150 Alaska Street,Kenai,Kenai Peninsula,AK,99522,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20022,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.5144,-151.2883
23,Glacier View Commons,200 Frontier Avenue,Kenai,Kenai Peninsula,AK,99523,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20023,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.5244,-151.2783
24,Aurora Village,250 Northern Lights Boulevard,Kenai,Kenai Peninsula,AK,99524,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20024,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.5344,-151.26829999999998
25,Midnight Sun Manor,300 Denali Street,Kenai,Kenai Peninsula,AK,99525,(907) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,19,AK-ALF-20025,Alaska Department of Health and Social Services,2024-07-05,74,False,True,True,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.5444,-151.2583
26,Tundra Winds Care,350 Glacier Avenue,Kenai,Kenai Peninsula,AK,99526,(907) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,20,AK-ALF-20026,Alaska Department of Health and Social Services,2024-08-06,75,False,False,False,https://www.kenaipeninsula-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,60.5544,-151.2483
27,Northern Lights Manor,100 Main Street,Ketchikan,Ketchikan Gateway,AK,99527,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20027,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.ketchikangateway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.2922,-131.68609999999998
28,Denali Care Center,150 Alaska Street,Ketchikan,Ketchikan Gateway,AK,99528,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20028,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.ketchikangateway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.3022,-131.6761
29,Glacier View Commons,200 Frontier Avenue,Ketchikan,Ketchikan Gateway,AK,99529,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20029,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.ketchikangateway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.3122,-131.6661
30,Aurora Village,250 Northern Lights Boulevard,Ketchikan,Ketchikan Gateway,AK,99530,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20030,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.ketchikangateway-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,55.322199999999995,-131.65609999999998
31,Northern Lights Manor,100 Main Street,Kodiak,Kodiak Island,AK,99531,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20031,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.kodiakisland-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.74,-152.44719999999998
32,Denali Care Center,150 Alaska Street,Kodiak,Kodiak Island,AK,99532,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20032,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.kodiakisland-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.75,-152.4372
33,Glacier View Commons,200 Frontier Avenue,Kodiak,Kodiak Island,AK,99533,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20033,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.kodiakisland-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.76,-152.4272
34,Aurora Village,250 Northern Lights Boulevard,Kodiak,Kodiak Island,AK,99534,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20034,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.kodiakisland-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,57.769999999999996,-152.41719999999998
35,Northern Lights Manor,100 Main Street,Wasilla,Matanuska-Susitna,AK,99535,(907) 200-1000,Senior Living,Assisted Living; Independent Living; Memory Care,15,AK-ALF-20035,Alaska Department of Health and Social Services,2024-03-01,70,True,True,True,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.8239,-149.0994
36,Denali Care Center,150 Alaska Street,Wasilla,Matanuska-Susitna,AK,99536,(907) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,16,AK-ALF-20036,Alaska Department of Health and Social Services,2024-04-02,71,False,False,False,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.8339,-149.0894
37,Glacier View Commons,200 Frontier Avenue,Wasilla,Matanuska-Susitna,AK,99537,(907) 202-1002,Senior Living,Personal Care; Adult Day Services; Dementia Care,17,AK-ALF-20037,Alaska Department of Health and Social Services,2024-05-03,72,False,True,False,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.8439,-149.07940000000002
38,Aurora Village,250 Northern Lights Boulevard,Wasilla,Matanuska-Susitna,AK,99538,(907) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Nursing Care,18,AK-ALF-20038,Alaska Department of Health and Social Services,2024-06-04,73,True,False,False,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.853899999999996,-149.0694
39,Midnight Sun Manor,300 Denali Street,Wasilla,Matanuska-Susitna,AK,99539,(907) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,19,AK-ALF-20039,Alaska Department of Health and Social Services,2024-07-05,74,False,True,True,https://www.matanuskasusitna-senior-living.com,Active,Alaska Department of Health and Social Services,2025-07-17,61.8639,-149.0594
