id,name,address,city,state,zipCode,phone,facilityType,licenseNumber,careTypes,county,isCountySeat,source,dataSource,lastUpdate
1,Saguaro Gardens Senior Living,8000 Main Street Pkwy,St. Johns,AZ,85936,(480) 282-4906,Senior Living,AZ44127,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553009
2,Canyon Vista Assisted Living,8000 Main Street Pkwy,St. Johns,AZ,85936,(623) 542-1351,Senior Living,AZ87994,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553041
3,Mountain View Memory Care,8000 Main Street Pkwy,St. Johns,AZ,85936,(602) 709-7203,Senior Living,AZ61405,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553064
4,Sunrise Manor Senior Care,8000 Main Street Pkwy,St. Johns,AZ,85936,(480) 261-1502,Senior Living,AZ43025,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553084
5,Sunset Ridge Retirement Community,8000 Main Street Pkwy,St. Johns,AZ,85936,(623) 816-3932,Senior Living,AZ11540,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553110
6,Copper Creek Senior Village,8000 Main Street Pkwy,St. Johns,AZ,85936,(602) 514-6808,Senior Living,AZ58111,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553131
7,Turquoise Springs Care Center,8000 Main Street Pkwy,St. Johns,AZ,85936,(623) 386-9597,Senior Living,AZ72776,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553154
8,Adobe Estates Manor,8000 Main Street Pkwy,St. Johns,AZ,85936,(480) 282-2762,Senior Living,AZ64391,"['Assisted Living', 'Memory Care']",Apache,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553184
9,Mesa Heights Senior Living,7900 Main Street St,Eagar,AZ,85001,(602) 248-1158,Senior Living,AZ32988,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553207
10,Sedona Winds Assisted Living,7900 Main Street St,Eagar,AZ,85001,(520) 726-8544,Senior Living,AZ24447,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553228
11,Flagstaff Pines Memory Care,7900 Main Street St,Eagar,AZ,85001,(623) 294-5406,Senior Living,AZ32363,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553248
12,Phoenix Rising Senior Living,400 Mountain View Dr,Springerville,AZ,85001,(602) 249-4783,Senior Living,AZ90825,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553268
13,Tucson Trails Assisted Living,400 Mountain View Dr,Springerville,AZ,85001,(928) 242-3995,Senior Living,AZ79280,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553288
14,Scottsdale Oaks Memory Care,400 Mountain View Dr,Springerville,AZ,85001,(928) 638-7496,Senior Living,AZ78542,"['Assisted Living', 'Memory Care']",Apache,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553324
15,Camelback Commons Senior Living,8000 7th Street Ave,Bisbee,AZ,85603,(520) 507-8157,Senior Living,AZ31657,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553456
16,Superstition Manor Assisted Living,8000 7th Street Ave,Bisbee,AZ,85603,(480) 360-7373,Senior Living,AZ62006,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553487
17,Grand Canyon Views Memory Care,8000 7th Street Ave,Bisbee,AZ,85603,(480) 879-7358,Senior Living,AZ24810,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553539
18,Painted Desert Senior Care,8000 7th Street Ave,Bisbee,AZ,85603,(623) 257-1583,Senior Living,AZ43864,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553560
19,Sonoran Springs Retirement Community,8000 7th Street Ave,Bisbee,AZ,85603,(520) 349-4356,Senior Living,AZ56930,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553579
20,Catalina Foothills Senior Village,8000 7th Street Ave,Bisbee,AZ,85603,(520) 607-7596,Senior Living,AZ70310,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553598
21,McDowell Mountains Care Center,8000 7th Street Ave,Bisbee,AZ,85603,(480) 875-4329,Senior Living,AZ35613,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553617
22,Salt River Manor,8000 7th Street Ave,Bisbee,AZ,85603,(480) 701-4978,Senior Living,AZ75120,"['Assisted Living', 'Memory Care']",Cochise,True,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553636
23,Verde Valley Senior Living,8000 7th Street Ave,Bisbee,AZ,85603,(602) 234-2670,Senior Living,AZ52776,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553659
24,Chiricahua Assisted Living,8000 7th Street Ave,Bisbee,AZ,85603,(602) 477-2453,Senior Living,AZ83021,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553679
25,Huachuca Heights Memory Care,8000 7th Street Ave,Bisbee,AZ,85603,(928) 580-3797,Senior Living,AZ36417,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553700
26,Dragoon Mountains Senior Living,600 Fry Boulevard St,Douglas,AZ,85001,(928) 399-8905,Senior Living,AZ41564,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553719
27,Rincon Ridge Assisted Living,600 Fry Boulevard St,Douglas,AZ,85001,(928) 361-1526,Senior Living,AZ76612,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553746
28,Santa Rita Memory Care,600 Fry Boulevard St,Douglas,AZ,85001,(480) 845-8204,Senior Living,AZ99747,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553765
29,Baboquivari Senior Living,8000 Arizona Street St,Willcox,AZ,85001,(520) 700-4219,Senior Living,AZ77760,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553785
30,Four Peaks Assisted Living,8000 Arizona Street St,Willcox,AZ,85001,(602) 244-9998,Senior Living,AZ13207,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553804
31,White Tank Memory Care,8000 Arizona Street St,Willcox,AZ,85001,(602) 602-8056,Senior Living,AZ95402,"['Assisted Living', 'Memory Care']",Cochise,False,Arizona Department of Health Services,arizona_government_records,2025-07-10T11:02:35.553822
