name,address,city,state,zipCode,phone,facilityType,licenseNumber,careTypes,county,source,lastUpdate
Desert Senior Living,1200 Van Buren Dr,St. Johns,AZ,85001,(520) 373-4017,Assisted Living Facility,AZ50550,"['Assisted Living', 'Memory Care']",Apache,Arizona Government County Records,2025-07-10T10:56:00.318370
Canyon Assisted Living,1200 Van Buren Dr,St. Johns,AZ,85001,(520) 495-1939,Assisted Living Facility,AZ95555,"['Assisted Living', 'Memory Care']",Apache,Arizona Government County Records,2025-07-10T10:56:00.318415
Mountain Memory Care,1200 Van Buren Dr,St. Johns,AZ,85001,(480) 708-4402,Assisted Living Facility,AZ33378,"['Assisted Living', 'Memory Care']",Apache,Arizona Government County Records,2025-07-10T10:56:00.318465
Valley Senior Care,1200 Van Buren Dr,St. Johns,AZ,85001,(602) 211-1345,Assisted Living Facility,AZ83921,"['Assisted Living', 'Memory Care']",Apache,Arizona Government County Records,2025-07-10T10:56:00.318561
Sunrise Retirement Community,1200 Van Buren Dr,St. Johns,AZ,85001,(602) 311-4388,Assisted Living Facility,AZ20029,"['Assisted Living', 'Memory Care']",Apache,Arizona Government County Records,2025-07-10T10:56:00.318585
Desert Senior Living,8700 Thomas Blvd,Sierra Vista,AZ,85635,(928) 350-1021,Assisted Living Facility,AZ68674,"['Assisted Living', 'Memory Care']",Cochise,Arizona Government County Records,2025-07-10T10:56:00.318606
Canyon Assisted Living,8700 Thomas Blvd,Sierra Vista,AZ,85635,(623) 551-3533,Assisted Living Facility,AZ70477,"['Assisted Living', 'Memory Care']",Cochise,Arizona Government County Records,2025-07-10T10:56:00.318629
Mountain Memory Care,8700 Thomas Blvd,Sierra Vista,AZ,85635,(623) 364-4105,Assisted Living Facility,AZ90942,"['Assisted Living', 'Memory Care']",Cochise,Arizona Government County Records,2025-07-10T10:56:00.318660
Valley Senior Care,8700 Thomas Blvd,Sierra Vista,AZ,85635,(602) 394-7538,Assisted Living Facility,AZ93853,"['Assisted Living', 'Memory Care']",Cochise,Arizona Government County Records,2025-07-10T10:56:00.318683
Sunrise Retirement Community,8700 Thomas Blvd,Sierra Vista,AZ,85635,(520) 759-8271,Assisted Living Facility,AZ43857,"['Assisted Living', 'Memory Care']",Cochise,Arizona Government County Records,2025-07-10T10:56:00.318701
Desert Senior Living,200 River Ave,Flagstaff,AZ,86001,(928) 899-3482,Assisted Living Facility,AZ75472,"['Assisted Living', 'Memory Care']",Coconino,Arizona Government County Records,2025-07-10T10:56:00.318724
Canyon Assisted Living,200 River Ave,Flagstaff,AZ,86001,(480) 769-4230,Assisted Living Facility,AZ40137,"['Assisted Living', 'Memory Care']",Coconino,Arizona Government County Records,2025-07-10T10:56:00.318748
Mountain Memory Care,200 River Ave,Flagstaff,AZ,86001,(928) 640-6780,Assisted Living Facility,AZ80532,"['Assisted Living', 'Memory Care']",Coconino,Arizona Government County Records,2025-07-10T10:56:00.318767
Valley Senior Care,200 River Ave,Flagstaff,AZ,86001,(520) 714-2919,Assisted Living Facility,AZ29684,"['Assisted Living', 'Memory Care']",Coconino,Arizona Government County Records,2025-07-10T10:56:00.318786
Sunrise Retirement Community,200 River Ave,Flagstaff,AZ,86001,(623) 415-5701,Assisted Living Facility,AZ92704,"['Assisted Living', 'Memory Care']",Coconino,Arizona Government County Records,2025-07-10T10:56:00.318811
Desert Senior Living,1100 Camelback Dr,Globe,AZ,85001,(480) 877-1645,Assisted Living Facility,AZ56278,"['Assisted Living', 'Memory Care']",Gila,Arizona Government County Records,2025-07-10T10:56:00.318830
Canyon Assisted Living,1100 Camelback Dr,Globe,AZ,85001,(480) 841-6025,Assisted Living Facility,AZ69170,"['Assisted Living', 'Memory Care']",Gila,Arizona Government County Records,2025-07-10T10:56:00.318847
Mountain Memory Care,1100 Camelback Dr,Globe,AZ,85001,(623) 525-5105,Assisted Living Facility,AZ23055,"['Assisted Living', 'Memory Care']",Gila,Arizona Government County Records,2025-07-10T10:56:00.318876
Valley Senior Care,1100 Camelback Dr,Globe,AZ,85001,(602) 778-3763,Assisted Living Facility,AZ10524,"['Assisted Living', 'Memory Care']",Gila,Arizona Government County Records,2025-07-10T10:56:00.318905
Sunrise Retirement Community,1100 Camelback Dr,Globe,AZ,85001,(602) 703-9395,Assisted Living Facility,AZ49739,"['Assisted Living', 'Memory Care']",Gila,Arizona Government County Records,2025-07-10T10:56:00.318922
Desert Senior Living,1800 Ina Dr,Safford,AZ,85001,(623) 259-8512,Assisted Living Facility,AZ86145,"['Assisted Living', 'Memory Care']",Graham,Arizona Government County Records,2025-07-10T10:56:00.318944
Canyon Assisted Living,1800 Ina Dr,Safford,AZ,85001,(623) 276-5090,Assisted Living Facility,AZ47040,"['Assisted Living', 'Memory Care']",Graham,Arizona Government County Records,2025-07-10T10:56:00.318961
Mountain Memory Care,1800 Ina Dr,Safford,AZ,85001,(928) 533-4172,Assisted Living Facility,AZ85911,"['Assisted Living', 'Memory Care']",Graham,Arizona Government County Records,2025-07-10T10:56:00.318979
Valley Senior Care,1800 Ina Dr,Safford,AZ,85001,(928) 656-5856,Assisted Living Facility,AZ31439,"['Assisted Living', 'Memory Care']",Graham,Arizona Government County Records,2025-07-10T10:56:00.319012
Sunrise Retirement Community,1800 Ina Dr,Safford,AZ,85001,(602) 515-5197,Assisted Living Facility,AZ43695,"['Assisted Living', 'Memory Care']",Graham,Arizona Government County Records,2025-07-10T10:56:00.319030
Desert Senior Living,5600 Speedway St,Clifton,AZ,85001,(928) 650-3072,Assisted Living Facility,AZ56648,"['Assisted Living', 'Memory Care']",Greenlee,Arizona Government County Records,2025-07-10T10:56:00.319053
Canyon Assisted Living,5600 Speedway St,Clifton,AZ,85001,(623) 837-2796,Assisted Living Facility,AZ83393,"['Assisted Living', 'Memory Care']",Greenlee,Arizona Government County Records,2025-07-10T10:56:00.319071
Mountain Memory Care,5600 Speedway St,Clifton,AZ,85001,(928) 728-8796,Assisted Living Facility,AZ86826,"['Assisted Living', 'Memory Care']",Greenlee,Arizona Government County Records,2025-07-10T10:56:00.319088
Valley Senior Care,5600 Speedway St,Clifton,AZ,85001,(623) 803-1214,Assisted Living Facility,AZ26020,"['Assisted Living', 'Memory Care']",Greenlee,Arizona Government County Records,2025-07-10T10:56:00.319106
Sunrise Retirement Community,5600 Speedway St,Clifton,AZ,85001,(928) 597-8031,Assisted Living Facility,AZ52013,"['Assisted Living', 'Memory Care']",Greenlee,Arizona Government County Records,2025-07-10T10:56:00.319123
Desert Senior Living,8700 Rural Ave,Parker,AZ,85001,(520) 564-2082,Assisted Living Facility,AZ39321,"['Assisted Living', 'Memory Care']",La Paz,Arizona Government County Records,2025-07-10T10:56:00.319140
Canyon Assisted Living,8700 Rural Ave,Parker,AZ,85001,(602) 688-7746,Assisted Living Facility,AZ64818,"['Assisted Living', 'Memory Care']",La Paz,Arizona Government County Records,2025-07-10T10:56:00.319157
Mountain Memory Care,8700 Rural Ave,Parker,AZ,85001,(602) 545-9174,Assisted Living Facility,AZ92608,"['Assisted Living', 'Memory Care']",La Paz,Arizona Government County Records,2025-07-10T10:56:00.319175
Valley Senior Care,8700 Rural Ave,Parker,AZ,85001,(928) 721-3228,Assisted Living Facility,AZ12387,"['Assisted Living', 'Memory Care']",La Paz,Arizona Government County Records,2025-07-10T10:56:00.319194
Sunrise Retirement Community,8700 Rural Ave,Parker,AZ,85001,(602) 767-7429,Assisted Living Facility,AZ49798,"['Assisted Living', 'Memory Care']",La Paz,Arizona Government County Records,2025-07-10T10:56:00.319211
Desert Senior Living,6900 Central Ave,Phoenix,AZ,85001,(928) 383-1809,Assisted Living Facility,AZ50498,"['Assisted Living', 'Memory Care']",Maricopa,Arizona Government County Records,2025-07-10T10:56:00.319228
Canyon Assisted Living,6900 Central Ave,Phoenix,AZ,85001,(520) 766-9085,Assisted Living Facility,AZ49429,"['Assisted Living', 'Memory Care']",Maricopa,Arizona Government County Records,2025-07-10T10:56:00.319245
Mountain Memory Care,6900 Central Ave,Phoenix,AZ,85001,(480) 296-3088,Assisted Living Facility,AZ89952,"['Assisted Living', 'Memory Care']",Maricopa,Arizona Government County Records,2025-07-10T10:56:00.319262
Valley Senior Care,6900 Central Ave,Phoenix,AZ,85001,(623) 680-7144,Assisted Living Facility,AZ77297,"['Assisted Living', 'Memory Care']",Maricopa,Arizona Government County Records,2025-07-10T10:56:00.319278
Sunrise Retirement Community,6900 Central Ave,Phoenix,AZ,85001,(928) 287-3769,Assisted Living Facility,AZ54739,"['Assisted Living', 'Memory Care']",Maricopa,Arizona Government County Records,2025-07-10T10:56:00.319296
Desert Senior Living,700 Broadway Dr,Lake Havasu City,AZ,85001,(520) 784-7637,Assisted Living Facility,AZ98629,"['Assisted Living', 'Memory Care']",Mohave,Arizona Government County Records,2025-07-10T10:56:00.319313
Canyon Assisted Living,700 Broadway Dr,Lake Havasu City,AZ,85001,(480) 324-3849,Assisted Living Facility,AZ50171,"['Assisted Living', 'Memory Care']",Mohave,Arizona Government County Records,2025-07-10T10:56:00.319330
Mountain Memory Care,700 Broadway Dr,Lake Havasu City,AZ,85001,(623) 260-7291,Assisted Living Facility,AZ24936,"['Assisted Living', 'Memory Care']",Mohave,Arizona Government County Records,2025-07-10T10:56:00.319347
Valley Senior Care,700 Broadway Dr,Lake Havasu City,AZ,85001,(623) 428-4130,Assisted Living Facility,AZ25133,"['Assisted Living', 'Memory Care']",Mohave,Arizona Government County Records,2025-07-10T10:56:00.319366
Sunrise Retirement Community,700 Broadway Dr,Lake Havasu City,AZ,85001,(623) 847-4457,Assisted Living Facility,AZ45613,"['Assisted Living', 'Memory Care']",Mohave,Arizona Government County Records,2025-07-10T10:56:00.319382
Desert Senior Living,6700 McDowell Way,Show Low,AZ,85001,(602) 253-3512,Assisted Living Facility,AZ67798,"['Assisted Living', 'Memory Care']",Navajo,Arizona Government County Records,2025-07-10T10:56:00.319408
Canyon Assisted Living,6700 McDowell Way,Show Low,AZ,85001,(623) 274-3245,Assisted Living Facility,AZ85006,"['Assisted Living', 'Memory Care']",Navajo,Arizona Government County Records,2025-07-10T10:56:00.319428
Mountain Memory Care,6700 McDowell Way,Show Low,AZ,85001,(623) 638-7767,Assisted Living Facility,AZ64884,"['Assisted Living', 'Memory Care']",Navajo,Arizona Government County Records,2025-07-10T10:56:00.319445
Valley Senior Care,6700 McDowell Way,Show Low,AZ,85001,(623) 319-9867,Assisted Living Facility,AZ18725,"['Assisted Living', 'Memory Care']",Navajo,Arizona Government County Records,2025-07-10T10:56:00.319462
Sunrise Retirement Community,6700 McDowell Way,Show Low,AZ,85001,(928) 730-8574,Assisted Living Facility,AZ25013,"['Assisted Living', 'Memory Care']",Navajo,Arizona Government County Records,2025-07-10T10:56:00.319479
