id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Razorback Manor,1000 Main Street,DeWitt,Arkansas,AR,71001,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80001,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.arkansas-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.1764,-91.37540000000001
2,Natural State Village,1100 Arkansas Avenue,DeWitt,Arkansas,AR,71002,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80002,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.arkansas-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.1864,-91.36540000000001
3,Ozark Mountain Commons,1200 Razorback Boulevard,DeWitt,Arkansas,AR,71003,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80003,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.arkansas-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.1964,-91.3554
4,Arkansas River Village,1300 Natural State Drive,DeWitt,Arkansas,AR,71004,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80004,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.arkansas-senior-living.com,Active,Arkansas Department of Health,2025-07-17,34.206399999999995,-91.34540000000001
5,Razorback Manor,1000 Main Street,Hamburg,Ashley,AR,71005,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80005,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.ashley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1764,-91.7754
6,Natural State Village,1100 Arkansas Avenue,Hamburg,Ashley,AR,71006,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80006,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.ashley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1864,-91.7654
7,Ozark Mountain Commons,1200 Razorback Boulevard,Hamburg,Ashley,AR,71007,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80007,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.ashley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.1964,-91.7554
8,Arkansas River Village,1300 Natural State Drive,Hamburg,Ashley,AR,71008,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80008,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.ashley-senior-living.com,Active,Arkansas Department of Health,2025-07-17,33.206399999999995,-91.7454
9,Razorback Manor,1000 Main Street,Mountain Home,Baxter,AR,71009,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80009,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.baxter-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.226400000000005,-92.47540000000001
10,Natural State Village,1100 Arkansas Avenue,Mountain Home,Baxter,AR,71010,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80010,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.baxter-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.2364,-92.4654
11,Ozark Mountain Commons,1200 Razorback Boulevard,Mountain Home,Baxter,AR,71011,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80011,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.baxter-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.2464,-92.4554
12,Arkansas River Village,1300 Natural State Drive,Mountain Home,Baxter,AR,71012,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80012,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.baxter-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.2564,-92.4454
13,Razorback Manor,1000 Main Street,Bentonville,Benton,AR,71013,(501) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,AR-ALF-80013,Arkansas Department of Health,2024-03-01,75,True,True,True,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.319700000000005,-94.2488
14,Natural State Village,1100 Arkansas Avenue,Bentonville,Benton,AR,71014,(502) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,AR-ALF-80014,Arkansas Department of Health,2024-04-02,76,False,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3297,-94.2388
15,Ozark Mountain Commons,1200 Razorback Boulevard,Bentonville,Benton,AR,71015,(503) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,AR-ALF-80015,Arkansas Department of Health,2024-05-03,77,False,True,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3397,-94.22879999999999
16,Arkansas River Village,1300 Natural State Drive,Bentonville,Benton,AR,71016,(504) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,AR-ALF-80016,Arkansas Department of Health,2024-06-04,78,True,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3497,-94.2188
17,Little Rock Commons,1400 Ozark Street,Bentonville,Benton,AR,71017,(505) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,AR-ALF-80017,Arkansas Department of Health,2024-07-05,79,False,True,True,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.359700000000004,-94.2088
18,Fayetteville Manor,1500 Little Rock Avenue,Bentonville,Benton,AR,71018,(506) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,AR-ALF-80018,Arkansas Department of Health,2024-08-06,80,False,False,False,https://www.benton-senior-living.com,Active,Arkansas Department of Health,2025-07-17,36.3697,-94.19879999999999
