X,Y,OBJECTID,Number,Legal_Name,Business_Name,Capacity_Per_PEU,Address,Address_2,City,County,Zip_Code,Phone_Number,Latitude,Longitude,CountyName
-118.188162,34.622667,1,1477270999,1ST CARING TRADITIONS,1ST CARING TRADITIONS,6,3234 TOURNAMENT DRIVE,,PALMDALE,Los Angeles,93551,661-441-0023,34.622839164291,-118.188201311126,Los Angeles County
-118.3023045,33.8300550000001,2,1316171846,HFL HARBOR GATEWAY HOMES           ,218TH STREET HOUSE                 ,6,1418 WEST 218TH STREET,,TORRANCE            ,Los Angeles,90501,3103377417,33.830275444053,-118.302307349847,Los Angeles County
-118.18242037,34.660335296,3,1265946065,"3FACES RANCH, LLC                  ","3FACES RANCH, LLC                  ",6,2851 WEST AVENUE L,313,LANCASTER           ,Los Angeles,93536,6614800912,34.660335295699,-118.182420369754,Los Angeles County
-118.3028805,33.8248170000001,4,1952535486,HFL HARBOR GATEWAY HOMES           ,223RD STREET HOUSE                 ,6,1435 WEST 223RD STREET,,TORRANCE            ,Los Angeles,90501,3103377417,33.824554814069,-118.30287706342,Los Angeles County
-121.202676,38.6950860000001,5,1952099863,"7121 MAIN, LLC","7121 MAIN, LLC",6,7121 MAIN AVENUE,,ORANGEVALE,SACRAMENTO,95662,707-430-1608,38.695086,-121.202676,Sacramento County
-117.574695,33.8693850000001,6,1528671633,ELIAA LLC                          ,A & J RESIDENTIAL CARE             ,6,1229 KELLEY AVENUE,,CORONA              ,Riverside,92882,9513399834,33.869406206215,-117.574925669975,Riverside County
-118.5725925,34.2588690000001,7,1053999003,LONGEVITY BOARD AND CARE LLC,A CARING TOUCH BOARD & CARE,6,10348 LARAMIE STREET,,CHATSWORTH,LOS ANGELES,91311,510-384-3431,34.258866317791,-118.572835323735,Los Angeles County
-122.4684855,37.6918470000001,8,1689257974,PACALDO LLC,A & J ASSISTED LIVING FACILITY,53,130 VALE ST,,DALY CITY,San Mateo,94014,6507550411,37.691575593975,-122.468481392867,San Mateo County
-118.462751419,34.0135343420001,9,1255063558,A CARING TOUCH BOARD AND CARE II LLC,A CARING TOUCH BOARD AND CARE II,6,2108 OAK STREET,,SANTA MONICA,Los Angeles,90405,818-477-2990,34.01353434151,-118.462751419204,Los Angeles County
-118.462482,34.013448,10,1720710023,A CARING TOUCH BOARD AND CARE III LLC,A CARING TOUCH BOARD AND CARE III,6,2110 OAK STREET,,SANTA MONICA,Los Angeles,90405,818-477-2990,34.013634581165,-118.462641088522,Los Angeles County
-117.479097,34.128837,11,1841884863,A AND E LOVING SENIOR HOME INC,A AND E LOVING SENIOR HOME,6,14931 OAKSPRING DR,,FONTANA,San Bernardino,92336,8054043934,34.129013355243,-117.479108567026,San Bernardino County
-121.3863615,38.412693,12,1083979116,A COZY RETIREMENT HOME             ,A COZY RETIREMENT HOME I           ,6,8616 BANFF VISTA DR,,ELK GROVE           ,Sacramento,95624,9165023008,38.412693,-121.3863615,Sacramento County
-117.6654105,33.6050280000001,13,1528419207,"A FAITHFUL HOME, LLC",A FAITHFUL HOME,6,26642 SALAMANCA DR,,MISSION VIEJO,ORANGE,92691,949-382-2818,33.605216257545,-117.665470179151,Orange County
-121.386609,38.413242,14,1083979116,A COZY RETIREMENT HOME             ,A COZY RETIREMENT HOME II          ,6,8609 BANFF VISTA DR,,ELK GROVE           ,Sacramento,95624,9165023008,38.413242,-121.386609,Sacramento County
-117.819225,34.0157970000001,15,1114639275,A BELOVED HOME OF DIAMOND BAR LLC,A BELOVED HOME OF DIAMOND BAR,6,454 S ROCK RIVER RD,,DIAMOND BAR,Los Angeles,91765,626-899-6999,34.015907389665,-117.819430775723,Los Angeles County
-117.3651255,34.0013970000001,16,1528731619,TUPOU FAMILY INC,A GOOD SAMARITAN,6,3839 STRONG STREET,,RIVERSIDE,Riverside,92501,9517425188,34.001212346673,-117.365252569652,Riverside County
-117.851409,33.8896080000001,17,1427636653     ,A MOTHER THERESA CARE              ,A MOTHER THERESA CARE              ,6,16192 CAIRO CIRCLE,,PLACENTIA           ,Orange,92870,9493948708,33.889783517052,-117.851409,Orange County
-118.483855363,34.2514409780001,18,1013609585,A PARADISE VILLA INC,A PARADISE VILLA,6,9925 COLLETT AVE,,NORTH HILLS,LOS ANGELES,91343,818-919-5595,34.25144097802,-118.483855363091,Los Angeles County
-118.19079,34.698267,19,1275245649,"A HOME FOR MOM & DAD, INC.",A HOME FOR MOM & DAD,6,44856 33RD STREET WEST,,LANCASTER,LOS ANGELES,93536,661-418-0016,34.698267586733,-118.19098647181,Los Angeles County
-116.979228,33.770448,20,1932826831,A PLACE OF LOVE SENIOR LIVING LLC,A PLACE OF LOVE,6,1360 N PALM AVE,,HEMET,RIVERSIDE,92543,310-592-5338,33.770430984737,-116.980525099516,Riverside County
-117.912078,34.0848090000001,21,1730845629,MDC FACILITY INC,A FAITHFUL HOME OF COVINA,6,1084 W GROVECENTER ST,,COVINA,Los Angeles,91722,6262449999,34.085008154019,-117.912089818483,Los Angeles County
-118.110906,34.6965930000001,22,1326579483,A.N.A RESIDENTIAL CARE LLC         ,A.N.A RESIDENTIAL CARE LLC         ,6,1046 E LANCASTER BLVD,,LANCASTER           ,Los Angeles,93535,6619490151,34.696827106556,-118.110907424924,Los Angeles County
-117.9333855,34.0914240000001,23,1477295954,MDC HOME CARE INC,A PEACEFUL HOME OF COVINA,6,16025 E BRIDGER ST,,COVINA,Los Angeles,91722,6262449999,34.091222499048,-117.933391954065,Los Angeles County
-118.5500475,34.3757880000001,24,1154193035,A SWEET HOME CARE,A SWEET HOME CARE,6,25141 HIGHSPRING AVE,,NEWHALL,LOS ANGELES,91321,661-476-5375,34.37579923175,-118.549838371516,Los Angeles County
-118.373967,34.1888490000001,25,1497453328,"A-1 BOARDING CARE, INC.",A-1 BOARDING CARE,6,6511 BONNER AVENUE,,NORTH HOLLYWOOD,LOS ANGELES,91606,818-691-3146,34.188849419095,-118.373751836546,Los Angeles County
-119.012229,35.315235,26,1639602154,TRU VISION LLC                     ,AAA RESIDENTIAL ELDERLY            ,6,4313 MONITOR STREET,,BAKERSFIELD         ,Kern,93307,6612136798,35.315235,-119.011909481851,Kern County
-118.617129,34.178724,27,1093310369     ,AAA JERUSALEM STAR INC             ,AAA JERUSALEM STAR INC             ,6,5945 CAPISTRANO AVENUE,,WOODLAND HILLS      ,Los Angeles,91367,8188881706,34.178722072162,-118.616860527641,Los Angeles County
-119.014101,35.3173770000001,28,1639602154,TRU VISION LLC,AAA RESIDENTIAL ELDERLY RETREAT #2,6,1013 WHITE LANE,,BAKERSFIELD,KERN,93307,661-213-6798,35.317583530094,-119.014101,Kern County
-119.008674,35.3107800000001,29,1639602154,TRU VISION LLC,AAA RSDNTL ELDRL RETREAT 3,6,4825 KENNY STREET,,BAKERSFIELD,KERN,93307,661-213-6798,35.310776395782,-119.008392116596,Kern County
-118.4405715,34.2978120000001,30,1508114505,ABBEY ROAD VILLA LLC,ABBEY ROAD VILLA LLC,78,14132 HUBBARD STREET,,SYLMAR,Los Angeles,91342,8188370077,34.298014255324,-118.440820693981,Los Angeles County
-118.440369,34.213419,31,1265153902,AAA QUALITY RESIDENTIAL CORP,AAA QUALITY RESIDENTIAL CARE FACILITY,6,7843 STANSBURY AVE,,PANORAMA CITY,Los Angeles,91402,818-433-4785,34.213418329448,-118.439995083299,Los Angeles County
-117.951759,33.733998,32,1326730920,ABK SWEET HOMECARE INC,ABK SWEET HOMECARE INC,6,10171 NORTHAMPTON AVE,,WESTMINSTER,ORANGE,92683,714-837-9198,33.733804880951,-117.951751288649,Orange County
-117.864261,33.88104,33,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE III                 ,6,1022 OXFORD DR,,PLACENTIA           ,Orange,92870,3109949181,33.881113509291,-117.864521509551,Orange County
-117.8384175,33.884982,34,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE II                  ,6,1255 BERING ST,,PLACENTIA           ,Orange,92870,3109949181,33.884982,-117.838168976571,Orange County
-117.818676,33.780897,35,1578955084,ABOVE ALL CARE FACILITY LLC        ,ABOVE ALL CARE I                   ,6,479 S WELLINGTON,,ORANGE              ,Orange,92869,3109949181,33.780897,-117.818902479024,Orange County
-117.2780595,34.128405,36,1952738445,MERE ENTERPRISES INC               ,ABRIA DEL CIELO                    ,240,1589 N WATERMAN AVE,,SAN BERNARDINO      ,San Bernardino,92404,9098844757,34.128415225922,-117.278759221277,San Bernardino County
-116.9050995,33.7464180000001,37,1841919248,GRACE AND LOVE RESIDENTIAL CARE HOME LLC,ABUNDANT GRACE SENIOR LIVING,6,43307 PUTTERS LANE,,HEMET,Riverside,92544,951-364-3754,33.746577339979,-116.905101427838,Riverside County
-117.249615,34.0589610000001,38,1104583228,ABSOLUTE QUALITY CARE HOME INC,ABSOLUTE QUALITY CARE HOME,6,10731 COLOMA STREET,,LOMA LINDA,San Bernardino,92354,9092531571,34.058960245629,-117.249828319436,San Bernardino County
-117.4824765,34.0790400000001,39,1770188013,AB'S HUMBLE HOME LLC               ,AB'S HUMBLE HOME #2                ,6,14798 CAMBRIA ST,,FONTANA             ,San Bernardino,92335,9093654265,34.078854843759,-117.482474991257,San Bernardino County
