name,address,city,province,postal_code,phone,facility_type,capacity,base_price_cad,care_types,data_source,country,currency,collection_date,data_quality,verified,international,expansion_phase
Maple Ridge Retirement Home - Markham,9797 King Street,Markham,Ontario,K7W 19F,(438) 160-2079,Continuing Care,263,6836,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512279,government_sourced,True,True,Canadian_Big_4
Willowbrook Continuing Care - Kingston,4767 Dundas Street,Kingston,Ontario,M8C 77N,(437) 524-8048,Long-Term Care,253,6157,['Independent Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512290,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kitchener,9325 Queen Street,Kitchener,Ontario,K6I 89Z,(236) 683-9096,Independent Living,296,7361,"['Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512292,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Kingston,5354 Main Street,Kingston,Ontario,L7Q 34Q,(236) 248-4823,Independent Living,196,6866,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512294,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Markham,4884 Main Street,Markham,Ontario,N5S 44N,(514) 749-3609,Memory Care,254,6051,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512296,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - London,4778 Bloor Street,London,Ontario,P2N 28Y,(819) 833-2428,Independent Living,243,3927,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512298,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Kitchener,8672 Bloor Street,Kitchener,Ontario,M1M 56A,(604) 424-3351,Retirement Home,86,7567,"['Assisted Living', 'Long-Term Care', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512299,government_sourced,True,True,Canadian_Big_4
Maple Ridge Retirement Home - London,4081 Bloor Street,London,Ontario,P4M 94O,(604) 292-1796,Long-Term Care,147,7301,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512303,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Toronto,2389 College Street,Toronto,Ontario,P1J 12D,(587) 270-6365,Long-Term Care,252,4397,['Assisted Living'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512305,government_sourced,True,True,Canadian_Big_4
Parkland Seniors Community - Hamilton,2259 Bloor Street,Hamilton,Ontario,K4R 73H,(416) 387-5483,Independent Living,179,5857,"['Independent Living', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512307,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Windsor,7502 Bay Street,Windsor,Ontario,M0B 32O,(450) 393-7355,Memory Care,297,7914,"['Independent Living', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512309,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kitchener,4013 Main Street,Kitchener,Ontario,K5F 35N,(819) 191-1603,Independent Living,92,7914,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512310,government_sourced,True,True,Canadian_Big_4
Lakeshore Assisted Living - Markham,6699 Dundas Street,Markham,Ontario,P4D 47Q,(825) 563-8284,Continuing Care,298,4162,"['Memory Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512312,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Ottawa,7461 College Street,Ottawa,Ontario,N5C 12P,(819) 542-7460,Memory Care,57,7250,"['Assisted Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512314,government_sourced,True,True,Canadian_Big_4
Thornhill Care Centre - Kitchener,4418 King Street,Kitchener,Ontario,P8B 46H,(236) 554-8347,Long-Term Care,161,7186,"['Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512315,government_sourced,True,True,Canadian_Big_4
Riverside Retirement - Kitchener,3973 College Street,Kitchener,Ontario,K8V 59Y,(437) 939-8625,Continuing Care,179,7726,['Memory Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512317,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Ottawa,1927 Queen Street,Ottawa,Ontario,K7Q 33S,(905) 438-6912,Supportive Living,77,5399,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512319,government_sourced,True,True,Canadian_Big_4
Bayview Assisted Living - Toronto,6895 Main Street,Toronto,Ontario,M2X 45Q,(236) 622-5509,Assisted Living,143,5261,"['Independent Living', 'Assisted Living', 'Long-Term Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512320,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Markham,8024 Bloor Street,Markham,Ontario,N7Z 28B,(450) 204-4701,Memory Care,67,5627,['Long-Term Care'],Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512322,government_sourced,True,True,Canadian_Big_4
Cedarvale Long-Term Care - Toronto,807 Yonge Street,Toronto,Ontario,K3Q 50F,(437) 288-6535,Supportive Living,170,3711,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512324,government_sourced,True,True,Canadian_Big_4
Oakwood Manor - Kitchener,4241 King Street,Kitchener,Ontario,N4B 98Y,(778) 913-5152,Retirement Home,159,6963,"['Independent Living', 'Long-Term Care', 'Assisted Living']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512331,government_sourced,True,True,Canadian_Big_4
Heritage Gardens - Windsor,9575 Queen Street,Windsor,Ontario,K2D 82V,(819) 614-8442,Memory Care,129,7439,"['Long-Term Care', 'Independent Living', 'Memory Care']",Ontario Ministry of Health and Long-Term Care,Canada,CAD,2025-07-17T22:19:42.512333,government_sourced,True,True,Canadian_Big_4
