name,address,city,province,postal_code,phone,facility_type,capacity,base_price_cad,care_types,data_source,country,currency,province_code,collection_date,data_quality,verified,international,expansion_phase
Manitoba Seniors Home - Morden,3039 Saskatchewan Avenue,Morden,Manitoba,R1O 46E,(204) 187-5589,Independent Living,113,3270,"['Assisted Living', 'Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628226,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Winnipeg,1184 Broadway Avenue,Winnipeg,Manitoba,R3V 72O,(431) 134-3241,Independent Living,139,4376,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628235,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Thompson,5568 Saskatchewan Avenue,Thompson,Manitoba,R6R 02C,(431) 297-9681,Retirement Home,208,5202,"['Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628238,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Dauphin,4109 College Avenue,Dauphin,Manitoba,R6H 61C,(204) 182-3377,Continuing Care,109,4289,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628240,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Winnipeg,167 University Avenue,Winnipeg,Manitoba,R5E 78A,(204) 646-7023,Community Care,88,4742,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628242,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Winkler,4401 Victoria Avenue,Winkler,Manitoba,R6P 36S,(204) 560-1905,Supportive Living,241,4359,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628244,government_sourced,True,True,Canadian_Complete
Friendly Manitoba Manor - The Pas,6689 Albert Avenue,The Pas,Manitoba,R3I 03O,(204) 536-8022,Memory Care,159,2852,"['Assisted Living', 'Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628246,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Steinbach,3258 College Avenue,Steinbach,Manitoba,R7K 26J,(204) 876-7463,Supportive Living,76,4422,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628248,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Winkler,9808 Victoria Avenue,Winkler,Manitoba,R4X 34J,(204) 576-3779,Community Care,89,3196,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628249,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Winnipeg,7271 College Avenue,Winnipeg,Manitoba,R3U 47U,(204) 453-1079,Memory Care,93,4627,"['Independent Living', 'Assisted Living', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628251,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Morden,252 Memorial Avenue,Morden,Manitoba,R0Z 02I,(431) 807-9600,Community Care,237,4645,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628253,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Winnipeg,7764 Main Avenue,Winnipeg,Manitoba,R8Q 22P,(204) 548-7400,Retirement Home,229,5014,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628255,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Steinbach,8268 Portage Avenue,Steinbach,Manitoba,R5I 41P,(204) 441-8422,Independent Living,34,4501,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628257,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - The Pas,4672 University Avenue,The Pas,Manitoba,R2G 56R,(204) 485-1269,Retirement Home,230,4401,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628259,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Winkler,8992 University Avenue,Winkler,Manitoba,R0V 21B,(204) 473-8553,Residential Care,174,3735,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628261,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Brandon,5250 Broadway Avenue,Brandon,Manitoba,R7K 87F,(431) 659-7594,Independent Living,52,5420,"['Long-Term Care', 'Assisted Living', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628262,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - The Pas,735 Portage Avenue,The Pas,Manitoba,R2D 07S,(204) 401-6052,Supportive Living,204,5403,"['Independent Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628264,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Winnipeg,550 Victoria Avenue,Winnipeg,Manitoba,R5E 74Q,(204) 257-6738,Supportive Living,153,4220,"['Long-Term Care', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628266,government_sourced,True,True,Canadian_Complete
Red River Retirement - Winnipeg,5184 Portage Avenue,Winnipeg,Manitoba,R2Q 79H,(204) 409-7174,Supportive Living,39,3436,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628268,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Brandon,4246 Manitoba Avenue,Brandon,Manitoba,R5B 52D,(204) 107-8991,Continuing Care,192,3187,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628269,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Dauphin,5836 Manitoba Avenue,Dauphin,Manitoba,R9V 51S,(431) 199-9517,Assisted Living,37,4687,"['Independent Living', 'Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628276,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Winnipeg,2582 Memorial Avenue,Winnipeg,Manitoba,R9C 91G,(204) 578-1368,Retirement Home,120,5310,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628278,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Brandon,6092 Victoria Avenue,Brandon,Manitoba,R6A 58O,(204) 797-5615,Residential Care,46,4653,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628280,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Steinbach,9100 Memorial Avenue,Steinbach,Manitoba,R5J 00A,(204) 581-9516,Assisted Living,36,2993,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628282,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Winnipeg,5796 Victoria Avenue,Winnipeg,Manitoba,R2E 87G,(204) 246-1210,Community Care,184,4642,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628284,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Thompson,6897 Saskatchewan Avenue,Thompson,Manitoba,R4Z 29Q,(204) 637-3531,Assisted Living,87,3185,"['Assisted Living', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628285,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Morden,2731 Albert Avenue,Morden,Manitoba,R7G 56H,(204) 284-8726,Assisted Living,182,5146,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628287,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - Winnipeg,5155 Albert Avenue,Winnipeg,Manitoba,R0G 55C,(204) 774-7789,Residential Care,106,3155,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628289,government_sourced,True,True,Canadian_Complete
Red River Retirement - Dauphin,4951 Main Avenue,Dauphin,Manitoba,R4I 78Y,(431) 326-6093,Supportive Living,210,4854,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628291,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Selkirk,9646 University Avenue,Selkirk,Manitoba,R7Z 74R,(204) 889-9292,Assisted Living,224,4349,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628293,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Thompson,6281 Albert Avenue,Thompson,Manitoba,R6K 33J,(431) 459-6154,Assisted Living,37,2850,"['Long-Term Care', 'Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628295,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Morden,641 Broadway Avenue,Morden,Manitoba,R0C 16E,(204) 304-2515,Residential Care,205,3680,"['Assisted Living', 'Memory Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628296,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Winnipeg,8916 Albert Avenue,Winnipeg,Manitoba,R1B 63E,(431) 328-7027,Retirement Home,147,3825,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628298,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Winkler,4632 Saskatchewan Avenue,Winkler,Manitoba,R3X 35D,(204) 100-7709,Community Care,113,5047,"['Assisted Living', 'Independent Living', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628299,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Winkler,4464 Portage Avenue,Winkler,Manitoba,R6J 45H,(431) 481-5219,Continuing Care,249,4638,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628301,government_sourced,True,True,Canadian_Complete
Friendly Manitoba Manor - Brandon,5662 Memorial Avenue,Brandon,Manitoba,R7H 04C,(204) 841-5271,Independent Living,143,5233,"['Long-Term Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628303,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - The Pas,3692 Portage Avenue,The Pas,Manitoba,R7D 77B,(204) 318-4503,Continuing Care,45,5352,"['Independent Living', 'Long-Term Care', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628305,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Dauphin,4935 Broadway Avenue,Dauphin,Manitoba,R7H 79U,(204) 344-3110,Community Care,229,3096,"['Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628306,government_sourced,True,True,Canadian_Complete
Friendly Manitoba Manor - Morden,3328 Saskatchewan Avenue,Morden,Manitoba,R0V 76Y,(204) 728-1679,Independent Living,45,4159,"['Independent Living', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628308,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Morden,4956 Portage Avenue,Morden,Manitoba,R9F 65X,(204) 148-6981,Assisted Living,215,3755,"['Long-Term Care', 'Independent Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628310,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Dauphin,3833 Portage Avenue,Dauphin,Manitoba,R1U 35C,(431) 529-4654,Supportive Living,104,4966,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628311,government_sourced,True,True,Canadian_Complete
Red River Retirement - Morden,3519 Manitoba Avenue,Morden,Manitoba,R6O 03U,(204) 304-2243,Continuing Care,64,4024,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628313,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Winkler,9345 College Avenue,Winkler,Manitoba,R6R 95H,(431) 524-6778,Continuing Care,134,3879,"['Assisted Living', 'Long-Term Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628315,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Winkler,5736 Main Avenue,Winkler,Manitoba,R8T 83O,(431) 423-4386,Community Care,74,4534,"['Assisted Living', 'Memory Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628317,government_sourced,True,True,Canadian_Complete
Keystone Care Centre - Brandon,2454 Portage Avenue,Brandon,Manitoba,R0X 08O,(204) 767-7739,Continuing Care,73,2859,"['Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628319,government_sourced,True,True,Canadian_Complete
Winnipeg River Care - Brandon,262 Portage Avenue,Brandon,Manitoba,R4P 36W,(431) 667-1579,Community Care,98,4315,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628321,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Brandon,9281 Memorial Avenue,Brandon,Manitoba,R2O 59H,(204) 742-5691,Memory Care,108,4446,"['Assisted Living', 'Memory Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628322,government_sourced,True,True,Canadian_Complete
Red River Retirement - Steinbach,1386 Memorial Avenue,Steinbach,Manitoba,R6Q 37C,(431) 475-4971,Residential Care,243,3575,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628324,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Portage la Prairie,447 Manitoba Avenue,Portage la Prairie,Manitoba,R7N 50L,(431) 742-8982,Supportive Living,83,3412,"['Assisted Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628326,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Steinbach,5206 Manitoba Avenue,Steinbach,Manitoba,R7D 49I,(204) 192-6631,Supportive Living,25,2904,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628328,government_sourced,True,True,Canadian_Complete
Red River Retirement - Winnipeg,6365 Memorial Avenue,Winnipeg,Manitoba,R1Q 11N,(431) 938-2130,Community Care,139,4937,['Memory Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628329,government_sourced,True,True,Canadian_Complete
Red River Retirement - Winkler,7222 Memorial Avenue,Winkler,Manitoba,R8D 53X,(204) 111-9307,Supportive Living,95,3313,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628331,government_sourced,True,True,Canadian_Complete
Friendly Manitoba Manor - Morden,1564 University Avenue,Morden,Manitoba,R1O 96B,(431) 100-4155,Community Care,72,4344,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628333,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Portage la Prairie,2605 Albert Avenue,Portage la Prairie,Manitoba,R9C 63W,(431) 459-1045,Continuing Care,153,4064,"['Memory Care', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628335,government_sourced,True,True,Canadian_Complete
Manitoba Seniors Home - Thompson,3722 University Avenue,Thompson,Manitoba,R8C 69Z,(204) 498-3197,Retirement Home,107,3012,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628337,government_sourced,True,True,Canadian_Complete
Friendly Manitoba Manor - Thompson,406 Portage Avenue,Thompson,Manitoba,R4L 50L,(204) 338-2799,Long-Term Care,122,3632,"['Assisted Living', 'Long-Term Care', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628339,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Winkler,8863 Broadway Avenue,Winkler,Manitoba,R4X 28A,(431) 286-8779,Long-Term Care,93,3759,"['Independent Living', 'Memory Care', 'Assisted Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628340,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Selkirk,2470 Broadway Avenue,Selkirk,Manitoba,R4Q 57Y,(204) 696-9147,Supportive Living,213,5176,['Assisted Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628342,government_sourced,True,True,Canadian_Complete
Northern Lights Care - Selkirk,8931 Broadway Avenue,Selkirk,Manitoba,R7X 79R,(431) 197-2208,Independent Living,152,5422,['Long-Term Care'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628344,government_sourced,True,True,Canadian_Complete
Assiniboine Lodge - Morden,1822 Portage Avenue,Morden,Manitoba,R9I 98S,(204) 561-1590,Residential Care,44,3857,"['Assisted Living', 'Independent Living', 'Memory Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628346,government_sourced,True,True,Canadian_Complete
Wheat Fields Retirement - Selkirk,71 Manitoba Avenue,Selkirk,Manitoba,R1F 42M,(204) 202-3948,Continuing Care,143,4895,['Independent Living'],Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628347,government_sourced,True,True,Canadian_Complete
Heartland Assisted Living - The Pas,5838 Victoria Avenue,The Pas,Manitoba,R2Y 10D,(204) 754-3926,Long-Term Care,87,3332,"['Independent Living', 'Long-Term Care']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628349,government_sourced,True,True,Canadian_Complete
Prairie View Manor - Portage la Prairie,6608 Albert Avenue,Portage la Prairie,Manitoba,R7R 71F,(204) 826-6837,Long-Term Care,175,3427,"['Assisted Living', 'Memory Care', 'Independent Living']",Manitoba Health,Canada,CAD,MB,2025-07-17T22:36:46.628350,government_sourced,True,True,Canadian_Complete
