name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Denver Mountain Care,4856 Monaco Pkwy,Denver,CO,80201,(719) 520-2411,Denver,Front Range,39.74783306531509,-104.98954510440878,CO-ALF-100000,Active,"['Assisted Living', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843345,False
Denver Colorado Senior Living,758 Colfax Ave,Denver,CO,80201,(720) 742-8857,Denver,Front Range,39.71618699140252,-104.98178677484054,CO-ALF-100001,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843385,False
Denver Pines Community,3861 17th Ave,Denver,CO,80201,(719) 818-3091,Denver,Front Range,39.71716101088288,-105.00730685725968,CO-ALF-100002,Active,"['Independent Living', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843411,False
Denver Senior Living,4562 Broadway,Denver,CO,80201,(970) 350-1381,Denver,Front Range,39.75988137551549,-104.98272696143408,CO-ALF-100003,Active,"['Independent Living', 'Assisted Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843433,False
Denver Memory Care Center,4496 Colorado Blvd,Denver,CO,80201,(719) 433-7421,Denver,Front Range,39.71534447881673,-104.96859204179572,CO-ALF-100004,Active,"['Adult Day Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843455,False
Denver Alpine Manor,4510 Colorado Blvd,Denver,CO,80201,(970) 989-1479,Denver,Front Range,39.74689563094467,-104.96645331194043,CO-ALF-100005,Active,"['Assisted Living', 'Skilled Nursing', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843474,False
Mile High Jefferson Manor,1378 Mountain View Dr,Golden,CO,80401,(720) 495-2194,Jefferson,Front Range,39.768788299096855,-105.19808136012722,CO-ALF-100006,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843552,False
Golden Assisted Living,2602 Canyon Rd,Golden,CO,80401,(719) 379-2942,Jefferson,Front Range,39.73224608144042,-105.21948593164741,CO-ALF-100007,Active,"['Memory Care', 'Skilled Nursing', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843577,False
Colorado Golden Senior Living,1885 Havana St,Golden,CO,80401,(970) 501-5684,Jefferson,Front Range,39.780172567384,-105.22398259855301,CO-ALF-100008,Active,"['Skilled Nursing', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843596,False
Colorado Golden Senior Living,2498 Canyon Rd,Golden,CO,80401,(720) 462-7276,Jefferson,Front Range,39.75053443263558,-105.2032899840186,CO-ALF-100009,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843613,False
Jefferson Valley Senior Village,950 Peoria St,Golden,CO,80401,(719) 857-4400,Jefferson,Front Range,39.748486490948785,-105.21088538645006,CO-ALF-100010,Active,"['Skilled Nursing', 'Assisted Living', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843631,False
Jefferson Springs Senior Care,3685 Monaco Pkwy,Golden,CO,80401,(719) 747-1604,Jefferson,Front Range,39.734868092220395,-105.2438826419326,CO-ALF-100011,Active,"['Assisted Living', 'Adult Day Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843671,False
Brighton Pines Community,4526 Simms St,Brighton,CO,80601,(720) 240-9502,Adams,Front Range,39.9661019658116,-104.81853186986659,CO-ALF-100012,Active,"['Memory Care', 'Assisted Living', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,colorado_government_records,2025-07-10T21:17:37.843695,False
