id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Constitution Manor,1000 Main Street,Bridgeport,Fairfield,CT,06001,(203) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,CT-RCF-60001,Connecticut Department of Public Health,2024-03-01,80,True,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1764,-73.37540000000001
2,Nutmeg Village,1100 Connecticut Avenue,Stamford,Fairfield,CT,06002,(204) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,CT-RCF-60002,Connecticut Department of Public Health,2024-04-02,81,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1864,-73.36540000000001
3,Charter Oak Commons,1200 Constitution Boulevard,Norwalk,Fairfield,CT,06003,(205) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,CT-RCF-60003,Connecticut Department of Public Health,2024-05-03,82,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1964,-73.3554
4,Elm City Village,1300 Nutmeg Drive,Danbury,Fairfield,CT,06004,(206) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,CT-RCF-60004,Connecticut Department of Public Health,2024-06-04,83,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.206399999999995,-73.34540000000001
5,Bridgeport Commons,1400 Charter Oak Street,New Canaan,Fairfield,CT,06005,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,CT-RCF-60005,Connecticut Department of Public Health,2024-07-05,84,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2164,-73.3354
6,Hartford Manor,1500 Elm City Avenue,Greenwich,Fairfield,CT,06006,(208) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,CT-RCF-60006,Connecticut Department of Public Health,2024-08-06,85,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2264,-73.3254
7,New Haven Village,1600 Bridgeport Boulevard,Westport,Fairfield,CT,06007,(209) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,CT-RCF-60007,Connecticut Department of Public Health,2024-09-07,86,True,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.236399999999996,-73.31540000000001
8,Stamford Commons,1700 Hartford Drive,Fairfield,Fairfield,CT,06008,(210) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,CT-RCF-60008,Connecticut Department of Public Health,2024-10-08,87,False,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2464,-73.3054
9,Waterbury Manor,1800 New Haven Street,Ridgefield,Fairfield,CT,06009,(211) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,CT-RCF-60009,Connecticut Department of Public Health,2024-11-09,88,False,True,True,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2564,-73.37540000000001
10,Norwalk Village,1900 Stamford Avenue,Trumbull,Fairfield,CT,06010,(212) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,CT-RCF-60010,Connecticut Department of Public Health,2024-03-10,89,True,False,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.2664,-73.36540000000001
11,Danbury Commons,2000 Waterbury Boulevard,Bridgeport,Fairfield,CT,06011,(213) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,50,CT-RCF-60011,Connecticut Department of Public Health,2024-04-11,90,False,True,False,https://www.fairfield-senior-living.com,Active,Connecticut Department of Public Health,2025-07-17,41.1764,-73.3554
