id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,First State Manor,1000 Main Street,Wilmington,New Castle,DE,19701,(302) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,DE-ALF-19001,Delaware Department of Health and Social Services,2024-03-01,85,True,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.67540000000001
2,Diamond State Village,1100 Delaware Avenue,Newark,New Castle,DE,19702,(302) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,DE-ALF-19002,Delaware Department of Health and Social Services,2024-04-02,86,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5864,-75.6654
3,Blue Hen Commons,1200 First State Boulevard,Middletown,New Castle,DE,19703,(302) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,DE-ALF-19003,Delaware Department of Health and Social Services,2024-05-03,87,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.596399999999996,-75.6554
4,Brandywine Village,1300 Diamond State Drive,New Castle,New Castle,DE,19704,(302) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,DE-ALF-19004,Delaware Department of Health and Social Services,2024-06-04,88,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.606399999999994,-75.64540000000001
5,Wilmington Manor,1400 Blue Hen Street,Claymont,New Castle,DE,19705,(302) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,DE-ALF-19005,Delaware Department of Health and Social Services,2024-07-05,89,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6164,-75.6354
6,Dover Commons,1500 Brandywine Avenue,Elsmere,New Castle,DE,19706,(302) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,DE-ALF-19006,Delaware Department of Health and Social Services,2024-08-06,90,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6264,-75.6254
7,Newark Village,1600 Wilmington Boulevard,Newport,New Castle,DE,19707,(302) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,DE-ALF-19007,Delaware Department of Health and Social Services,2024-09-07,91,True,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.636399999999995,-75.61540000000001
8,Middletown Manor,1700 Dover Drive,Bear,New Castle,DE,19708,(302) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,DE-ALF-19008,Delaware Department of Health and Social Services,2024-10-08,92,False,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6464,-75.6054
9,Smyrna Village,1800 Newark Street,Pike Creek,New Castle,DE,19709,(302) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,DE-ALF-19009,Delaware Department of Health and Social Services,2024-11-09,93,False,True,True,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.6564,-75.67540000000001
10,Milford Commons,1900 Middletown Avenue,Hockessin,New Castle,DE,19710,(302) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,DE-ALF-19010,Delaware Department of Health and Social Services,2024-03-10,94,True,False,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.666399999999996,-75.6654
11,Seaford Manor,2000 Smyrna Boulevard,Wilmington,New Castle,DE,19711,(302) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,DE-ALF-19011,Delaware Department of Health and Social Services,2024-04-11,95,False,True,False,https://www.newcastle-senior-living.com,Active,Delaware Department of Health and Social Services,2025-07-17,39.5764,-75.6554
