id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Everglades Memory Care,9413 Biscayne Boulevard,Pensacola,Escambia,FL,32506,(305) 452-2898,Adult Family Care Home,"Continuing Care, Assisted Living, Adult Day Care",37,FL-ALF-18101,Florida Agency for Health Care Administration,2024-07-27,83,False,True,False,https://www.pensacola-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.425863,-87.197735
2,Coastal Estates,3687 Lincoln Road,Century,Escambia,FL,34855,(754) 269-4404,Skilled Nursing Facility,"Assisted Living, Independent Living",87,FL-ALF-82898,Florida Agency for Health Care Administration,2024-09-03,99,False,False,True,https://www.century-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.814235,-85.527637
3,Oaks House,5307 Lincoln Road,Century,Escambia,FL,34796,(386) 547-9047,Adult Day Care Center,"Memory Care, Assisted Living",135,FL-ALF-84460,Florida Agency for Health Care Administration,2024-11-28,89,True,False,True,https://www.century-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.800384,-80.295461
4,Escambia Gardens,9926 Las Olas Boulevard,Century,Escambia,FL,34951,(561) 264-1638,Continuing Care Retirement Community,"Skilled Nursing, Adult Day Care, Independent Living",35,FL-ALF-73752,Florida Agency for Health Care Administration,2024-10-27,91,True,False,False,https://www.century-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,24.671105,-82.305444
5,Harbor Estates,3236 Collins Avenue,Pensacola,Escambia,FL,32504,(386) 771-6117,Continuing Care Retirement Community,"Skilled Nursing, Respite Care, Independent Living, Assisted Living",105,FL-ALF-36664,Florida Agency for Health Care Administration,2024-01-11,82,True,False,False,https://www.pensacola-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,30.434684,-87.213671
6,Palms Home,7509 Atlantic Avenue,Molino,Escambia,FL,32183,(407) 662-6073,Assisted Living Facility,"Independent Living, Continuing Care",41,FL-ALF-98118,Florida Agency for Health Care Administration,2024-12-22,93,False,False,True,https://www.molino-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.13523,-82.605961
7,Navarre Memory Care,6659 Atlantic Avenue,Navarre,Santa Rosa,FL,32498,(305) 951-9304,Assisted Living Facility,"Adult Day Care, Respite Care, Memory Care",116,FL-ALF-89341,Florida Agency for Health Care Administration,2024-11-15,79,False,True,True,https://www.navarre-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,25.461703,-81.751201
8,Azalea Care Center,6306 Flagler Street,Gulf Breeze,Santa Rosa,FL,33614,(561) 398-8899,Adult Family Care Home,"Respite Care, Memory Care, Skilled Nursing",92,FL-ALF-87476,Florida Agency for Health Care Administration,2024-07-12,99,True,True,False,https://www.gulfbreeze-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.276102,-84.599784
9,Santa Rosa Memory Care,7345 Collins Avenue,Gulf Breeze,Santa Rosa,FL,33124,(321) 650-2182,Adult Family Care Home,"Memory Care, Skilled Nursing, Respite Care",128,FL-ALF-43690,Florida Agency for Health Care Administration,2024-02-20,87,True,True,False,https://www.gulfbreeze-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,29.344161,-81.123832
10,Okaloosa Home,2168 Federal Highway,Niceville,Okaloosa,FL,34211,(904) 473-6920,Memory Care Community,"Assisted Living, Independent Living, Skilled Nursing, Adult Day Care",101,FL-ALF-95503,Florida Agency for Health Care Administration,2024-08-08,96,True,True,False,https://www.niceville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,27.173231,-85.189148
11,Grove Plaza,6851 Park Avenue,Niceville,Okaloosa,FL,32552,(305) 937-8563,Independent Living Community,"Memory Care, Continuing Care, Independent Living, Assisted Living",30,FL-ALF-46289,Florida Agency for Health Care Administration,2024-06-15,78,True,False,False,https://www.niceville-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,28.875255,-81.890769
12,Coastal Senior Living,706 Ocean Drive,Fort Walton Beach,Okaloosa,FL,32246,(904) 224-5716,Adult Family Care Home,"Assisted Living, Adult Day Care, Respite Care",28,FL-ALF-46735,Florida Agency for Health Care Administration,2024-01-13,83,True,False,True,https://www.fortwaltonbeach-senior-living.com,Active,Florida Agency for Health Care Administration,2025-07-12,26.919533,-81.268889
