name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,latitude,longitude,licenseNumber,facilityType,discoverySource,discoveryDate,isVerified,subscriptionTier,billingStatus,monthlyRate,hasWaitlist,acceptsMedicaid,lastUpdated
Miami Gardens Senior Living,100 Main St,Miami,FL,33000,Miami-Dade,(305) 500-1000,info@miamigardensseniorlivingfl.com,www.miamigardensseniorlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.0,-80.0,FL-MIA-1001,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272557,False,Basic,active,"$4,900/month",True,True,2025-07-22T08:57:20.272564
Hills of Miami,200 Ocean Ave,Miami,FL,33001,Miami-Dade,(305) 511-1037,info@hillsofmiamifl.com,www.hillsofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.01,-80.01,FL-MIA-1002,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272576,False,Basic,active,"$7,699/month",False,False,2025-07-22T08:57:20.272580
Point Senior Village,300 Pine St,Miami,FL,33002,Miami-Dade,(305) 522-1074,info@pointseniorvillagefl.com,www.pointseniorvillagefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.02,-80.02,FL-MIA-1003,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272592,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272597
Miami Estates Retirement Community,500 Oak Dr,Miami,FL,33003,Miami-Dade,(305) 533-1111,info@miamiestatesretirementcommunityfl.com,www.miamiestatesretirementcommunityfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.03,-80.03,FL-MIA-1004,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272606,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.272608
Springs of Miami,750 Sunset Blvd,Miami,FL,33004,Miami-Dade,(305) 544-1148,info@springsofmiamifl.com,www.springsofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.04,-80.04,FL-MIA-1005,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272615,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.272618
Grove Adult Living,1000 Palm Way,Miami,FL,33005,Miami-Dade,(305) 555-1185,info@groveadultlivingfl.com,www.groveadultlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.05,-80.05,FL-MIA-1006,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272625,False,Basic,active,"$7,699/month",True,False,2025-07-22T08:57:20.272627
Miami Hills Residential Care,1250 Beach Rd,Miami,FL,33006,Miami-Dade,(305) 566-1222,info@miamihillsresidentialcarefl.com,www.miamihillsresidentialcarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.06,-80.06,FL-MIA-1007,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272634,False,Basic,active,"$6,300/month",False,True,2025-07-22T08:57:20.272636
Point of Miami,1500 Park Ave,Miami,FL,33007,Miami-Dade,(305) 577-1259,info@pointofmiamifl.com,www.pointofmiamifl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.07,-80.07,FL-MIA-1008,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272698,False,Basic,active,"$6,300/month",False,False,2025-07-22T08:57:20.272704
Harbor Memory Care,100 Main St,Miami,FL,33008,Miami-Dade,(305) 588-1296,info@harbormemorycarefl.com,www.harbormemorycarefl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.08,-80.08,FL-MIA-1009,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272713,False,Basic,active,"$4,900/month",False,False,2025-07-22T08:57:20.272716
Miami Springs Assisted Living,200 Ocean Ave,Miami,FL,33009,Miami-Dade,(305) 599-1333,info@miamispringsassistedlivingfl.com,www.miamispringsassistedlivingfl.com,"Licensed senior living facility serving Miami-Dade County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.09,-80.09,FL-MIA-1010,Senior Living,Florida Miami-Dade County Research,2025-07-22T08:57:20.272724,False,Basic,active,"$7,699/month",False,True,2025-07-22T08:57:20.272726
