id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sandy Springs Assisted Living,1777 Ponce de Leon Avenue,Sandy Springs,Fulton,GA,30331,(770) 956-3237,Independent Living Community,"Personal Care, Skilled Nursing, Independent Living",31,GA-PCH-67882,Georgia Department of Community Health,2024-12-03,95,True,False,True,https://www.sandysprings-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,34.671871,-81.913017
2,Hills Plaza,6561 Buford Highway,Sandy Springs,Fulton,GA,30384,(762) 281-8506,Personal Care Home,"Memory Care, Independent Living, Respite Care",113,GA-PCH-74047,Georgia Department of Community Health,2024-11-18,77,True,False,True,https://www.sandysprings-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,33.713465,-84.137974
3,Heritage House,5736 Marietta Street,Atlanta,Fulton,GA,30302,(478) 767-1429,Independent Living Community,"Independent Living, Respite Care, Continuing Care",173,GA-PCH-59896,Georgia Department of Community Health,2024-10-04,75,True,False,True,https://www.atlanta-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,33.767985,-84.374419
4,Oak Residence,6667 Moreland Avenue,Roswell,Fulton,GA,30004,(770) 585-1651,Skilled Nursing Facility,"Independent Living, Respite Care, Skilled Nursing, Assisted Living",137,GA-PCH-81429,Georgia Department of Community Health,2024-12-17,91,False,True,False,https://www.roswell-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,34.025261,-84.343038
5,Dogwood Commons,582 Peachtree Street,Sandy Springs,Fulton,GA,30360,(762) 525-7096,Skilled Nursing Facility,"Respite Care, Memory Care",104,GA-PCH-47717,Georgia Department of Community Health,2024-01-24,94,True,True,True,https://www.sandysprings-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,34.949045,-81.74283
6,Valley Place,6173 Ponce de Leon Avenue,Sandy Springs,Fulton,GA,30310,(404) 887-7198,Memory Care Facility,"Memory Care, Assisted Living, Continuing Care, Adult Day Care",70,GA-PCH-98019,Georgia Department of Community Health,2024-04-06,100,False,True,True,https://www.sandysprings-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,33.681688,-83.940527
7,Manor Plaza,7321 Howell Mill Road,Chamblee,DeKalb,GA,36849,(770) 649-8992,Personal Care Home,"Adult Day Care, Independent Living, Skilled Nursing",118,GA-PCH-52473,Georgia Department of Community Health,2024-05-26,73,False,False,True,https://www.chamblee-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,33.858623,-83.495258
8,River Care Center,7175 Edgewood Avenue,Chamblee,DeKalb,GA,33452,(478) 619-7940,Assisted Living Community,"Respite Care, Continuing Care, Independent Living, Adult Day Care",170,GA-PCH-33620,Georgia Department of Community Health,2024-06-02,79,True,True,True,https://www.chamblee-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,32.257456,-84.256589
9,River Estates,8811 Peachtree Street,Dunwoody,DeKalb,GA,37949,(404) 361-1268,Memory Care Facility,"Memory Care, Continuing Care",122,GA-PCH-58421,Georgia Department of Community Health,2024-02-18,94,False,False,True,https://www.dunwoody-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,34.909917,-82.063258
10,DeKalb Place,7419 Ponce de Leon Avenue,Chamblee,DeKalb,GA,36993,(229) 967-7626,Assisted Living Community,"Respite Care, Independent Living, Memory Care",179,GA-PCH-72509,Georgia Department of Community Health,2024-07-05,88,False,False,False,https://www.chamblee-senior-living.com,Active,Georgia Department of Community Health,2025-07-12,30.338784,-83.908151
