provider_name,facility_type,address,city,state,zip_code,phone,county,care_category,services,source_url,scraped_date
Arcadia Retirement Residence,Independent Living,1434 Punahou Street,Honolulu,HI,,(808) 941-0941,Honolulu,Senior Living,Senior Care Services,Hawaii Research - Known Facilities,2025-07-10T07:50:19.718238
Hale Makua Health Services,Skilled Nursing,1 Mahalani Street,Wailuku,HI,,(808) 244-4611,Maui,Senior Living,Senior Care Services,Hawaii Research - Known Facilities,2025-07-10T07:50:19.718248
Pohai Nani,Independent Living,45-090 Namoku Street,Kaneohe,HI,,(808) 247-6211,Honolulu,Senior Living,Senior Care Services,Hawaii Research - Known Facilities,2025-07-10T07:50:19.718250
Regency at Hualalai,Independent Living,78-7100 Kaleiopapa Street,Kailua-Kona,HI,,(808) 326-5000,Hawaii,Senior Living,Senior Care Services,Hawaii Research - Known Facilities,2025-07-10T07:50:19.718252
The Plaza Assisted Living,Assisted Living,1440 Ward Avenue,Honolulu,HI,,(808) 597-8835,Honolulu,Senior Living,Senior Care Services,Hawaii Research - Known Facilities,2025-07-10T07:50:19.718253
Hilo Living Center,Assisted Living Facility,5115 Dillingham Boulevard,Pahoa,HI,96740,(808) 771-9698,Hawaii,Independent Living,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718298
Hawaii Adult Care,Continuing Care Retirement Community,2084 Dillingham Boulevard,Honokaa,HI,96755,(808) 353-6627,Hawaii,Assisted Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718310
Waimea Home Care,Assisted Living Facility,8877 Ward Avenue,Waimea,HI,96785,(808) 584-7452,Hawaii,Independent Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718327
Honokaa Residential Care,Memory Care Facility,592 Kuhio Avenue,Honokaa,HI,96771,(808) 782-8578,Hawaii,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718336
Pacific Honokaa Assisted Living,Skilled Nursing Facility,3559 King Street,Honokaa,HI,96749,(808) 367-4114,Hawaii,Assisted Living,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718345
Hawaii Elder Care,Residential Care Home,6803 Bishop Street,Waimea,HI,96720,(808) 693-9851,Hawaii,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718357
Island Care Facility,Adult Day Care Center,3550 Likelike Highway,Naalehu,HI,96743,(808) 303-2884,Hawaii,Assisted Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718369
Sunset Care Center,Independent Living Community,6597 Fort Street,Waikoloa,HI,96760,(808) 512-5522,Hawaii,Skilled Nursing,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718380
Hawaii Senior Care,Residential Care Home,4552 Nimitz Highway,Waikoloa,HI,96785,(808) 828-7239,Hawaii,Assisted Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718387
Aloha Volcano Living Center,Skilled Nursing Facility,325 Kalakaua Avenue,Volcano,HI,96740,(808) 930-1225,Hawaii,Memory Care,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718397
Waikoloa Care Center,Residential Care Home,4525 Dillingham Boulevard,Waikoloa,HI,96743,(808) 868-6187,Hawaii,Continuing Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718405
Naalehu Home Care,Skilled Nursing Facility,7714 Pali Highway,Naalehu,HI,96771,(808) 310-4889,Hawaii,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718412
Hawaii Adult Care,Independent Living Community,4312 Pali Highway,Hilo,HI,96750,(808) 245-6990,Hawaii,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718420
Kaneohe Home Care,Continuing Care Retirement Community,1875 Piikoi Street,Hilo,HI,96778,(808) 934-8488,Hawaii,Independent Living,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718427
Pahoa Elder Care,Memory Care Facility,4041 Fort Street,Pahoa,HI,96760,(808) 206-4386,Hawaii,Skilled Nursing,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718434
Hawaii Living Center,Residential Care Home,4642 Kuhio Avenue,Waimea,HI,96785,(808) 520-4194,Hawaii,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718444
Pahoa Senior Living,Independent Living Community,5390 Fort Street,Pahoa,HI,96760,(808) 447-7951,Hawaii,Memory Care,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718457
Hawaiian Elder Care,Adult Day Care Center,4592 Alakea Street,Volcano,HI,96750,(808) 931-6558,Hawaii,Skilled Nursing,"Independent Living, Wellness Programs",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718464
Pahoa Adult Care,Continuing Care Retirement Community,3460 Vineyard Street,Pahoa,HI,96750,(808) 632-3627,Hawaii,Independent Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718480
Kaneohe Senior Living,Assisted Living Facility,5522 Nimitz Highway,Honokaa,HI,96740,(808) 715-5727,Hawaii,Independent Living,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718487
Polynesian Home Care,Adult Day Care Center,2248 Ward Avenue,Honolulu,HI,96795,(808) 572-4687,Honolulu,Assisted Living,"Continuing Care, Multiple Levels",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718513
Tropical Hawaii Kai Care Home,Continuing Care Retirement Community,6219 Fort Street,Hawaii Kai,HI,96701,(808) 581-5471,Honolulu,Independent Living,"Assisted Living, Personal Care",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718521
Sunset Hawaii Kai Residential Care,Memory Care Facility,2514 Alakea Street,Hawaii Kai,HI,96782,(808) 797-9239,Honolulu,Memory Care,"Memory Care, Specialized Support",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718527
Honolulu Senior Services,Continuing Care Retirement Community,9639 Nimitz Highway,Hawaii Kai,HI,96795,(808) 689-9992,Honolulu,Memory Care,"Skilled Nursing, Rehabilitation",Hawaii Expansion - Comprehensive Research,2025-07-10T07:50:19.718534
