Property_ID,Property_Name,Address,City,State,Zip_Code,County,Latitude,Longitude,Total_Units,Assisted_Units,Phone,Client_Group,Client_Type,Program_Type,Source
800010919,FRANKLIN LANE GOLDEN APARTMENTS,1827 S FERRY ST,Anoka,,,Anoka,,,66,0,763-427-7650,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800009322,Victory Forest,10000 BRUNSWICK AVE,Wheaton,,,Montgomery,,,181,0,(301) 589-4030,Wholly elderly congregate,Elderly,Elderly Housing,HUD
800008622,LEBANON HILL HOUSING,1 THERESE AVE,Southbridge Town,,,Worcester,,,116,0,,Elderly,Elderly,Elderly Housing,HUD
800005316,HDC GROUP HOMES,1815 59th St.,Davenport,,,Scott,,,15,0,563-391-4834,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800008352,CAMBRIDGE COURT APARTMENTS,411 Franklin St,,,,Middlesex,,,92,0,,Elderly,Elderly,Elderly Housing,HUD
800005760,COLONY PARK APARTMENTS,550 E Thornhill DR,,,,Dupage,,,284,0,630-682-9000,Elderly,Elderly,Elderly Housing,HUD
800016035,Van Rensselaer Residence,129 VAN RENSSELAER BLVD,Albany,,,Albany,,,12,0,,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800005763,CONSTITUTION HOUSE,401 N CONSTITUTION DR,Aurora,,,Kane,,,231,0,(630) 896-2100,Elderly,Elderly,Elderly Housing,HUD
800007696,Independent Living II,316 E EIGHTH ST,,,,Ohio,,,8,0,270-274-5675,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800010581,STONEY CREEK GROUP HOME,3550 31 MILE ROAD,,,,Macomb,,,6,0,248-590-6062,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800008639,WASHINGTON ST HOUSING,147 WASHINGTON ST,Lynn,,,Essex,,,145,0,,Elderly,Elderly,Elderly Housing,HUD
800023196,MOUNT PLEASANT MANOR,2250 LAYARD AVE,Racine,,,Racine,,,79,0,(262)632-0863,Elderly,Elderly,Elderly Housing,HUD
800014093,The Brookside,777 Springdale AVE,East Orange,,,Essex,,,202,0,,Elderly,Elderly,Elderly Housing,HUD
800014096,Elizabeth Towers,315 W Grand ST,Elizabeth,,,Union,,,193,0,908-355-4500,Elderly,Elderly,Elderly Housing,HUD
800013983,FELICITY TOWERS,100 LLEWELLYN AVE,,,,Essex,,,147,0,,Elderly,Elderly,Elderly Housing,HUD
800014018,CLINTON HILL  COMMUNITY GARDENS,201 West Runyon Street,Newark,,,Essex,,,151,0,,Elderly,Elderly,Elderly Housing,HUD
800015959,TILDEN TOWERS,801 Tilden ST,New York,,,Bronx,,,265,0,,Elderly,Elderly,Elderly Housing,HUD
800015911,SUFFOLK COMMUNITY RESIDENCE,681 OLD COUNTRY RD,,,,Suffolk,,,6,0,,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800014176,HIGH STREET SENIOR APARTMENTS,315 HIGH ST,Perth Amboy,,,Middlesex,,,94,0,,Elderly,Elderly,Elderly Housing,HUD
800014325,OCEAN TOWERS,425 OCEAN AVE,Jersey City,,,Hudson,,,99,0,,Elderly,Elderly,Elderly Housing,HUD
800008632,LINCOLN VILLAGE,106 COUNTRY CLUB BLVD,,,,Worcester,,,1213,0,,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800015907,STUYPARK HOUSING,77 NEW YORK AVE,New York,,,Kings,,,103,0,,Elderly,Elderly,Elderly Housing,HUD
800011834,RAINBOW RESIDENTIAL CARE,3859 E 59TH TER,Kansas City,,,Jackson,,,15,0,816-361-5347,Chronically Mentally Ill,Disabled,Section 202 - Elderly Housing,HUD
800008548,HARTWELL TERRACE,4 HARTWELL ST,Boston,,,Suffolk,,,17,0,,Partially elderly handicapped,Elderly,Elderly Housing,HUD
800014341,PRINCETON COMMUNITY VILLAGE,BUNN DRIVE,PRINCETON,,,Mercer,,,238,0,,Elderly,Elderly,Elderly Housing,HUD
800015663,Pinewood Drive Residence,235 Pinewood Dr,,,,Albany,,,7,0,518 459 0750 EXT.112,Wholly developmentally disabled,Disabled,Section 202 - Elderly Housing,HUD
800014142,GOV PATERSON TOWER III,211 20TH AVENUE,Paterson,,,Passaic,,,200,0,973-279-9292,Elderly,Elderly,Elderly Housing,HUD
800014042,CEDARBROOK PARK APTS,1272 Park AVE,Plainfield,,,Union,,,57,0,,Elderly,Elderly,Elderly Housing,HUD
800010694,WESTGATE TOWER,34567 ELMWOOD ST,Westland,,,Wayne,,,148,0,734-729-2900,Elderly,Elderly,Elderly Housing,HUD
800058191,GRANDVIEW TERRACE,3060 KENNEDY BLVD,Jersey City,,,Hudson,,,283,0,201 792-4918,Elderly,Elderly,Section 202 - Elderly Housing,HUD
800065862,2101 Louisiana Apartments (UA Only),2101 LOUISIANA AVENUE,,,,Orleans,,,41,0,504-891-8356,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
