Property_ID,Property_Name,Address,City,State,Zip_Code,County,Latitude,Longitude,Total_Units,Assisted_Units,Phone,Client_Group,Client_Type,Program_Type,Source
800235665,Reseda Ranch,19013 Arminta Street,Los Angeles,,,Los Angeles,,,6,0,,Family & Elderly,Family,Section 202 - Elderly Housing,HUD
800254949,Central Avenue Senior Apartments,14519 Central Avenue,Baldwin Park,,,Los Angeles,,,0,0,,,,Section 202 - Elderly Housing,HUD
800253440,Mission Paradise Senior Affordable Housing,28000 - 28090 Mission Blvd,Hayward,,,Alameda,,,0,0,,,,Section 202 - Elderly Housing,HUD
800257115,Treasure Island,tbd,,,,San Francisco,,,0,0,,,,Section 202 - Elderly Housing,HUD
800500153,1245 McKay Ave,1245 McKay Ave,,,,Alameda,,,0,0,,,,Section 202 - Elderly Housing,HUD
800000067,South Bay Retirement Residence,1001 W CRESSEY ST,Compton,,,Los Angeles,,,75,74,(310) 609-0110,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800001507,FICKETT TOWERS,14801 SHERMAN WAY,,,,Los Angeles,,,200,198,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001593,GRANDVIEW TERRACE,3940 Grand View Blvd,Los Angeles,,,Los Angeles,,,191,190,310-391-8919,Elderly,Elderly,Elderly Housing,HUD
800002397,Satellite Central,540 21st St.,,,,Alameda,,,352,345,(510) 451-8636,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002271,RAMONA ESTATES,1935 E 122ND ST,Willowbrook,,,Los Angeles,,,60,60,(310) 604-0392,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002338,Rotary Plaza,433 Alida Way,South San Francisco,,,San Mateo,,,179,140,(650) 871-5323,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800001567,GLENDORA GARDENS,340 N Wabash Ave,Glendora,,,Los Angeles,,,105,105,,Elderly,Elderly,Elderly Housing,HUD
800001862,LITTLE TOKYO TOWERS,455 E 3RD ST,,,,Los Angeles,,,301,180,,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002035,NEW HAMPSHIRE ARMS,819 S NEW HAMPSHIRE AVE,Los Angeles,,,Los Angeles,,,36,36,213-389-9073,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002146,Park Place,1230 N ST,,,,Sacramento,,,151,143,(916) 444-8400,Wholly elderly congregate,Elderly,Elderly Housing,HUD
800002149,Park Sunset,1353 Seventh AVE,San Francisco,,,San Francisco,,,30,29,(415) 661-8411,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002095,OLIVE TREE TERRACE,721 N AZUSA AVE,West Covina,,,Los Angeles,,,82,82,626-967-1656,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002133,Palm Springs Pointe,3200 E Baristo Rd,Palm Springs,,,Riverside,,,116,116,(760)320-8420,Elderly,Elderly,Elderly Housing,HUD
800002334,E. BOYD ESTERS MANOR,1101 N CENTRAL AVE,Compton,,,Los Angeles,,,50,50,310-603-2954,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002391,Fourth Street Senior Housing,1122 4th St,Santa Monica,,,Los Angeles,,,66,65,310-917-5004,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800002115,PACIFIC MANOR,609 N GLENOAKS BLVD,,,,Los Angeles,,,169,166,(818) 846-2667,Wholly Elderly Housekeeping,Elderly,Elderly Housing,HUD
800002392,WILSHIRE HOUSE,1125 3rd St,Santa Monica,,,Los Angeles,,,72,71,310-395-4545,Wholly Elderly Housekeeping,Elderly,Section 202 - Elderly Housing,HUD
800256401,The Eliza,TBD,Oakland,,,Alameda,,,0,0,,,,Section 202 - Elderly Housing,HUD
800001572,Golden Age Gardens Apts,740 S 36th St,San Diego,,,San Diego,,,76,75,(619) 231-7833,Partially elderly handicapped,Elderly,Elderly Housing,HUD
