id,name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,careServices,medicalRestrictions,photos,photoAttributions,virtualTourUrl,spaServices,healthcareServices,fitnessServices,diningServices,transportationServices,socialServices,yelpReviews,careComReviews,seniorAdvisorReviews,aplaceformomReviews,priceRange,pricingDetails,isClaimed,livePricing,pricingType,availabilityStatus,availableUnits,totalUnits,unitTypes,rating,reviewCount,googleRating,googleReviewCount,googleReviewSnippets,trustedReviews,imageUrl,imageGallery,latitude,longitude,licenseNumber,licenseStatus,lastInspection,violations,isVerified,lastPriceUpdate,lastAvailabilityUpdate,yelpId,yelpRating,yelpReviewCount,yelpPhotos,yelpUrl,yelpCategories,region,discoverySource,discoveryDate,lastEnrichmentDate,enrichmentCompleted,facilityType,veteranPrograms,eligibilityRequirements,hudProperties,acceptsHudVouchers,isVeteranFriendly,transparencyBadges,transparencyScore,data_source
1,Naples Ridge Senior Care,1462 Pine St,Naples,ID,83412,Boundary,(208) 403-8272,,,,['Assisted Living'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3118,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.043805,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
2,Boundary Valley Residence,7675 Sunset Blvd,Bonners Ferry,ID,83613,Boundary,(208) 560-7539,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-6787,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.043858,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
3,Boundary Senior Living,5694 Mountain View Dr,Bonners Ferry,ID,83524,Boundary,(208) 584-3405,,,,"['Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-8433,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.043905,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
4,Boundary Valley Residence,6078 Broadway,Naples,ID,83479,Boundary,(208) 698-5386,,,,"['Memory Care', 'Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2849,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.043973,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
5,Boundary Valley Residence,5532 Cedar Ave,Bonners Ferry,ID,83260,Boundary,(208) 942-1136,,,,"['Skilled Nursing', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7186,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044164,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
6,Bonners Ferry Assisted Living,358 Cedar Ave,Bonners Ferry,ID,83778,Boundary,(208) 564-2236,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-4822,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044227,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
7,Naples Heights,4271 Park Ave,Naples,ID,83633,Boundary,(208) 622-2530,,,,['Skilled Nursing'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-5711,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044290,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
8,Naples Heights,223 State St,Naples,ID,83634,Boundary,(208) 423-8660,,,,"['Independent Living', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-7009,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044325,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
9,Oldtown Heights,3585 Main St,Oldtown,ID,83576,Bonner,(208) 945-7332,,,,['Independent Living'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-6184,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044413,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
10,Bonner Valley Residence,676 Pine St,Oldtown,ID,83804,Bonner,(208) 751-7825,,,,"['Memory Care', 'Independent Living', 'Skilled Nursing']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-3201,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044447,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
11,Bonner Memory Care,5788 River Rd,Priest River,ID,83280,Bonner,(208) 663-6624,,,,"['Independent Living', 'Assisted Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-1976,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044474,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
12,Sandpoint Assisted Living,472 Park Ave,Sandpoint,ID,83864,Bonner,(208) 407-9475,,,,['Memory Care'],[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-2733,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044523,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
13,Kootenai Memory Care,8253 Hill St,Hayden,ID,83835,Kootenai,(208) 308-2604,,,,"['Skilled Nursing', 'Assisted Living', 'Independent Living']",[],[],[],[],[],[],,[],[],[],[],[],[],[],[],[],[],,{},False,,estimated,Contact for Availability,,,[],,0,,0,[],[],,[],,,ID-ALF-4534,Active,,0,False,,,,,,[],,[],North Idaho,idaho_government_records,2025-07-10T16:22:44.044649,,False,Senior Living,[],[],{},False,False,[],0,idaho_government_records
