id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Prairie Point,1000 Main Street,Adams,Adams,IL,60001,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20001,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.adams-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
2,Lincoln Manor,1100 State Street,Adams,Adams,IL,60002,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20002,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.adams-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
3,Heritage Care,1200 Lincoln Avenue,Adams,Adams,IL,60003,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20003,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.adams-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
4,Riverside Living,1300 Oak Street,Adams,Adams,IL,60004,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20004,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.adams-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
5,Prairie Point,1000 Main Street,Alexander,Alexander,IL,60005,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20005,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.alexander-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
6,Lincoln Manor,1100 State Street,Alexander,Alexander,IL,60006,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20006,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.alexander-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
7,Heritage Care,1200 Lincoln Avenue,Alexander,Alexander,IL,60007,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20007,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.alexander-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
8,Riverside Living,1300 Oak Street,Alexander,Alexander,IL,60008,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20008,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.alexander-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
9,Prairie Point,1000 Main Street,Bond,Bond,IL,60009,(312) 400-1000,Senior Living,Assisted Living; Independent Living; Memory Care,25,IL-ALF-20009,Illinois Department of Public Health,2024-03-01,70,True,True,True,https://www.bond-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.731700000000004,-89.6901
10,Lincoln Manor,1100 State Street,Bond,Bond,IL,60010,(313) 401-1001,Senior Living,Personal Care; Skilled Nursing; Rehabilitation,26,IL-ALF-20010,Illinois Department of Public Health,2024-04-02,71,False,False,False,https://www.bond-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7417,-89.6801
11,Heritage Care,1200 Lincoln Avenue,Bond,Bond,IL,60011,(314) 402-1002,Senior Living,Continuing Care; Adult Day Services; Respite Care,27,IL-ALF-20011,Illinois Department of Public Health,2024-05-03,72,False,True,False,https://www.bond-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7517,-89.67009999999999
12,Riverside Living,1300 Oak Street,Bond,Bond,IL,60012,(315) 403-1003,Senior Living,Independent Living; Supportive Living; Alzheimer's Care,28,IL-ALF-20012,Illinois Department of Public Health,2024-06-04,73,True,False,False,https://www.bond-senior-living.com,Active,Illinois Department of Public Health,2025-07-17,39.7617,-89.6601
