id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
2,Crossroads Commons,1100 State Street,Decatur,Adams,IN,46002,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30002,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
3,Wabash Valley Care,1200 Washington Street,Decatur,Adams,IN,46003,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30003,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
4,Circle City Manor,1300 Lincoln Avenue,Decatur,Adams,IN,46004,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30004,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
5,Corn Belt Commons,1400 Oak Street,Decatur,Adams,IN,46005,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30005,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
6,Indiana Crossroads,1500 Maple Avenue,Decatur,Adams,IN,46006,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30006,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
7,Hoosier Heritage Manor,1000 Main Street,Fort Wayne,Allen,IN,46007,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30007,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.029300000000006,-85.1794
8,Crossroads Commons,1100 State Street,Fort Wayne,Allen,IN,46008,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30008,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.039300000000004,-85.1694
9,Wabash Valley Care,1200 Washington Street,Fort Wayne,Allen,IN,46009,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30009,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.0493,-85.15939999999999
10,Circle City Manor,1300 Lincoln Avenue,Fort Wayne,Allen,IN,46010,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30010,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.0593,-85.1494
11,Corn Belt Commons,1400 Oak Street,Fort Wayne,Allen,IN,46011,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30011,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.allen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,41.069300000000005,-85.1394
