id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hawkeye Manor,1000 Main Street,Greenfield,Adair,IA,50001,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70001,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.280800000000006,-94.5005
2,Cornfield Commons,1100 Iowa Avenue,Greenfield,Adair,IA,50002,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70002,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.290800000000004,-94.4905
3,Prairie Village,1200 Hawkeye Boulevard,Greenfield,Adair,IA,50003,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70003,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.3008,-94.48049999999999
4,Iowa River Village,1300 Cornfield Drive,Greenfield,Adair,IA,50004,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70004,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.3108,-94.4705
5,Cedar Rapids Commons,1400 Prairie Street,Greenfield,Adair,IA,50005,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70005,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.adair-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.320800000000006,-94.4605
6,Hawkeye Manor,1000 Main Street,Corning,Adams,IA,50006,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70006,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.976400000000005,-94.7754
7,Cornfield Commons,1100 Iowa Avenue,Corning,Adams,IA,50007,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70007,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.adams-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.9864,-94.7654
8,Prairie Village,1200 Hawkeye Boulevard,Corning,Adams,IA,50008,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70008,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.adams-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.9964,-94.7554
9,Iowa River Village,1300 Cornfield Drive,Corning,Adams,IA,50009,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70009,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.adams-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.0064,-94.7454
10,Cedar Rapids Commons,1400 Prairie Street,Corning,Adams,IA,50010,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70010,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.adams-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.016400000000004,-94.7354
11,Hawkeye Manor,1000 Main Street,Waukon,Allamakee,IA,50011,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70011,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.allamakee-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,43.376400000000004,-91.47540000000001
12,Cornfield Commons,1100 Iowa Avenue,Waukon,Allamakee,IA,50012,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70012,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.allamakee-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,43.3864,-91.4654
13,Prairie Village,1200 Hawkeye Boulevard,Waukon,Allamakee,IA,50013,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70013,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.allamakee-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,43.3964,-91.4554
14,Iowa River Village,1300 Cornfield Drive,Waukon,Allamakee,IA,50014,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70014,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.allamakee-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,43.4064,-91.4454
15,Cedar Rapids Commons,1400 Prairie Street,Waukon,Allamakee,IA,50015,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70015,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.allamakee-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,43.4164,-91.4354
16,Hawkeye Manor,1000 Main Street,Centerville,Appanoose,IA,50016,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70016,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.appanoose-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.6764,-92.92540000000001
17,Cornfield Commons,1100 Iowa Avenue,Centerville,Appanoose,IA,50017,(516) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,IA-ALF-70017,Iowa Department of Human Services,2024-04-02,76,False,False,False,https://www.appanoose-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.6864,-92.9154
18,Prairie Village,1200 Hawkeye Boulevard,Centerville,Appanoose,IA,50018,(517) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,IA-ALF-70018,Iowa Department of Human Services,2024-05-03,77,False,True,False,https://www.appanoose-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.6964,-92.9054
19,Iowa River Village,1300 Cornfield Drive,Centerville,Appanoose,IA,50019,(518) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,IA-ALF-70019,Iowa Department of Human Services,2024-06-04,78,True,False,False,https://www.appanoose-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.706399999999995,-92.89540000000001
20,Cedar Rapids Commons,1400 Prairie Street,Centerville,Appanoose,IA,50020,(519) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,IA-ALF-70020,Iowa Department of Human Services,2024-07-05,79,False,True,True,https://www.appanoose-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,40.7164,-92.8854
21,Hawkeye Manor,1000 Main Street,Audubon,Audubon,IA,50021,(515) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,IA-ALF-70021,Iowa Department of Human Services,2024-03-01,75,True,True,True,https://www.audubon-senior-living.com,Active,Iowa Department of Human Services,2025-07-17,41.626400000000004,-94.97540000000001
