id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sunflower Manor,1000 Main Street,Iola,Allen,KS,66001,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70001,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.876400000000004,-95.47540000000001
2,Prairie Village,1100 Kansas Avenue,Iola,Allen,KS,66002,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70002,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8864,-95.4654
3,Wheat Country Commons,1200 Sunflower Boulevard,Iola,Allen,KS,66003,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70003,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.8964,-95.4554
4,Jayhawk Village,1300 Prairie Drive,Iola,Allen,KS,66004,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70004,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9064,-95.4454
5,Wichita Commons,1400 Wheat Street,Iola,Allen,KS,66005,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70005,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.9164,-95.4354
6,Sunflower Manor,1000 Main Street,Garnett,Anderson,KS,66006,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70006,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.anderson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0764,-95.2754
7,Prairie Village,1100 Kansas Avenue,Garnett,Anderson,KS,66007,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70007,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.anderson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.0864,-95.2654
8,Wheat Country Commons,1200 Sunflower Boulevard,Garnett,Anderson,KS,66008,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70008,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.anderson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.096399999999996,-95.2554
9,Jayhawk Village,1300 Prairie Drive,Garnett,Anderson,KS,66009,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70009,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.anderson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.106399999999994,-95.2454
10,Wichita Commons,1400 Wheat Street,Garnett,Anderson,KS,66010,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70010,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.anderson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.1164,-95.2354
11,Sunflower Manor,1000 Main Street,Atchison,Atchison,KS,66011,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70011,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.atchison-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.476400000000005,-95.17540000000001
12,Prairie Village,1100 Kansas Avenue,Atchison,Atchison,KS,66012,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70012,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.atchison-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4864,-95.1654
13,Wheat Country Commons,1200 Sunflower Boulevard,Atchison,Atchison,KS,66013,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70013,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.atchison-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4964,-95.1554
14,Jayhawk Village,1300 Prairie Drive,Atchison,Atchison,KS,66014,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70014,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.atchison-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.5064,-95.14540000000001
15,Wichita Commons,1400 Wheat Street,Atchison,Atchison,KS,66015,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70015,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.atchison-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.516400000000004,-95.1354
16,Sunflower Manor,1000 Main Street,Medicine Lodge,Barber,KS,66016,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70016,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.barber-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0264,-98.7754
17,Prairie Village,1100 Kansas Avenue,Medicine Lodge,Barber,KS,66017,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70017,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.barber-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0364,-98.7654
18,Wheat Country Commons,1200 Sunflower Boulevard,Medicine Lodge,Barber,KS,66018,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70018,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.barber-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0464,-98.7554
19,Jayhawk Village,1300 Prairie Drive,Medicine Lodge,Barber,KS,66019,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70019,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.barber-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0564,-98.7454
20,Wichita Commons,1400 Wheat Street,Medicine Lodge,Barber,KS,66020,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70020,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.barber-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.0664,-98.7354
21,Sunflower Manor,1000 Main Street,Great Bend,Barton,KS,66021,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70021,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.barton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4264,-98.87540000000001
22,Prairie Village,1100 Kansas Avenue,Great Bend,Barton,KS,66022,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70022,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.barton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4364,-98.86540000000001
