id,name,address,city,state,zip_code,county,phone,facility_type,licensed_beds,license_number,administrator,coordinates,data_source
1,Valley Senior Living,5516 Maple Dr,Louisville,Kentucky,40208,Jefferson,(364) 804-7662,Adult Day Care,126,KY77860,John Garcia,"[38.26008963246064, -85.77683036061673]",Kentucky Cabinet for Health and Family Services
2,Louisville Place,6138 Bourbon St,Louisville,Kentucky,40204,Jefferson,(859) 808-5770,Continuing Care Retirement Community,165,KY74139,Betty Moore,"[38.2488160206828, -85.75305124691472]",Kentucky Cabinet for Health and Family Services
3,Pine Place,1711 Derby Dr,Louisville,Kentucky,40204,Jefferson,(502) 704-1448,Assisted Living,52,KY80812,Karen Williams,"[38.2337412572251, -85.75875422667794]",Kentucky Cabinet for Health and Family Services
4,Louisville Assisted Living,9345 Washington St,Louisville,Kentucky,40212,Jefferson,(502) 345-3872,Independent Living,94,KY49887,Thomas Walker,"[38.24512463262111, -85.7418169867141]",Kentucky Cabinet for Health and Family Services
5,Louisville Manor,6950 First St,Louisville,Kentucky,40202,Jefferson,(270) 863-1889,Skilled Nursing Facility,173,KY58179,Michael Brown,"[38.24332002446152, -85.73920001508661]",Kentucky Cabinet for Health and Family Services
6,Pine Place,6491 Madison Rd,Louisville,Kentucky,40202,Jefferson,(502) 480-8379,Memory Care,93,KY97639,Anthony Miller,"[38.24685006366936, -85.76402901749238]",Kentucky Cabinet for Health and Family Services
7,Derby Manor,1364 Horse Park Rd,Louisville,Kentucky,40212,Jefferson,(859) 578-3495,Personal Care Home,112,KY49181,Matthew White,"[38.23957277152286, -85.7470282227847]",Kentucky Cabinet for Health and Family Services
8,Bluegrass Health Care,595 Elm St,Louisville,Kentucky,40202,Jefferson,(502) 336-4948,Independent Living,55,KY63747,James Jones,"[38.267428103598654, -85.74269564914479]",Kentucky Cabinet for Health and Family Services
9,Lexington Memory Care,8208 Cedar Ln,Lexington,Kentucky,40513,Fayette,(606) 554-1952,Adult Day Care,179,KY61079,David Martin,"[38.05620287212412, -84.51551418027744]",Kentucky Cabinet for Health and Family Services
10,Riverside Center,1595 Derby Dr,Lexington,Kentucky,40504,Fayette,(502) 829-6962,Memory Care,130,KY71268,Anthony Lewis,"[38.05177284781604, -84.48375348042632]",Kentucky Cabinet for Health and Family Services
11,Lexington Gardens,9572 Mill St,Lexington,Kentucky,40506,Fayette,(502) 260-4905,Adult Day Care,61,KY15672,Susan Ramirez,"[38.03404762805613, -84.50545401986778]",Kentucky Cabinet for Health and Family Services
12,Lexington Health Care,9578 Kentucky Ave,Lexington,Kentucky,40513,Fayette,(270) 757-7474,Continuing Care Retirement Community,69,KY87007,Susan Harris,"[38.04566178038912, -84.50155464054194]",Kentucky Cabinet for Health and Family Services
13,Manor Retirement Community,5891 Third St,Lexington,Kentucky,40513,Fayette,(859) 794-3093,Skilled Nursing Facility,117,KY78085,Mary Wilson,"[38.027144057363195, -84.51370436551291]",Kentucky Cabinet for Health and Family Services
14,Golden Commons,8395 Bourbon St,Lexington,Kentucky,40509,Fayette,(859) 543-4443,Continuing Care Retirement Community,128,KY59283,Karen Williams,"[38.0328022722673, -84.48989191228841]",Kentucky Cabinet for Health and Family Services
15,Heritage Commons,6942 Bluegrass Blvd,Lexington,Kentucky,40508,Fayette,(364) 947-9801,Personal Care Home,68,KY18762,Mark Lee,"[38.020867315356526, -84.5084361048865]",Kentucky Cabinet for Health and Family Services
16,Heritage Senior Living,4092 Church St,Lexington,Kentucky,40513,Fayette,(606) 299-8718,Continuing Care Retirement Community,167,KY72843,Michael White,"[38.05329848177633, -84.49880124365384]",Kentucky Cabinet for Health and Family Services
17,Lexington Health Care,6710 Elm St,Lexington,Kentucky,40504,Fayette,(502) 564-2747,Continuing Care Retirement Community,100,KY60472,Nancy Gonzalez,"[38.03613970970782, -84.51768128490458]",Kentucky Cabinet for Health and Family Services
18,Lexington Memory Care,6847 Jefferson Dr,Lexington,Kentucky,40504,Fayette,(859) 529-1066,Adult Day Care,126,KY51374,Christopher Johnson,"[38.03589670315266, -84.5010177147341]",Kentucky Cabinet for Health and Family Services
19,Thoroughbred Villa,8937 Pine Rd,Lexington,Kentucky,40515,Fayette,(859) 691-2632,Adult Day Care,179,KY72044,Lisa White,"[38.023565063653294, -84.48540048371338]",Kentucky Cabinet for Health and Family Services
20,Meadow Court,4860 Cedar Ln,Lexington,Kentucky,40508,Fayette,(859) 450-1871,Personal Care Home,131,KY12897,James Williams,"[38.022978648415815, -84.49502081078288]",Kentucky Cabinet for Health and Family Services
21,Golden Manor,7712 Main St,Bowling Green,Kentucky,42103,Warren,(270) 351-5973,Skilled Nursing Facility,58,KY91595,Robert Garcia,"[36.952033268205646, -86.48763566132193]",Kentucky Cabinet for Health and Family Services
22,Bowling Green Assisted Living,7040 Kentucky Ave,Bowling Green,Kentucky,42104,Warren,(859) 563-3909,Skilled Nursing Facility,104,KY17235,James Jones,"[36.97876494252775, -86.47457645938752]",Kentucky Cabinet for Health and Family Services
23,Meadow Senior Living,3945 Mill St,Bowling Green,Kentucky,42101,Warren,(606) 312-7276,Continuing Care Retirement Community,64,KY38174,Michael Walker,"[36.96937245417716, -86.49060426727294]",Kentucky Cabinet for Health and Family Services
24,Pine Senior Living,2337 First St,Bowling Green,Kentucky,42103,Warren,(859) 953-2783,Assisted Living,52,KY60845,Patricia Smith,"[36.97454341182999, -86.48635079938698]",Kentucky Cabinet for Health and Family Services
25,Bowling Green Assisted Living,7148 Bluegrass Blvd,Bowling Green,Kentucky,42103,Warren,(859) 933-7447,Adult Day Care,87,KY18562,Jessica Williams,"[36.980922286843104, -86.47240714585358]",Kentucky Cabinet for Health and Family Services
