id,name,address,city,parish,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Louisiana Commons,3793 Veterans Boulevard,Greenwood,Caddo,LA,70610,(318) 389-7793,Adult Residential Care,"Independent Living, Continuing Care",52,LA-ALF-62833,Louisiana Department of Health,2024-12-24,86,False,True,False,https://www.greenwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.84874,-92.036741
2,Pecan Gardens,191 Esplanade Avenue,Greenwood,Caddo,LA,70951,(985) 968-1511,Adult Residential Care,"Adult Residential Care, Respite Care",116,LA-ALF-93311,Louisiana Department of Health,2024-02-04,90,False,False,False,https://www.greenwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.208035,-93.702685
3,Pecan Center,9451 Causeway Boulevard,Blanchard,Caddo,LA,70469,(337) 621-8123,Intermediate Care Facility,"Memory Care, Assisted Living",26,LA-ALF-36183,Louisiana Department of Health,2024-07-08,94,False,True,True,https://www.blanchard-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.651009,-93.482347
4,Heritage Retirement Community,3682 Broad Street,Greenwood,Caddo,LA,70989,(318) 407-9567,Memory Care Community,"Memory Care, Assisted Living, Skilled Nursing",122,LA-ALF-54789,Louisiana Department of Health,2024-11-10,90,False,False,True,https://www.greenwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.38821,-92.216672
5,Magnolia Residence,3771 Harrison Avenue,Shreveport,Caddo,LA,71106,(318) 224-6604,Skilled Nursing Facility,"Respite Care, Memory Care",70,LA-ALF-74160,Louisiana Department of Health,2024-09-07,83,False,True,True,https://www.shreveport-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.531461,-93.720378
6,Southern Commons,8037 St. Charles Avenue,Blanchard,Caddo,LA,71386,(504) 703-4886,Continuing Care Retirement Community,"Respite Care, Adult Residential Care, Skilled Nursing, Continuing Care",26,LA-ALF-33405,Louisiana Department of Health,2024-04-06,78,True,True,False,https://www.blanchard-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.041695,-91.066581
7,Plantation Place,5262 Broad Street,Greenwood,Caddo,LA,71719,(504) 544-8903,Assisted Living Facility,"Assisted Living, Adult Day Care, Adult Residential Care, Memory Care",57,LA-ALF-64086,Louisiana Department of Health,2024-08-01,81,True,False,False,https://www.greenwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.850945,-90.603284
8,Delta Estates,5990 St. Charles Avenue,Greenwood,Caddo,LA,71699,(318) 776-9740,Residential Care Home,"Assisted Living, Respite Care, Skilled Nursing, Memory Care",117,LA-ALF-65647,Louisiana Department of Health,2024-07-23,74,False,False,True,https://www.greenwood-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.398518,-92.258864
9,Plantation Plaza,7618 Royal Street,Plain Dealing,Bossier,LA,71808,(337) 459-2036,Assisted Living Facility,"Assisted Living, Adult Day Care, Adult Residential Care, Skilled Nursing",111,LA-ALF-17624,Louisiana Department of Health,2024-01-22,93,False,True,False,https://www.plaindealing-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.419342,-93.870801
10,Magnolia House,6232 River Road,Haughton,Bossier,LA,70632,(985) 203-3536,Assisted Living Facility,"Skilled Nursing, Independent Living, Memory Care",105,LA-ALF-43754,Louisiana Department of Health,2024-03-24,87,False,False,True,https://www.haughton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.699063,-91.083854
11,Bossier Assisted Living,6367 Veterans Boulevard,Haughton,Bossier,LA,70748,(225) 878-9441,Intermediate Care Facility,"Assisted Living, Respite Care, Memory Care, Intermediate Care",121,LA-ALF-29020,Louisiana Department of Health,2024-03-18,99,True,True,False,https://www.haughton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,31.894788,-89.241755
12,Bossier Home,8423 Causeway Boulevard,Bossier City,Bossier,LA,71111,(504) 229-9461,Residential Care Home,"Skilled Nursing, Assisted Living, Independent Living",142,LA-ALF-82336,Louisiana Department of Health,2024-07-16,73,True,True,False,https://www.bossiercity-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.522613,-93.702723
13,Plain Dealing Court,1906 Canal Street,Plain Dealing,Bossier,LA,70277,(504) 639-1580,Residential Care Home,"Intermediate Care, Independent Living, Respite Care, Adult Day Care",78,LA-ALF-14329,Louisiana Department of Health,2024-11-07,73,False,False,True,https://www.plaindealing-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.263884,-91.907169
14,Haughton House,877 River Road,Haughton,Bossier,LA,70333,(318) 572-8143,Adult Day Health Care,"Continuing Care, Intermediate Care, Assisted Living, Respite Care",70,LA-ALF-93408,Louisiana Department of Health,2024-06-22,77,True,True,False,https://www.haughton-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.237603,-91.78196
15,Louisiana Commons,7191 Magazine Street,Bossier City,Bossier,LA,71220,(985) 801-7934,Intermediate Care Facility,"Continuing Care, Adult Day Care, Independent Living, Memory Care",125,LA-ALF-76290,Louisiana Department of Health,2024-09-28,96,False,True,True,https://www.bossiercity-senior-living.com,Active,Louisiana Department of Health,2025-07-12,32.522443,-93.709512
16,Delta Plaza,2626 Royal Street,Springhill,Webster,LA,70907,(504) 437-5789,Assisted Living Facility,"Adult Day Care, Memory Care, Respite Care",73,LA-ALF-46289,Louisiana Department of Health,2024-04-13,75,True,True,True,https://www.springhill-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.588237,-93.680306
17,Cotton Valley Estates,8537 West Bank Expressway,Cotton Valley,Webster,LA,70141,(337) 245-2578,Memory Care Community,"Memory Care, Intermediate Care",85,LA-ALF-26097,Louisiana Department of Health,2024-12-07,92,False,True,True,https://www.cottonvalley-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.766875,-92.719226
18,Colonial Village,4863 Harrison Avenue,Homer,Claiborne,LA,71382,(225) 481-3216,Adult Day Health Care,"Intermediate Care, Skilled Nursing, Adult Residential Care",44,LA-ALF-60732,Louisiana Department of Health,2024-08-18,76,True,True,True,https://www.homer-senior-living.com,Active,Louisiana Department of Health,2025-07-12,29.040129,-92.980733
19,Southern Care Center,7957 Jefferson Highway,Bernice,Claiborne,LA,70954,(985) 833-5797,Adult Day Health Care,"Assisted Living, Skilled Nursing",128,LA-ALF-10662,Louisiana Department of Health,2024-12-05,91,False,False,False,https://www.bernice-senior-living.com,Active,Louisiana Department of Health,2025-07-12,30.169227,-90.388393
