id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Pine Tree Manor,1000 Main Street,Lewiston,Androscoggin,ME,04001,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40001,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.046400000000006,-70.25540000000001
2,Lighthouse Village,1100 Maine Avenue,Auburn,Androscoggin,ME,04002,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40002,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.056400000000004,-70.2454
3,Acadia Commons,1200 Pine Tree Boulevard,Lisbon,Androscoggin,ME,04003,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40003,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0664,-70.2354
4,Downeast Village,1300 Lighthouse Drive,Mechanic Falls,Androscoggin,ME,04004,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40004,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0764,-70.22540000000001
5,Portland Manor,1400 Acadia Street,Poland,Androscoggin,ME,04005,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40005,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.086400000000005,-70.2154
6,Bangor Commons,1500 Downeast Avenue,Sabattus,Androscoggin,ME,04006,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40006,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0964,-70.2054
7,Augusta Village,1600 Portland Boulevard,Turner,Androscoggin,ME,04007,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40007,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.1064,-70.1954
8,Lewiston Manor,1700 Bangor Drive,Greene,Androscoggin,ME,04008,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40008,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.116400000000006,-70.1854
9,Biddeford Commons,1800 Augusta Street,Lewiston,Androscoggin,ME,04009,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40009,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.126400000000004,-70.25540000000001
10,Waterville Village,1900 Lewiston Avenue,Auburn,Androscoggin,ME,04010,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40010,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.1364,-70.2454
11,Presque Isle Manor,2000 Biddeford Boulevard,Lisbon,Androscoggin,ME,04011,(207) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,ME-ALF-40011,Maine Department of Health and Human Services,2024-04-11,90,False,True,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.046400000000006,-70.2354
12,Caribou Commons,2100 Waterville Drive,Mechanic Falls,Androscoggin,ME,04012,(207) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,ME-ALF-40012,Maine Department of Health and Human Services,2024-05-12,91,False,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.056400000000004,-70.22540000000001
13,Bar Harbor Village,2200 Presque Isle Street,Poland,Androscoggin,ME,04013,(207) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,ME-ALF-40013,Maine Department of Health and Human Services,2024-06-13,92,True,True,True,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0664,-70.2154
14,Camden Manor,2300 Caribou Avenue,Sabattus,Androscoggin,ME,04014,(207) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,ME-ALF-40014,Maine Department of Health and Human Services,2024-07-14,93,False,False,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.0764,-70.2054
15,Rockland Commons,2400 Bar Harbor Boulevard,Turner,Androscoggin,ME,04015,(207) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,ME-ALF-40015,Maine Department of Health and Human Services,2024-08-15,94,False,True,False,https://www.androscoggin-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,44.086400000000005,-70.1954
16,Pine Tree Manor,1000 Main Street,Presque Isle,Aroostook,ME,04016,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40016,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.626400000000004,-68.72540000000001
17,Lighthouse Village,1100 Maine Avenue,Caribou,Aroostook,ME,04017,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40017,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6364,-68.7154
18,Acadia Commons,1200 Pine Tree Boulevard,Fort Kent,Aroostook,ME,04018,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40018,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6464,-68.7054
19,Downeast Village,1300 Lighthouse Drive,Houlton,Aroostook,ME,04019,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40019,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6564,-68.6954
20,Portland Manor,1400 Acadia Street,Madawaska,Aroostook,ME,04020,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40020,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6664,-68.6854
21,Bangor Commons,1500 Downeast Avenue,Van Buren,Aroostook,ME,04021,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40021,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6764,-68.6754
22,Augusta Village,1600 Portland Boulevard,Limestone,Aroostook,ME,04022,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40022,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.6864,-68.6654
23,Lewiston Manor,1700 Bangor Drive,Calais,Aroostook,ME,04023,(207) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,ME-ALF-40023,Maine Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.696400000000004,-68.6554
24,Biddeford Commons,1800 Augusta Street,Presque Isle,Aroostook,ME,04024,(207) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,ME-ALF-40024,Maine Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.7064,-68.72540000000001
25,Waterville Village,1900 Lewiston Avenue,Caribou,Aroostook,ME,04025,(207) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,ME-ALF-40025,Maine Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.aroostook-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,46.7164,-68.7154
26,Pine Tree Manor,1000 Main Street,Portland,Cumberland,ME,04026,(207) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,ME-ALF-40026,Maine Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8264,-70.2954
27,Lighthouse Village,1100 Maine Avenue,South Portland,Cumberland,ME,04027,(207) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,ME-ALF-40027,Maine Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8364,-70.2854
28,Acadia Commons,1200 Pine Tree Boulevard,Westbrook,Cumberland,ME,04028,(207) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,ME-ALF-40028,Maine Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.846399999999996,-70.27539999999999
29,Downeast Village,1300 Lighthouse Drive,Gorham,Cumberland,ME,04029,(207) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,ME-ALF-40029,Maine Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.856399999999994,-70.2654
30,Portland Manor,1400 Acadia Street,Scarborough,Cumberland,ME,04030,(207) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,ME-ALF-40030,Maine Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8664,-70.2554
31,Bangor Commons,1500 Downeast Avenue,Cape Elizabeth,Cumberland,ME,04031,(207) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,ME-ALF-40031,Maine Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.8764,-70.24539999999999
32,Augusta Village,1600 Portland Boulevard,Falmouth,Cumberland,ME,04032,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,ME-ALF-40032,Maine Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.cumberland-senior-living.com,Active,Maine Department of Health and Human Services,2025-07-17,43.886399999999995,-70.2354
