id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Chesapeake Bay Manor,1000 Main Street,Cumberland,Allegany,MD,20001,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20001,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5764,-78.8054
2,Old Line Village,1100 Maryland Avenue,Frostburg,Allegany,MD,20002,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20002,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.5864,-78.7954
3,Baltimore Commons,1200 Chesapeake Boulevard,Westernport,Allegany,MD,20003,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20003,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.596399999999996,-78.7854
4,Annapolis Village,1300 Old Line Drive,Lonaconing,Allegany,MD,20004,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20004,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.606399999999994,-78.7754
5,Frederick Manor,1400 Baltimore Street,Midland,Allegany,MD,20005,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20005,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6164,-78.7654
6,Rockville Commons,1500 Annapolis Avenue,Barton,Allegany,MD,20006,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20006,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6264,-78.7554
7,Gaithersburg Village,1600 Frederick Boulevard,Luke,Allegany,MD,20007,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20007,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.636399999999995,-78.7454
8,Silver Spring Manor,1700 Rockville Drive,Cresaptown,Allegany,MD,20008,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20008,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6464,-78.7354
9,Bethesda Commons,1800 Gaithersburg Street,Cumberland,Allegany,MD,20009,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20009,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.6564,-78.8054
10,Towson Village,1900 Silver Spring Avenue,Frostburg,Allegany,MD,20010,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20010,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.allegany-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.666399999999996,-78.7954
11,Chesapeake Bay Manor,1000 Main Street,Annapolis,Anne Arundel,MD,20011,(240) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,MD-ALF-20011,Maryland Department of Health,2024-03-01,80,True,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.976400000000005,-76.5554
12,Old Line Village,1100 Maryland Avenue,Glen Burnie,Anne Arundel,MD,20012,(240) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,MD-ALF-20012,Maryland Department of Health,2024-04-02,81,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9864,-76.5454
13,Baltimore Commons,1200 Chesapeake Boulevard,Severna Park,Anne Arundel,MD,20013,(240) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,MD-ALF-20013,Maryland Department of Health,2024-05-03,82,False,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,38.9964,-76.5354
14,Annapolis Village,1300 Old Line Drive,Pasadena,Anne Arundel,MD,20014,(240) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,MD-ALF-20014,Maryland Department of Health,2024-06-04,83,True,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0064,-76.5254
15,Frederick Manor,1400 Baltimore Street,Crofton,Anne Arundel,MD,20015,(240) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,MD-ALF-20015,Maryland Department of Health,2024-07-05,84,False,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.016400000000004,-76.5154
16,Rockville Commons,1500 Annapolis Avenue,Odenton,Anne Arundel,MD,20016,(240) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,MD-ALF-20016,Maryland Department of Health,2024-08-06,85,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0264,-76.5054
17,Gaithersburg Village,1600 Frederick Boulevard,Arnold,Anne Arundel,MD,20017,(240) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,MD-ALF-20017,Maryland Department of Health,2024-09-07,86,True,True,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0364,-76.4954
18,Silver Spring Manor,1700 Rockville Drive,Millersville,Anne Arundel,MD,20018,(240) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,MD-ALF-20018,Maryland Department of Health,2024-10-08,87,False,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.046400000000006,-76.4854
19,Bethesda Commons,1800 Gaithersburg Street,Annapolis,Anne Arundel,MD,20019,(240) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,MD-ALF-20019,Maryland Department of Health,2024-11-09,88,False,True,True,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.056400000000004,-76.5554
20,Towson Village,1900 Silver Spring Avenue,Glen Burnie,Anne Arundel,MD,20020,(240) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,MD-ALF-20020,Maryland Department of Health,2024-03-10,89,True,False,False,https://www.annearundel-senior-living.com,Active,Maryland Department of Health,2025-07-17,39.0664,-76.5454
