id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Bay State Manor,1000 Main Street,Hyannis,Barnstable,MA,01001,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80001,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.6503,-70.3362
2,Commonwealth Commons,1100 Massachusetts Avenue,Hyannis,Barnstable,MA,01002,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80002,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.6603,-70.3262
3,Pilgrim Village,1200 Commonwealth Avenue,Hyannis,Barnstable,MA,01003,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80003,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.6703,-70.3162
4,Minuteman Care,1300 Beacon Street,Hyannis,Barnstable,MA,01004,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80004,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.680299999999995,-70.3062
5,Beacon Hill Manor,1400 Washington Street,Hyannis,Barnstable,MA,01005,(621) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MA-ALF-80005,Massachusetts Department of Public Health,2024-07-05,79,False,True,True,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.6903,-70.2962
6,Cape Cod Village,1500 State Street,Hyannis,Barnstable,MA,01006,(622) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MA-ALF-80006,Massachusetts Department of Public Health,2024-08-06,80,False,False,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.7003,-70.2862
7,Berkshire Commons,1600 Park Street,Hyannis,Barnstable,MA,01007,(623) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,MA-ALF-80007,Massachusetts Department of Public Health,2024-09-07,81,True,True,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.7103,-70.2762
8,Pioneer Valley Manor,1700 School Street,Hyannis,Barnstable,MA,01008,(624) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,MA-ALF-80008,Massachusetts Department of Public Health,2024-10-08,82,False,False,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.7203,-70.2662
9,North Shore Village,1800 Church Street,Hyannis,Barnstable,MA,01009,(625) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,MA-ALF-80009,Massachusetts Department of Public Health,2024-11-09,83,False,True,True,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.7303,-70.3362
10,South Shore Commons,1900 Elm Street,Hyannis,Barnstable,MA,01010,(626) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,MA-ALF-80010,Massachusetts Department of Public Health,2024-03-10,84,True,False,False,https://www.barnstable-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,41.7403,-70.3262
11,Bay State Manor,1000 Main Street,Pittsfield,Berkshire,MA,01011,(617) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MA-ALF-80011,Massachusetts Department of Public Health,2024-03-01,75,True,True,True,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.2618,-73.2222
12,Commonwealth Commons,1100 Massachusetts Avenue,Pittsfield,Berkshire,MA,01012,(618) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MA-ALF-80012,Massachusetts Department of Public Health,2024-04-02,76,False,False,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.2718,-73.2122
13,Pilgrim Village,1200 Commonwealth Avenue,Pittsfield,Berkshire,MA,01013,(619) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MA-ALF-80013,Massachusetts Department of Public Health,2024-05-03,77,False,True,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.2818,-73.20219999999999
14,Minuteman Care,1300 Beacon Street,Pittsfield,Berkshire,MA,01014,(620) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MA-ALF-80014,Massachusetts Department of Public Health,2024-06-04,78,True,False,False,https://www.berkshire-senior-living.com,Active,Massachusetts Department of Public Health,2025-07-17,42.291799999999995,-73.1922
