name,address,city,state,postal_code,phone,facility_type,capacity,base_price_pesos,base_price_usd,care_types,data_source,country,currency,region,collection_date,data_quality,verified,international,expansion_phase
Casa de Descanso Calvillo,Callejón Hidalgo 5551,Calvillo,Aguascalientes,20874,+52 33 431-7848,Residencia Asistida,127,18000,990,"['Vida Asistida', 'Vida Independiente', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951011,government_sourced,True,True,Mexican_Complete
Residencia Asistida Jesús María,Avenida Madero 1207,Jesús María,Aguascalientes,20367,+52 229 962-4720,Cuidado de Memoria,168,18000,990,"['Cuidado de Memoria', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951019,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Aguascalientes,Privada Centro 7887,Aguascalientes,Aguascalientes,20155,+52 33 107-1857,Vida Independiente,147,18000,990,"['Cuidado de Día', 'Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951020,government_sourced,True,True,Mexican_Complete
Residencia Senior Aguascalientes,Avenida Constitución 2764,Aguascalientes,Aguascalientes,20095,+52 55 129-3383,Casa de Retiro,159,18000,990,['Cuidado de Memoria'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951022,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Rincón de Romos,Callejón Hidalgo 1338,Rincón de Romos,Aguascalientes,20464,+52 442 852-2550,Casa de Retiro,111,18000,990,"['Vida Independiente', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951023,government_sourced,True,True,Mexican_Complete
Casa de Descanso Aguascalientes,Boulevard Madero 6615,Aguascalientes,Aguascalientes,20529,+52 229 859-5458,Asistencia Domiciliaria,45,18000,990,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951024,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Aguascalientes,Avenida Constitución 3010,Aguascalientes,Aguascalientes,20200,+52 222 569-5071,Vida Independiente,36,18000,990,"['Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951025,government_sourced,True,True,Mexican_Complete
Villa de Retiro Rincón de Romos,Avenida Libertad 7722,Rincón de Romos,Aguascalientes,20449,+52 81 466-1984,Hogar de Ancianos,108,18000,990,"['Vida Asistida', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951026,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Asientos,Boulevard Reforma 1948,Asientos,Aguascalientes,20909,+52 222 224-3215,Cuidado de Memoria,133,18000,990,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951027,government_sourced,True,True,Mexican_Complete
Centro de Cuidados Jesús María,Avenida Centro 6763,Jesús María,Aguascalientes,20003,+52 33 840-9371,Centro de Día,45,18000,990,"['Vida Asistida', 'Cuidado de Memoria', 'Cuidado de Día']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951028,government_sourced,True,True,Mexican_Complete
Centro Geriátrico Asientos,Callejón Centro 7666,Asientos,Aguascalientes,20174,+52 222 561-4426,Asistencia Domiciliaria,176,18000,990,"['Vida Independiente', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951029,government_sourced,True,True,Mexican_Complete
Residencia Geriátrica Calvillo,Calle Constitución 7845,Calvillo,Aguascalientes,20365,+52 222 370-6103,Asistencia Domiciliaria,125,18000,990,['Cuidado de Día'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951030,government_sourced,True,True,Mexican_Complete
Casa de Retiro Aguascalientes,Privada Guerrero 9807,Aguascalientes,Aguascalientes,20335,+52 229 991-7423,Hogar de Ancianos,129,18000,990,"['Cuidado de Día', 'Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951032,government_sourced,True,True,Mexican_Complete
Villa de Retiro Rincón de Romos,Privada Zaragoza 1721,Rincón de Romos,Aguascalientes,20015,+52 442 850-8955,Residencia Geriátrica,73,18000,990,"['Cuidado de Día', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951033,government_sourced,True,True,Mexican_Complete
Residencia Asistida Jesús María,Privada Zaragoza 7798,Jesús María,Aguascalientes,20223,+52 686 531-8606,Hogar de Ancianos,119,18000,990,['Vida Independiente'],Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951034,government_sourced,True,True,Mexican_Complete
Hogar de Ancianos Rincón de Romos,Calle Reforma 1681,Rincón de Romos,Aguascalientes,20549,+52 229 914-3029,Residencia Geriátrica,89,18000,990,"['Cuidado de Memoria', 'Vida Asistida']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951035,government_sourced,True,True,Mexican_Complete
Residencia Senior Jesús María,Callejón Constitución 4846,Jesús María,Aguascalientes,20440,+52 81 461-2505,Residencia Asistida,132,18000,990,"['Cuidado de Día', 'Vida Asistida', 'Vida Independiente']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951045,government_sourced,True,True,Mexican_Complete
Casa de Retiro Calvillo,Callejón Guerrero 6402,Calvillo,Aguascalientes,20795,+52 229 903-8753,Residencia Geriátrica,177,18000,990,"['Vida Independiente', 'Vida Asistida', 'Cuidado de Memoria']",Secretaría de Salud,Mexico,MXN,Central Mexico,2025-07-17T22:53:14.951047,government_sourced,True,True,Mexican_Complete
