id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Great Lakes Manor,1000 Main Street,Harrisville,Alcona,MI,48001,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30001,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
2,Lakeside Living,1100 State Street,Harrisville,Alcona,MI,48002,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30002,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
3,Pine Ridge,1200 Michigan Avenue,Harrisville,Alcona,MI,48003,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30003,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
4,Maple Gardens,1300 Lake Street,Harrisville,Alcona,MI,48004,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30004,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
5,Heartland Manor,1400 Oak Street,Harrisville,Alcona,MI,48005,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30005,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
6,Autumn Ridge,1500 Maple Avenue,Harrisville,Alcona,MI,48006,(318) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,MI-ALF-30006,Michigan Department of Health and Human Services,2024-08-06,75,False,False,False,https://www.alcona-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.6073,-84.5453
7,Great Lakes Manor,1000 Main Street,Munising,Alger,MI,48007,(313) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,MI-ALF-30007,Michigan Department of Health and Human Services,2024-03-01,70,True,True,True,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.557300000000005,-84.59530000000001
8,Lakeside Living,1100 State Street,Munising,Alger,MI,48008,(314) 401-1001,Senior Living,Adult Foster Care; Skilled Nursing; Rehabilitation,26,MI-ALF-30008,Michigan Department of Health and Human Services,2024-04-02,71,False,False,False,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5673,-84.5853
9,Pine Ridge,1200 Michigan Avenue,Munising,Alger,MI,48009,(315) 402-1002,Senior Living,Continuing Care; Respite Care; Adult Day Services,27,MI-ALF-30009,Michigan Department of Health and Human Services,2024-05-03,72,False,True,False,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5773,-84.5753
10,Maple Gardens,1300 Lake Street,Munising,Alger,MI,48010,(316) 403-1003,Senior Living,Independent Living; Personal Care; Alzheimer's Care,28,MI-ALF-30010,Michigan Department of Health and Human Services,2024-06-04,73,True,False,False,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.5873,-84.56530000000001
11,Heartland Manor,1400 Oak Street,Munising,Alger,MI,48011,(317) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,MI-ALF-30011,Michigan Department of Health and Human Services,2024-07-05,74,False,True,True,https://www.alger-senior-living.com,Active,Michigan Department of Health and Human Services,2025-07-17,42.597300000000004,-84.5553
