id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,North Star Manor,1000 Main Street,Aitkin,Aitkin,MN,55001,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50001,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.927800000000005,-93.305
2,Land of Lakes Commons,1100 Minnesota Avenue,Aitkin,Aitkin,MN,55002,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50002,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9378,-93.295
3,Prairie View Care,1200 State Street,Aitkin,Aitkin,MN,55003,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50003,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9478,-93.285
4,Gopher State Village,1300 Lake Street,Aitkin,Aitkin,MN,55004,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50004,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9578,-93.275
5,Twin Cities Manor,1400 Oak Street,Aitkin,Aitkin,MN,55005,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50005,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.967800000000004,-93.265
6,Boundary Waters Commons,1500 Maple Avenue,Aitkin,Aitkin,MN,55006,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50006,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9778,-93.255
7,Iron Range Care,1600 Pine Street,Aitkin,Aitkin,MN,55007,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50007,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.aitkin-senior-living.com,Active,Minnesota Department of Health,2025-07-17,44.9878,-93.245
8,North Star Manor,1000 Main Street,Blaine,Anoka,MN,55008,(612) 300-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,MN-ALF-50008,Minnesota Department of Health,2024-03-01,75,True,True,True,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.148,-93.27690000000001
9,Land of Lakes Commons,1100 Minnesota Avenue,Blaine,Anoka,MN,55009,(613) 301-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,MN-ALF-50009,Minnesota Department of Health,2024-04-02,76,False,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.158,-93.2669
10,Prairie View Care,1200 State Street,Blaine,Anoka,MN,55010,(614) 302-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,MN-ALF-50010,Minnesota Department of Health,2024-05-03,77,False,True,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.168,-93.2569
11,Gopher State Village,1300 Lake Street,Blaine,Anoka,MN,55011,(615) 303-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,MN-ALF-50011,Minnesota Department of Health,2024-06-04,78,True,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.178,-93.24690000000001
12,Twin Cities Manor,1400 Oak Street,Blaine,Anoka,MN,55012,(616) 304-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,MN-ALF-50012,Minnesota Department of Health,2024-07-05,79,False,True,True,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.188,-93.2369
13,Boundary Waters Commons,1500 Maple Avenue,Blaine,Anoka,MN,55013,(617) 305-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,MN-ALF-50013,Minnesota Department of Health,2024-08-06,80,False,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.198,-93.2269
14,Iron Range Care,1600 Pine Street,Blaine,Anoka,MN,55014,(618) 306-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,MN-ALF-50014,Minnesota Department of Health,2024-09-07,81,True,True,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.208,-93.21690000000001
15,Mississippi River Manor,1700 Cedar Avenue,Blaine,Anoka,MN,55015,(619) 307-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,MN-ALF-50015,Minnesota Department of Health,2024-10-08,82,False,False,False,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.218,-93.2069
16,Northwoods Village,1800 First Street,Blaine,Anoka,MN,55016,(620) 308-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,MN-ALF-50016,Minnesota Department of Health,2024-11-09,83,False,True,True,https://www.anoka-senior-living.com,Active,Minnesota Department of Health,2025-07-17,45.228,-93.27690000000001
