id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Colonial Memory Care,4979 Highway 25,Olive Branch,DeSoto,MS,38685,(769) 583-9193,Memory Care Community,"Independent Living, Respite Care, Personal Care, Memory Care",106,MS-PCH-39387,Mississippi Department of Health,2024-07-24,85,False,True,True,https://www.olivebranch-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.87668,-90.947001
2,Magnolia Residence,8333 Highway 15,Horn Lake,DeSoto,MS,38623,(228) 330-6692,Intermediate Care Facility,"Adult Day Care, Assisted Living, Personal Care",73,MS-PCH-20846,Mississippi Department of Health,2024-06-02,81,False,True,False,https://www.hornlake-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.729172,-90.39743
3,Dogwood Place,8959 Highway 45,Horn Lake,DeSoto,MS,38653,(601) 798-3945,Personal Care Home,"Personal Care, Assisted Living, Independent Living",38,MS-PCH-10931,Mississippi Department of Health,2024-09-06,81,True,True,False,https://www.hornlake-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.931439,-91.497888
4,Creek Plaza,254 Highway 82,Horn Lake,DeSoto,MS,38677,(769) 665-5798,Continuing Care Retirement Community,"Assisted Living, Intermediate Care",58,MS-PCH-29161,Mississippi Department of Health,2024-11-17,88,False,True,True,https://www.hornlake-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.960679,-90.60643
5,Plantation Court,9334 Highway 61,Horn Lake,DeSoto,MS,38685,(662) 650-2304,Residential Care Home,"Intermediate Care, Independent Living, Assisted Living, Personal Care",123,MS-PCH-32607,Mississippi Department of Health,2024-11-20,95,True,True,True,https://www.hornlake-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.027314,-90.147625
6,River Residence,3032 Fortification Street,Olive Branch,DeSoto,MS,38615,(601) 337-9935,Intermediate Care Facility,"Respite Care, Personal Care, Memory Care",52,MS-PCH-18470,Mississippi Department of Health,2024-12-18,97,False,False,True,https://www.olivebranch-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.859224,-90.018195
7,Cypress Senior Living,670 Interstate 55,Senatobia,Tate,MS,39815,(228) 580-8629,Personal Care Home,"Assisted Living, Adult Day Care",96,MS-PCH-68820,Mississippi Department of Health,2024-07-07,84,False,False,False,https://www.senatobia-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.44623,-89.135397
8,Plantation Place,7123 Church Street,Senatobia,Tate,MS,39413,(228) 582-3135,Assisted Living Facility,"Intermediate Care, Adult Day Care, Assisted Living",77,MS-PCH-71758,Mississippi Department of Health,2024-11-18,81,False,True,True,https://www.senatobia-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.224203,-90.222423
9,Camellia Care Center,359 Highway 15,Coldwater,Tate,MS,39583,(601) 652-9948,Personal Care Home,"Personal Care, Skilled Nursing, Adult Day Care",97,MS-PCH-34377,Mississippi Department of Health,2024-08-26,82,False,True,False,https://www.coldwater-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.763144,-90.416493
10,Robinsonville Retirement Community,9323 Main Street,Robinsonville,Tunica,MS,38119,(228) 733-3539,Intermediate Care Facility,"Respite Care, Skilled Nursing, Personal Care, Continuing Care",103,MS-PCH-25268,Mississippi Department of Health,2024-10-10,71,True,False,False,https://www.robinsonville-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.990169,-88.408618
11,Tunica Plaza,6924 Court Street,White Oak,Tunica,MS,38392,(769) 706-9760,Intermediate Care Facility,"Continuing Care, Intermediate Care",54,MS-PCH-49649,Mississippi Department of Health,2024-02-06,82,True,True,True,https://www.whiteoak-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.687571,-89.852642
12,Colonial Court,6595 Main Street,Robinsonville,Tunica,MS,39512,(601) 805-3960,Skilled Nursing Facility,"Respite Care, Intermediate Care, Independent Living",68,MS-PCH-80062,Mississippi Department of Health,2024-04-18,100,True,False,True,https://www.robinsonville-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.983677,-91.59226
13,Friars Point Retirement Community,2183 Court Street,Friars Point,Coahoma,MS,39115,(769) 771-8151,Personal Care Home,"Continuing Care, Independent Living, Personal Care",107,MS-PCH-33781,Mississippi Department of Health,2024-09-01,92,True,False,False,https://www.friarspoint-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.787982,-91.453893
14,Oak Place,9055 Highway 82,Lyon,Coahoma,MS,38732,(601) 569-9774,Memory Care Community,"Intermediate Care, Continuing Care",69,MS-PCH-86079,Mississippi Department of Health,2024-02-23,81,True,False,True,https://www.lyon-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.52034,-88.816776
15,Colonial Estates,2503 Highway 49,Clarksdale,Coahoma,MS,38773,(769) 226-7894,Continuing Care Retirement Community,"Personal Care, Adult Day Care",51,MS-PCH-14987,Mississippi Department of Health,2024-09-19,86,False,False,False,https://www.clarksdale-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.363562,-88.293666
16,Coahoma Care Center,612 Old Canton Road,Friars Point,Coahoma,MS,39287,(769) 703-9265,Adult Day Care Center,"Continuing Care, Adult Day Care, Assisted Living, Skilled Nursing",99,MS-PCH-69467,Mississippi Department of Health,2024-01-19,70,False,False,True,https://www.friarspoint-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.054937,-90.013766
17,Delta Plaza,648 Fortification Street,Lambert,Quitman,MS,39764,(601) 952-9614,Continuing Care Retirement Community,"Respite Care, Personal Care, Memory Care",95,MS-PCH-84002,Mississippi Department of Health,2024-09-03,86,True,False,True,https://www.lambert-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.771677,-88.317169
18,Lambert Senior Living,773 Main Street,Lambert,Quitman,MS,39396,(662) 599-3628,Assisted Living Facility,"Respite Care, Personal Care, Independent Living",98,MS-PCH-55102,Mississippi Department of Health,2024-11-06,78,True,True,False,https://www.lambert-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.235721,-89.944471
19,Southern Estates,8472 Lakeland Drive,Lambert,Quitman,MS,39190,(769) 448-8821,Intermediate Care Facility,"Skilled Nursing, Continuing Care, Personal Care, Intermediate Care",107,MS-PCH-82506,Mississippi Department of Health,2024-04-13,85,False,True,False,https://www.lambert-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.083565,-88.589635
20,Bayou Commons,8090 County Line Road,Como,Panola,MS,38518,(601) 974-4058,Adult Day Care Center,"Respite Care, Intermediate Care, Skilled Nursing",61,MS-PCH-10900,Mississippi Department of Health,2024-10-28,99,False,False,True,https://www.como-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.129624,-90.631388
21,Heritage Estates,4747 Highway 45,Batesville,Panola,MS,38223,(601) 633-9847,Adult Day Care Center,"Adult Day Care, Independent Living",112,MS-PCH-64956,Mississippi Department of Health,2024-05-17,98,False,True,True,https://www.batesville-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.850668,-88.81637
22,Panola Memory Care,4199 Highway 25,Batesville,Panola,MS,39758,(662) 875-1157,Adult Day Care Center,"Personal Care, Skilled Nursing, Memory Care, Respite Care",107,MS-PCH-33056,Mississippi Department of Health,2024-05-08,98,True,True,True,https://www.batesville-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.269835,-91.007377
23,Bayou Assisted Living,770 Highway 45,Oakland,Yalobusha,MS,39737,(601) 566-8158,Skilled Nursing Facility,"Intermediate Care, Assisted Living, Personal Care",87,MS-PCH-25124,Mississippi Department of Health,2024-02-01,92,False,True,True,https://www.oakland-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.820546,-91.172237
24,Meadow Residence,4696 Main Street,Water Valley,Yalobusha,MS,39145,(769) 231-7222,Memory Care Community,"Intermediate Care, Memory Care",104,MS-PCH-57730,Mississippi Department of Health,2024-02-16,93,True,True,True,https://www.watervalley-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.192995,-90.030975
25,Grenada Village,2828 Highway 15,Holcomb,Grenada,MS,39626,(228) 400-7124,Adult Day Care Center,"Respite Care, Adult Day Care, Independent Living",25,MS-PCH-97351,Mississippi Department of Health,2024-01-05,85,False,True,True,https://www.holcomb-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.248463,-90.237583
26,Grenada Court,1015 Highway 45,Elliott,Grenada,MS,39513,(662) 387-9369,Memory Care Community,"Respite Care, Continuing Care",41,MS-PCH-12205,Mississippi Department of Health,2024-10-26,85,False,True,False,https://www.elliott-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.196498,-91.453153
27,Delta Residence,5820 Court Street,Holcomb,Grenada,MS,38944,(601) 838-1871,Memory Care Community,"Assisted Living, Continuing Care",96,MS-PCH-67229,Mississippi Department of Health,2024-06-12,79,False,True,False,https://www.holcomb-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.415272,-90.386154
28,Oak Assisted Living,9126 Church Street,Sumner,Tallahatchie,MS,38305,(601) 761-5818,Assisted Living Facility,"Independent Living, Continuing Care",137,MS-PCH-51116,Mississippi Department of Health,2024-12-17,70,False,True,True,https://www.sumner-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.677892,-91.412779
29,Plantation Residence,7116 Highway 45,Charleston,Tallahatchie,MS,38846,(662) 921-6374,Personal Care Home,"Assisted Living, Independent Living, Respite Care",88,MS-PCH-90628,Mississippi Department of Health,2024-03-05,85,False,False,True,https://www.charleston-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.438812,-88.530828
30,Colonial Gardens,8997 Lakeland Drive,Webb,Tallahatchie,MS,39335,(662) 253-2084,Skilled Nursing Facility,"Intermediate Care, Skilled Nursing, Respite Care",73,MS-PCH-20260,Mississippi Department of Health,2024-01-19,76,True,False,False,https://www.webb-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.737059,-90.172543
31,Willow House,2331 Highway 82,Charleston,Tallahatchie,MS,38857,(769) 525-3425,Assisted Living Facility,"Memory Care, Intermediate Care",72,MS-PCH-18091,Mississippi Department of Health,2024-12-13,75,True,True,True,https://www.charleston-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.927185,-91.281312
32,Pine Retirement Community,3102 Highway 61,Minter City,Leflore,MS,38531,(601) 902-1623,Memory Care Community,"Continuing Care, Intermediate Care",79,MS-PCH-29750,Mississippi Department of Health,2024-05-10,95,True,False,False,https://www.mintercity-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.514645,-91.082004
33,Garden Retirement Community,6413 Highway 25,Itta Bena,Leflore,MS,39711,(662) 560-6099,Skilled Nursing Facility,"Continuing Care, Personal Care",42,MS-PCH-94922,Mississippi Department of Health,2024-12-26,98,True,False,True,https://www.ittabena-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.938813,-91.63104
34,Oak Care Center,6265 Lakeland Drive,Greenwood,Leflore,MS,38631,(601) 452-6103,Intermediate Care Facility,"Memory Care, Independent Living, Skilled Nursing",131,MS-PCH-81138,Mississippi Department of Health,2024-03-16,75,True,False,True,https://www.greenwood-senior-care.com,Active,Mississippi Department of Health,2025-07-12,32.808854,-90.422247
35,Carrollton Gardens,9003 Interstate 55,Carrollton,Carroll,MS,38571,(228) 235-9018,Personal Care Home,"Adult Day Care, Continuing Care, Respite Care",33,MS-PCH-79418,Mississippi Department of Health,2024-12-15,86,False,False,True,https://www.carrollton-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.02839,-88.702019
36,Creek Assisted Living,8864 Highway 45,Carrollton,Carroll,MS,38618,(601) 633-7912,Continuing Care Retirement Community,"Skilled Nursing, Personal Care, Adult Day Care",52,MS-PCH-50201,Mississippi Department of Health,2024-01-07,83,False,True,False,https://www.carrollton-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.707416,-90.804043
37,Carroll Manor,119 Lakeland Drive,North Carrollton,Carroll,MS,39108,(228) 744-2943,Memory Care Community,"Memory Care, Personal Care, Continuing Care, Intermediate Care",123,MS-PCH-25988,Mississippi Department of Health,2024-02-24,97,True,True,True,https://www.northcarrollton-senior-care.com,Active,Mississippi Department of Health,2025-07-12,30.560943,-90.634954
38,Delta Gardens,1389 Interstate 55,Duck Hill,Montgomery,MS,38153,(601) 702-4635,Residential Care Home,"Personal Care, Independent Living",81,MS-PCH-67860,Mississippi Department of Health,2024-04-21,90,True,True,True,https://www.duckhill-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.627074,-89.28966
39,Montgomery Retirement Community,7359 County Line Road,Duck Hill,Montgomery,MS,39316,(769) 364-6246,Intermediate Care Facility,"Memory Care, Respite Care",79,MS-PCH-76249,Mississippi Department of Health,2024-11-22,92,True,True,True,https://www.duckhill-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.603859,-89.709639
40,Montgomery Assisted Living,1989 North State Street,Winona,Montgomery,MS,38711,(769) 837-1764,Adult Day Care Center,"Memory Care, Respite Care, Continuing Care, Personal Care",44,MS-PCH-86509,Mississippi Department of Health,2024-02-27,80,True,False,True,https://www.winona-senior-care.com,Active,Mississippi Department of Health,2025-07-12,33.288806,-88.737661
41,Bellefontaine Residence,207 Highway 15,Bellefontaine,Webster,MS,38199,(228) 504-1432,Intermediate Care Facility,"Continuing Care, Memory Care, Intermediate Care, Skilled Nursing",68,MS-PCH-18392,Mississippi Department of Health,2024-02-15,100,True,False,True,https://www.bellefontaine-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.912459,-89.205941
42,Meadow Care Center,6807 Highway 82,Eupora,Webster,MS,39333,(601) 765-5872,Adult Day Care Center,"Adult Day Care, Continuing Care",53,MS-PCH-61334,Mississippi Department of Health,2024-11-06,99,False,False,True,https://www.eupora-senior-care.com,Active,Mississippi Department of Health,2025-07-12,34.950216,-88.835845
43,Eupora Plaza,1737 Interstate 55,Eupora,Webster,MS,39995,(601) 200-5137,Adult Day Care Center,"Memory Care, Personal Care, Intermediate Care, Assisted Living",89,MS-PCH-77749,Mississippi Department of Health,2024-11-21,78,False,False,True,https://www.eupora-senior-care.com,Active,Mississippi Department of Health,2025-07-12,31.251551,-91.2324
