id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Gateway Manor,1000 Main Street,Kirksville,Adair,MO,63001,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60001,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.139700000000005,-92.62960000000001
2,Show-Me Village,1100 Missouri Avenue,Kirksville,Adair,MO,63002,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60002,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.1497,-92.6196
3,Ozark Commons,1200 Gateway Boulevard,Kirksville,Adair,MO,63003,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60003,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.1597,-92.6096
4,Missouri River Village,1300 Show-Me Drive,Kirksville,Adair,MO,63004,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60004,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.1697,-92.59960000000001
5,Kansas City Commons,1400 Ozark Street,Kirksville,Adair,MO,63005,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60005,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.179700000000004,-92.5896
6,St. Louis Manor,1500 Kansas City Avenue,Kirksville,Adair,MO,63006,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60006,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.1897,-92.5796
7,Gateway Manor,1000 Main Street,Savannah,Andrew,MO,63007,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60007,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.8969,-94.8733
8,Show-Me Village,1100 Missouri Avenue,Savannah,Andrew,MO,63008,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60008,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.9069,-94.8633
9,Ozark Commons,1200 Gateway Boulevard,Savannah,Andrew,MO,63009,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60009,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.9169,-94.85329999999999
10,Missouri River Village,1300 Show-Me Drive,Savannah,Andrew,MO,63010,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60010,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.926899999999996,-94.8433
11,Kansas City Commons,1400 Ozark Street,Savannah,Andrew,MO,63011,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60011,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.9369,-94.8333
12,St. Louis Manor,1500 Kansas City Avenue,Savannah,Andrew,MO,63012,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60012,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.andrew-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.9469,-94.82329999999999
13,Gateway Manor,1000 Main Street,Rock Port,Atchison,MO,63013,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60013,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.2811,-95.58080000000001
14,Show-Me Village,1100 Missouri Avenue,Rock Port,Atchison,MO,63014,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60014,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.2911,-95.5708
15,Ozark Commons,1200 Gateway Boulevard,Rock Port,Atchison,MO,63015,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60015,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.3011,-95.5608
16,Missouri River Village,1300 Show-Me Drive,Rock Port,Atchison,MO,63016,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60016,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.311099999999996,-95.55080000000001
17,Kansas City Commons,1400 Ozark Street,Rock Port,Atchison,MO,63017,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60017,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.3211,-95.5408
18,St. Louis Manor,1500 Kansas City Avenue,Rock Port,Atchison,MO,63018,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60018,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.atchison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.3311,-95.5308
19,Gateway Manor,1000 Main Street,Mexico,Audrain,MO,63019,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60019,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.2053,-91.92540000000001
20,Show-Me Village,1100 Missouri Avenue,Mexico,Audrain,MO,63020,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60020,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.2153,-91.9154
21,Ozark Commons,1200 Gateway Boulevard,Mexico,Audrain,MO,63021,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60021,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.2253,-91.9054
22,Missouri River Village,1300 Show-Me Drive,Mexico,Audrain,MO,63022,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60022,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.235299999999995,-91.89540000000001
23,Kansas City Commons,1400 Ozark Street,Mexico,Audrain,MO,63023,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60023,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.2453,-91.8854
24,St. Louis Manor,1500 Kansas City Avenue,Mexico,Audrain,MO,63024,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60024,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.audrain-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.2553,-91.8754
25,Gateway Manor,1000 Main Street,Cassville,Barry,MO,63025,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60025,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.6764,-93.86710000000001
26,Show-Me Village,1100 Missouri Avenue,Cassville,Barry,MO,63026,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60026,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.6864,-93.8571
27,Ozark Commons,1200 Gateway Boulevard,Cassville,Barry,MO,63027,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60027,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.6964,-93.8471
28,Missouri River Village,1300 Show-Me Drive,Cassville,Barry,MO,63028,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60028,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.706399999999995,-93.8371
29,Kansas City Commons,1400 Ozark Street,Cassville,Barry,MO,63029,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60029,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.7164,-93.8271
30,St. Louis Manor,1500 Kansas City Avenue,Cassville,Barry,MO,63030,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60030,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.barry-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.7264,-93.8171
31,Gateway Manor,1000 Main Street,Lamar,Barton,MO,63031,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60031,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.barton-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.476400000000005,-94.3849
