id,name,address,city,state,zipCode,phone,facilityType,licenseNumber,careTypes,county,isCountySeat,source,dataSource,lastUpdate
1,Desert Oasis Senior Living,5700 Carson St Way,Carson City,NV,89701,(725) 651-6373,Senior Living,NV93999,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694448
2,Sagebrush Gardens Assisted Living,5700 Carson St Way,Carson City,NV,89701,(775) 778-3105,Senior Living,NV91794,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694482
3,Sierra Vista Memory Care,5700 Carson St Way,Carson City,NV,89701,(725) 894-7248,Senior Living,NV74629,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694503
4,Tahoe Pines Senior Care,5700 Carson St Way,Carson City,NV,89701,(775) 896-2087,Senior Living,NV16100,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694524
5,Comstock Manor Retirement Community,5700 Carson St Way,Carson City,NV,89701,(725) 680-6865,Senior Living,NV93807,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694557
6,Ruby Mountain Senior Village,5700 Carson St Way,Carson City,NV,89701,(702) 469-3614,Senior Living,NV16640,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694605
7,Charleston Peak Care Center,5700 Carson St Way,Carson City,NV,89701,(775) 683-5501,Senior Living,NV93988,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694628
8,Lake Tahoe Manor,5700 Carson St Way,Carson City,NV,89701,(775) 215-9748,Senior Living,NV33857,"['Assisted Living', 'Memory Care']",Carson City,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694657
9,Red Rock Senior Living,9100 Main Street Pkwy,Fallon,NV,89406,(775) 875-5668,Senior Living,NV51480,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694783
10,Valley of Fire Assisted Living,9100 Main Street Pkwy,Fallon,NV,89406,(775) 338-8565,Senior Living,NV37909,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694810
11,Hoover Dam Memory Care,9100 Main Street Pkwy,Fallon,NV,89406,(702) 549-9709,Senior Living,NV40281,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694834
12,Pyramid Lake Senior Care,9100 Main Street Pkwy,Fallon,NV,89406,(725) 366-4884,Senior Living,NV70951,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694853
13,Walker Lake Retirement Community,9100 Main Street Pkwy,Fallon,NV,89406,(725) 766-5420,Senior Living,NV56318,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694872
14,Mount Wheeler Senior Village,9100 Main Street Pkwy,Fallon,NV,89406,(775) 266-6894,Senior Living,NV44354,"['Assisted Living', 'Memory Care']",Churchill,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694890
15,Great Basin Senior Living,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 827-7458,Senior Living,NV56318,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.694986
16,Black Rock Assisted Living,5400 Flamingo Rd St,Las Vegas,NV,89101,(725) 591-8907,Senior Living,NV85678,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695006
17,Spring Mountains Memory Care,5400 Flamingo Rd St,Las Vegas,NV,89101,(775) 338-7535,Senior Living,NV37670,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695038
18,Mojave Desert Senior Care,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 608-5491,Senior Living,NV82989,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695058
19,Nevada Sky Retirement Community,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 753-4913,Senior Living,NV36584,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695077
20,Carson Valley Senior Village,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 430-9816,Senior Living,NV82277,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695096
21,Truckee Meadows Care Center,5400 Flamingo Rd St,Las Vegas,NV,89101,(775) 763-7387,Senior Living,NV35007,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695114
22,Las Vegas Valley Manor,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 609-7234,Senior Living,NV89489,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695132
23,Reno Heights Residence,5400 Flamingo Rd St,Las Vegas,NV,89101,(702) 858-8990,Senior Living,NV70197,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695179
24,Sparks Ridge Gardens,5400 Flamingo Rd St,Las Vegas,NV,89101,(775) 337-3147,Senior Living,NV30963,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695215
25,Henderson Hills Estates,5400 Flamingo Rd St,Las Vegas,NV,89101,(725) 307-7885,Senior Living,NV10636,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695246
26,Boulder Creek Villa,5400 Flamingo Rd St,Las Vegas,NV,89101,(775) 754-4589,Senior Living,NV55121,"['Assisted Living', 'Memory Care']",Clark,True,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695266
27,Mesquite Springs Senior Living,4900 Sahara Ave Dr,Henderson,NV,89002,(702) 589-4431,Senior Living,NV40728,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695291
28,Pahrump Valley Assisted Living,4900 Sahara Ave Dr,Henderson,NV,89002,(702) 282-4499,Senior Living,NV56440,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695311
29,Elko Canyon Memory Care,4900 Sahara Ave Dr,Henderson,NV,89002,(775) 277-5244,Senior Living,NV40630,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695337
30,Winnemucca Winds Senior Care,4900 Sahara Ave Dr,Henderson,NV,89002,(725) 313-7370,Senior Living,NV35735,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695355
31,Fallon Fields Senior Living,5000 Tropicana Ave Way,North Las Vegas,NV,89030,(725) 896-3234,Senior Living,NV87139,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695374
32,Ely Estates Assisted Living,5000 Tropicana Ave Way,North Las Vegas,NV,89030,(702) 685-2278,Senior Living,NV48777,"['Assisted Living', 'Memory Care']",Clark,False,Nevada Department of Health and Human Services,nevada_government_records,2025-07-10T15:32:50.695395
