id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Granite State Manor,1000 Main Street,Laconia,Belknap,NH,03001,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30001,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.476400000000005,-71.50540000000001
2,White Mountain Village,1100 New Hampshire Avenue,Gilford,Belknap,NH,03002,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30002,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.4864,-71.4954
3,Seacoast Commons,1200 Granite State Boulevard,Belmont,Belknap,NH,03003,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30003,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.4964,-71.4854
4,Monadnock Village,1300 White Mountain Drive,Tilton,Belknap,NH,03004,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30004,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.5064,-71.47540000000001
5,Manchester Manor,1400 Seacoast Street,Meredith,Belknap,NH,03005,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30005,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.516400000000004,-71.4654
6,Nashua Commons,1500 Monadnock Avenue,Alton,Belknap,NH,03006,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30006,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.5264,-71.4554
7,Concord Village,1600 Manchester Boulevard,Barnstead,Belknap,NH,03007,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30007,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.5364,-71.4454
8,Keene Manor,1700 Nashua Drive,Gilmanton,Belknap,NH,03008,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30008,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.546400000000006,-71.4354
9,Portsmouth Commons,1800 Concord Street,Laconia,Belknap,NH,03009,(603) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,28,NH-RCF-30009,New Hampshire Department of Health and Human Services,2024-11-09,88,False,True,True,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.556400000000004,-71.50540000000001
10,Derry Village,1900 Keene Avenue,Gilford,Belknap,NH,03010,(603) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,29,NH-RCF-30010,New Hampshire Department of Health and Human Services,2024-03-10,89,True,False,False,https://www.belknap-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.5664,-71.4954
11,Granite State Manor,1000 Main Street,Conway,Carroll,NH,03011,(603) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,NH-RCF-30011,New Hampshire Department of Health and Human Services,2024-03-01,80,True,True,True,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8264,-71.2754
12,White Mountain Village,1100 New Hampshire Avenue,Wolfeboro,Carroll,NH,03012,(603) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,NH-RCF-30012,New Hampshire Department of Health and Human Services,2024-04-02,81,False,False,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8364,-71.2654
13,Seacoast Commons,1200 Granite State Boulevard,Ossipee,Carroll,NH,03013,(603) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,NH-RCF-30013,New Hampshire Department of Health and Human Services,2024-05-03,82,False,True,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.846399999999996,-71.2554
14,Monadnock Village,1300 White Mountain Drive,Wakefield,Carroll,NH,03014,(603) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,NH-RCF-30014,New Hampshire Department of Health and Human Services,2024-06-04,83,True,False,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.856399999999994,-71.2454
15,Manchester Manor,1400 Seacoast Street,Tamworth,Carroll,NH,03015,(603) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,NH-RCF-30015,New Hampshire Department of Health and Human Services,2024-07-05,84,False,True,True,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8664,-71.2354
16,Nashua Commons,1500 Monadnock Avenue,Madison,Carroll,NH,03016,(603) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,NH-RCF-30016,New Hampshire Department of Health and Human Services,2024-08-06,85,False,False,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8764,-71.2254
17,Concord Village,1600 Manchester Boulevard,Freedom,Carroll,NH,03017,(603) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,NH-RCF-30017,New Hampshire Department of Health and Human Services,2024-09-07,86,True,True,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.886399999999995,-71.2154
18,Keene Manor,1700 Nashua Drive,Effingham,Carroll,NH,03018,(603) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,NH-RCF-30018,New Hampshire Department of Health and Human Services,2024-10-08,87,False,False,False,https://www.carroll-senior-living.com,Active,New Hampshire Department of Health and Human Services,2025-07-17,43.8964,-71.2054
