id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Garden State Manor,1000 Main Street,Atlantic City,Atlantic,NJ,07002,(201) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,45,NJ-ALF-90001,New Jersey Department of Health,2024-03-01,75,True,True,True,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3143,-74.4629
2,Liberty Village,1100 Park Avenue,Atlantic City,Atlantic,NJ,07003,(202) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,46,NJ-ALF-90002,New Jersey Department of Health,2024-04-02,76,False,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3243,-74.4529
3,Jersey Shore Commons,1200 Garden State Parkway,Atlantic City,Atlantic,NJ,07004,(203) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,47,NJ-ALF-90003,New Jersey Department of Health,2024-05-03,77,False,True,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3343,-74.4429
4,Pine Barrens Manor,1300 Route 1,Atlantic City,Atlantic,NJ,07005,(204) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,48,NJ-ALF-90004,New Jersey Department of Health,2024-06-04,78,True,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3443,-74.4329
5,Atlantic View Village,1400 Washington Street,Atlantic City,Atlantic,NJ,07006,(205) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,49,NJ-ALF-90005,New Jersey Department of Health,2024-07-05,79,False,True,True,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3543,-74.4229
6,Delaware Bay Commons,1500 Lincoln Avenue,Atlantic City,Atlantic,NJ,07007,(206) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,50,NJ-ALF-90006,New Jersey Department of Health,2024-08-06,80,False,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3643,-74.4129
7,Palisades Manor,1600 Kennedy Boulevard,Atlantic City,Atlantic,NJ,07008,(207) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,51,NJ-ALF-90007,New Jersey Department of Health,2024-09-07,81,True,True,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3743,-74.4029
8,Meadowlands Village,1700 MLK Jr. Drive,Atlantic City,Atlantic,NJ,07009,(208) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,52,NJ-ALF-90008,New Jersey Department of Health,2024-10-08,82,False,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3843,-74.3929
9,Princeton Commons,1800 Broad Street,Atlantic City,Atlantic,NJ,07010,(209) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,53,NJ-ALF-90009,New Jersey Department of Health,2024-11-09,83,False,True,True,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3943,-74.4629
10,Trenton Manor,1900 State Street,Atlantic City,Atlantic,NJ,07011,(210) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,54,NJ-ALF-90010,New Jersey Department of Health,2024-03-10,84,True,False,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.4043,-74.4529
11,Newark Village,2000 Essex Street,Atlantic City,Atlantic,NJ,07012,(211) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,55,NJ-ALF-90011,New Jersey Department of Health,2024-04-11,85,False,True,False,https://www.atlantic-senior-living.com,Active,New Jersey Department of Health,2025-07-17,39.3143,-74.4429
