name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Land of Enchantment Bernalillo Care,153 Lomas Blvd,Albuquerque,NM,87101,(505) 481-6893,Bernalillo,Central New Mexico,35.06338294906689,-106.65315171173768,NM-ALF-90000,Active,"['Independent Living', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446655,False
Albuquerque Southwest Care,687 Main St,Albuquerque,NM,87101,(505) 294-9002,Bernalillo,Central New Mexico,35.09130755392661,-106.67249026290153,NM-ALF-90001,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446690,False
Albuquerque Ridge Assisted Living,3807 Rodeo Rd,Albuquerque,NM,87101,(505) 667-2813,Bernalillo,Central New Mexico,35.06731518867888,-106.63920350720544,NM-ALF-90002,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446706,False
Bernalillo Manor,931 Cerrillos Rd,Albuquerque,NM,87101,(505) 993-7109,Bernalillo,Central New Mexico,35.06486475216978,-106.64725323094177,NM-ALF-90003,Active,"['Independent Living', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446726,False
New Mexico Albuquerque Senior Living,775 St. Francis Dr,Albuquerque,NM,87101,(505) 655-9645,Bernalillo,Central New Mexico,35.07455522815504,-106.6569626935826,NM-ALF-90004,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446739,False
Bernalillo Ridge Assisted Living,1846 Paseo del Pueblo Norte,Bernalillo,NM,87004,(505) 549-2618,Sandoval,Central New Mexico,35.31114319625078,-106.55838278493677,NM-ALF-90005,Active,"['Memory Care', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446752,False
Bernalillo Assisted Living,318 Main St,Bernalillo,NM,87004,(505) 768-9272,Sandoval,Central New Mexico,35.30480364188382,-106.55213047208336,NM-ALF-90006,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446777,False
New Mexico Bernalillo Senior Living,3026 Cerrillos Rd,Bernalillo,NM,87004,(505) 484-6805,Sandoval,Central New Mexico,35.307809746442544,-106.54725001295131,NM-ALF-90007,Active,"['Skilled Nursing', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446801,False
Sandoval Memory Care Center,294 Central Ave,Bernalillo,NM,87004,(505) 754-6164,Sandoval,Central New Mexico,35.30621159659673,-106.52794686565124,NM-ALF-90008,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446812,False
Los Lunas Heights Retirement,243 Coors Blvd,Los Lunas,NM,87031,(505) 954-9235,Valencia,Central New Mexico,34.82880605873633,-106.73210021084356,NM-ALF-90009,Active,"['Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446828,False
Adobe Valencia Senior Care,3310 Fourth St,Los Lunas,NM,87031,(505) 597-7286,Valencia,Central New Mexico,34.82164913134266,-106.74676880540244,NM-ALF-90010,Active,"['Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446843,False
Turquoise Valencia Senior Village,3332 Canyon Rd,Los Lunas,NM,87031,(505) 325-6228,Valencia,Central New Mexico,34.790965779654066,-106.73315148550397,NM-ALF-90011,Active,"['Assisted Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,new_mexico_government_records,2025-07-10T21:17:37.446858,False
