name,address,city,state,zip_code,county,phone,care_types,facility_type,description,license_number,operator_name,ownership_type,latitude,longitude,data_source,verification_status,last_updated
The Villas at Dominican Village,565-567 Albany Avenue,Amityville,NY,11701,Suffolk,(631) 842-6091,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-287,Dominican Village EHP,Not for Profit Corporation,40.70406,-73.402961,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201666
Heathwood Assisted Living at Penfield,100 Elderwood Court,Penfield,NY,14526,Monroe,(585) 425-9663,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-852,"Heathwood Assisted Living At Penfield, Inc.",Business Corporation,43.136965,-77.440144,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201682
The Terrace at Glen Eddy,1 Ascot Lane,Niskayuna,NY,12309,Schenectady,(518) 280-8361,['Enriched Housing'],Senior Living Community,Enriched Housing Program,650-S-067,Glen Eddy Inc.,Not for Profit Corporation,42.776093,-73.878271,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201688
The Bristal at East Northport,760 Larkfield Road,East Northport,NY,11731,Suffolk,(631) 858-0100,['Enriched Housing'],Senior Living Community,Enriched Housing Program,700-S-303,"Engel Burman Sr. Housing at East Northport, LLC",LLC,40.838157,-73.313347,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201692
Brookdale Niagara Assisted Living,6741 Nash Road,North Tonawanda,NY,14120,Niagara,(716) 731-1634,['Enriched Housing'],Senior Living Community,Enriched Housing Program,500-S-002,"SH Niagara Operator, Inc.",Business Corporation,43.097489,-78.865318,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201696
Brentland Woods,3831 East Henrietta Road,Henrietta,NY,14467,Monroe,(585) 321-1490,['Enriched Housing'],Senior Living Community,Enriched Housing Program,370-S-838,"CH Services, Inc.",Not for Profit Corporation,43.046565,-77.624734,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201700
Willow Towers EHP,355 Pelham Road,New Rochelle,NY,10805,Westchester,(914) 636-6565,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-131,"Willow Towers, Inc.",Not for Profit Corporation,40.898343,-73.77876,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201704
The Club at Briarcliff Manor,25 Scarborough Road,Briarcliff Manor,NY,10510,Westchester,(914) 618-5496,['Enriched Housing'],Senior Living Community,Enriched Housing Program,800-S-157,"SL Briarcliff Manor Operator, Inc.",Business Corporation,41.144309,-73.840693,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201712
Ashton Place,190 Ashton Court,Clifton Springs,NY,14432,Ontario,(315) 462-3140,['Enriched Housing'],Senior Living Community,Enriched Housing Program,530-S-005,"Clifton Park Associates, LLC",LLC,42.966982,-77.141536,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201716
Sunrise of Staten Island,801 Narrows Road,Staten Island,NY,10304,Richmond,(718) 727-8498,['Enriched Housing'],Senior Living Community,Enriched Housing Program,610-S-003,"SZR New York LH, Inc.",Business Corporation,40.610984,-74.094865,NY_DOH_Official,Government_Verified,2025-07-17T02:54:10.201720
