id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Blue Ridge Manor,1000 Main Street,Burlington,Alamance,NC,27001,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60001,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.9932,-79.45280000000001
2,Tar Heel Commons,1100 North Carolina Avenue,Burlington,Alamance,NC,27002,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60002,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0032,-79.4428
3,Piedmont Village,1200 State Street,Burlington,Alamance,NC,27003,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60003,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0132,-79.4328
4,Coastal Plains Care,1300 Church Street,Burlington,Alamance,NC,27004,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60004,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.023199999999996,-79.42280000000001
5,Carolina Pines Manor,1400 Oak Street,Burlington,Alamance,NC,27005,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60005,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0332,-79.4128
6,Smoky Mountain Village,1500 Maple Avenue,Burlington,Alamance,NC,27006,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60006,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0432,-79.4028
7,Research Triangle Commons,1600 Pine Street,Burlington,Alamance,NC,27007,(710) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,46,NC-ALF-60007,North Carolina Department of Health and Human Services,2024-09-07,81,True,True,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0532,-79.39280000000001
8,Queen City Manor,1700 Cedar Avenue,Burlington,Alamance,NC,27008,(711) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,47,NC-ALF-60008,North Carolina Department of Health and Human Services,2024-10-08,82,False,False,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0632,-79.3828
9,Outer Banks Village,1800 First Street,Burlington,Alamance,NC,27009,(712) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,48,NC-ALF-60009,North Carolina Department of Health and Human Services,2024-11-09,83,False,True,True,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0732,-79.45280000000001
10,Appalachian Commons,1900 Second Street,Burlington,Alamance,NC,27010,(713) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,49,NC-ALF-60010,North Carolina Department of Health and Human Services,2024-03-10,84,True,False,False,https://www.alamance-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,36.0832,-79.4428
11,Blue Ridge Manor,1000 Main Street,Taylorsville,Alexander,NC,27011,(704) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,NC-ALF-60011,North Carolina Department of Health and Human Services,2024-03-01,75,True,True,True,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.729600000000005,-78.6782
12,Tar Heel Commons,1100 North Carolina Avenue,Taylorsville,Alexander,NC,27012,(705) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,NC-ALF-60012,North Carolina Department of Health and Human Services,2024-04-02,76,False,False,False,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7396,-78.6682
13,Piedmont Village,1200 State Street,Taylorsville,Alexander,NC,27013,(706) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,NC-ALF-60013,North Carolina Department of Health and Human Services,2024-05-03,77,False,True,False,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7496,-78.6582
14,Coastal Plains Care,1300 Church Street,Taylorsville,Alexander,NC,27014,(707) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,NC-ALF-60014,North Carolina Department of Health and Human Services,2024-06-04,78,True,False,False,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7596,-78.6482
15,Carolina Pines Manor,1400 Oak Street,Taylorsville,Alexander,NC,27015,(708) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,NC-ALF-60015,North Carolina Department of Health and Human Services,2024-07-05,79,False,True,True,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.769600000000004,-78.6382
16,Smoky Mountain Village,1500 Maple Avenue,Taylorsville,Alexander,NC,27016,(709) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,NC-ALF-60016,North Carolina Department of Health and Human Services,2024-08-06,80,False,False,False,https://www.alexander-senior-living.com,Active,North Carolina Department of Health and Human Services,2025-07-17,35.7796,-78.62819999999999
