name,address,city,state,zip_code,county,phone,care_types,facility_type,license_number,data_source,verification_status,last_updated
Sunrise Senior Living of Charlotte,123 South Tryon Street,Charlotte,NC,28202,Mecklenburg,(704) 555-0123,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-001,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309352
Atria Senior Living Raleigh,456 Hillsborough Street,Raleigh,NC,27605,Wake,(919) 555-0456,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-002,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309361
Brookdale Senior Living Greensboro,789 Elm Street,Greensboro,NC,27401,Guilford,(336) 555-0789,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-003,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309365
Emeritus Senior Living Durham,321 Main Street,Durham,NC,27701,Durham,(919) 555-0321,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-004,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309368
Piedmont Senior Living Winston-Salem,654 Fourth Street,Winston-Salem,NC,27101,Forsyth,(336) 555-0654,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-005,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309372
Coastal Senior Living Wilmington,987 Market Street,Wilmington,NC,28401,New Hanover,(910) 555-0987,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-006,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309375
Blue Ridge Senior Living Asheville,135 Patton Avenue,Asheville,NC,28801,Buncombe,(828) 555-0135,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-007,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309378
Sandhills Senior Living Fayetteville,246 Hay Street,Fayetteville,NC,28301,Cumberland,(910) 555-0246,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-008,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309412
Triangle Senior Living Cary,369 Chatham Street,Cary,NC,27511,Wake,(919) 555-0369,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-009,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309421
Outer Banks Senior Living Kitty Hawk,159 Beach Road,Kitty Hawk,NC,27949,Dare,(252) 555-0159,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-010,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309425
Appalachian Senior Living Boone,753 King Street,Boone,NC,28607,Watauga,(828) 555-0753,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-011,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309428
Coastal Plains Senior Living Greenville,951 Evans Street,Greenville,NC,27834,Pitt,(252) 555-0951,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-012,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309431
Tar Heel Senior Living Chapel Hill,357 Franklin Street,Chapel Hill,NC,27514,Orange,(919) 555-0357,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-013,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309434
Foothills Senior Living Hickory,159 Union Square,Hickory,NC,28601,Catawba,(828) 555-0159,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-014,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309437
Cardinal Senior Living Gastonia,741 Main Avenue,Gastonia,NC,28052,Gaston,(704) 555-0741,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,NC-AL-015,North_Carolina_DHHS_Framework,Framework_Ready,2025-07-17T03:04:57.309440
