id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Buckeye Manor,1000 Main Street,West Union,Adams,OH,43001,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40001,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
2,Heartland Commons,1100 State Street,West Union,Adams,OH,43002,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40002,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
3,Ohio Valley Care,1200 High Street,West Union,Adams,OH,43003,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40003,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
4,River View Manor,1300 Broad Street,West Union,Adams,OH,43004,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40004,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
5,Prairie Village,1400 Oak Street,West Union,Adams,OH,43005,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40005,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
6,Heritage House,1500 Maple Avenue,West Union,Adams,OH,43006,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40006,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
7,Sunrise Manor,1600 Pine Street,West Union,Adams,OH,43007,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40007,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
8,Lakeside Living,1700 Cedar Avenue,West Union,Adams,OH,43008,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40008,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
9,Buckeye Manor,1000 Main Street,Lima,Allen,OH,43009,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40009,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
10,Heartland Commons,1100 State Street,Lima,Allen,OH,43010,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40010,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
11,Ohio Valley Care,1200 High Street,Lima,Allen,OH,43011,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40011,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
12,River View Manor,1300 Broad Street,Lima,Allen,OH,43012,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40012,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
13,Prairie Village,1400 Oak Street,Lima,Allen,OH,43013,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40013,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
14,Heritage House,1500 Maple Avenue,Lima,Allen,OH,43014,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40014,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
15,Sunrise Manor,1600 Pine Street,Lima,Allen,OH,43015,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40015,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
16,Lakeside Living,1700 Cedar Avenue,Lima,Allen,OH,43016,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40016,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.allen-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
17,Buckeye Manor,1000 Main Street,Ashland,Ashland,OH,43017,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40017,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
18,Heartland Commons,1100 State Street,Ashland,Ashland,OH,43018,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40018,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
19,Ohio Valley Care,1200 High Street,Ashland,Ashland,OH,43019,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40019,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
20,River View Manor,1300 Broad Street,Ashland,Ashland,OH,43020,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40020,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
21,Prairie Village,1400 Oak Street,Ashland,Ashland,OH,43021,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40021,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.ashland-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
