id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sooner Manor,1000 Main Street,Stilwell,Adair,OK,73001,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90001,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8264,-94.67540000000001
2,Pioneer Village,1100 Oklahoma Avenue,Stilwell,Adair,OK,73002,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90002,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8364,-94.6654
3,Oil Country Commons,1200 Sooner Boulevard,Stilwell,Adair,OK,73003,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90003,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.846399999999996,-94.6554
4,Red River Village,1300 Pioneer Drive,Stilwell,Adair,OK,73004,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90004,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.856399999999994,-94.64540000000001
5,Oklahoma City Commons,1400 Oil Country Street,Stilwell,Adair,OK,73005,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90005,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.adair-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8664,-94.6354
6,Sooner Manor,1000 Main Street,Cherokee,Alfalfa,OK,73006,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90006,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.alfalfa-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.726400000000005,-98.37540000000001
7,Pioneer Village,1100 Oklahoma Avenue,Cherokee,Alfalfa,OK,73007,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90007,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.alfalfa-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7364,-98.36540000000001
8,Oil Country Commons,1200 Sooner Boulevard,Cherokee,Alfalfa,OK,73008,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90008,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.alfalfa-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7464,-98.3554
9,Red River Village,1300 Pioneer Drive,Cherokee,Alfalfa,OK,73009,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90009,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.alfalfa-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7564,-98.34540000000001
10,Oklahoma City Commons,1400 Oil Country Street,Cherokee,Alfalfa,OK,73010,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90010,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.alfalfa-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.766400000000004,-98.3354
11,Sooner Manor,1000 Main Street,Atoka,Atoka,OK,73011,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90011,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.atoka-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.3264,-96.17540000000001
12,Pioneer Village,1100 Oklahoma Avenue,Atoka,Atoka,OK,73012,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90012,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.atoka-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.3364,-96.1654
13,Oil Country Commons,1200 Sooner Boulevard,Atoka,Atoka,OK,73013,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90013,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.atoka-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.346399999999996,-96.1554
14,Red River Village,1300 Pioneer Drive,Atoka,Atoka,OK,73014,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90014,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.atoka-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.356399999999994,-96.14540000000001
15,Oklahoma City Commons,1400 Oil Country Street,Atoka,Atoka,OK,73015,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90015,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.atoka-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,34.3664,-96.1354
16,Sooner Manor,1000 Main Street,Beaver,Beaver,OK,73016,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90016,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.beaver-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7764,-100.5754
17,Pioneer Village,1100 Oklahoma Avenue,Beaver,Beaver,OK,73017,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90017,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.beaver-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7864,-100.5654
18,Oil Country Commons,1200 Sooner Boulevard,Beaver,Beaver,OK,73018,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90018,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.beaver-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.7964,-100.55539999999999
19,Red River Village,1300 Pioneer Drive,Beaver,Beaver,OK,73019,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90019,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.beaver-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.8064,-100.5454
20,Oklahoma City Commons,1400 Oil Country Street,Beaver,Beaver,OK,73020,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90020,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.beaver-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,36.8164,-100.5354
21,Sooner Manor,1000 Main Street,Sayre,Beckham,OK,73021,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90021,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.beckham-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1764,-99.67540000000001
22,Pioneer Village,1100 Oklahoma Avenue,Sayre,Beckham,OK,73022,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90022,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.beckham-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1864,-99.6654
23,Oil Country Commons,1200 Sooner Boulevard,Sayre,Beckham,OK,73023,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90023,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.beckham-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.1964,-99.6554
24,Red River Village,1300 Pioneer Drive,Sayre,Beckham,OK,73024,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90024,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.beckham-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.206399999999995,-99.64540000000001
25,Oklahoma City Commons,1400 Oil Country Street,Sayre,Beckham,OK,73025,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90025,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.beckham-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.2164,-99.6354
26,Sooner Manor,1000 Main Street,Watonga,Blaine,OK,73026,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90026,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.blaine-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8264,-98.2754
27,Pioneer Village,1100 Oklahoma Avenue,Watonga,Blaine,OK,73027,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90027,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.blaine-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8364,-98.2654
28,Oil Country Commons,1200 Sooner Boulevard,Watonga,Blaine,OK,73028,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90028,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.blaine-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.846399999999996,-98.2554
29,Red River Village,1300 Pioneer Drive,Watonga,Blaine,OK,73029,(408) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,OK-ALF-90029,Oklahoma Department of Health,2024-06-04,78,True,False,False,https://www.blaine-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.856399999999994,-98.2454
30,Oklahoma City Commons,1400 Oil Country Street,Watonga,Blaine,OK,73030,(409) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,OK-ALF-90030,Oklahoma Department of Health,2024-07-05,79,False,True,True,https://www.blaine-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,35.8664,-98.2354
31,Sooner Manor,1000 Main Street,Durant,Bryan,OK,73031,(405) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,OK-ALF-90031,Oklahoma Department of Health,2024-03-01,75,True,True,True,https://www.bryan-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.876400000000004,-96.42540000000001
32,Pioneer Village,1100 Oklahoma Avenue,Durant,Bryan,OK,73032,(406) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,OK-ALF-90032,Oklahoma Department of Health,2024-04-02,76,False,False,False,https://www.bryan-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.8864,-96.4154
33,Oil Country Commons,1200 Sooner Boulevard,Durant,Bryan,OK,73033,(407) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,OK-ALF-90033,Oklahoma Department of Health,2024-05-03,77,False,True,False,https://www.bryan-senior-living.com,Active,Oklahoma Department of Health,2025-07-17,33.8964,-96.4054
