name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Portland Pines Community,6719 Main St,Portland,OR,97201,(971) 933-6480,Multnomah,Northwest Oregon,45.51862644493088,-122.65852856339062,OR-ALF-50000,Active,"['Independent Living', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563877,False
Portland Oregon Trail Senior Living,554 Broadway,Portland,OR,97201,(503) 373-7620,Multnomah,Northwest Oregon,45.483553546356404,-122.66792164511257,OR-ALF-50001,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563912,False
Portland Cascade Manor,9627 Forest Ave,Portland,OR,97201,(971) 424-7085,Multnomah,Northwest Oregon,45.520608165697624,-122.72249595754919,OR-ALF-50002,Active,"['Assisted Living', 'Memory Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563939,False
Portland Assisted Living,6851 Forest Ave,Portland,OR,97201,(971) 974-9823,Multnomah,Northwest Oregon,45.4682273226191,-122.68099306967751,OR-ALF-50003,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563958,False
Multnomah Senior Living,4792 Forest Ave,Portland,OR,97201,(971) 702-4855,Multnomah,Northwest Oregon,45.51550071379861,-122.71953057279889,OR-ALF-50004,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563977,False
Hillsboro Assisted Living,5065 Willamette St,Hillsboro,OR,97124,(541) 297-1236,Washington,Northwest Oregon,45.503820596197635,-122.96380378101586,OR-ALF-50005,Active,"['Assisted Living', 'Independent Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.563999,False
Washington Senior Living,6214 Willamette St,Hillsboro,OR,97124,(503) 683-7418,Washington,Northwest Oregon,45.562945296806674,-123.02046787390869,OR-ALF-50006,Active,"['Independent Living', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564015,False
Hillsboro Heights Retirement,6344 Powell Blvd,Hillsboro,OR,97124,(541) 895-8091,Washington,Northwest Oregon,45.55651919828331,-123.03549208730607,OR-ALF-50007,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564028,False
Clackamas Senior Living,9221 Pacific Ave,Oregon City,OR,97045,(971) 727-5841,Clackamas,Northwest Oregon,45.35970550835994,-122.62925163557288,OR-ALF-50008,Active,"['Assisted Living', 'Memory Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564040,False
Pacific Oregon City Senior Living,7024 Mountain View Rd,Oregon City,OR,97045,(971) 764-9835,Clackamas,Northwest Oregon,45.30960445878735,-122.58058192152663,OR-ALF-50009,Active,"['Assisted Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564055,False
Clackamas Springs Senior Care,8460 Pioneer Way,Oregon City,OR,97045,(541) 922-3960,Clackamas,Northwest Oregon,45.38956330458894,-122.65360850653197,OR-ALF-50010,Active,"['Independent Living', 'Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564069,False
St. Helens Gardens Senior Community,8002 Broadway,St. Helens,OR,97051,(971) 848-4639,Columbia,Northwest Oregon,45.8631288568444,-122.82413328911305,OR-ALF-50011,Active,"['Independent Living', 'Assisted Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564096,False
Pacific St. Helens Senior Living,3675 Maple Ave,St. Helens,OR,97051,(503) 977-4830,Columbia,Northwest Oregon,45.83788307120093,-122.76401823391497,OR-ALF-50012,Active,"['Memory Care', 'Independent Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564109,False
St. Helens Heights Retirement,8309 Pine St,St. Helens,OR,97051,(503) 311-2483,Columbia,Northwest Oregon,45.81491130016513,-122.78757245987505,OR-ALF-50013,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564125,False
St. Helens Assisted Living,7996 Main St,St. Helens,OR,97051,(541) 210-1343,Columbia,Northwest Oregon,45.88800240954414,-122.8175762167365,OR-ALF-50014,Active,"['Skilled Nursing', 'Assisted Living', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564141,False
St. Helens Pines Community,7778 Valley View Dr,St. Helens,OR,97051,(971) 794-9637,Columbia,Northwest Oregon,45.822791932464305,-122.7979986864671,OR-ALF-50015,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564151,False
McMinnville Pines Community,3732 Cascade Dr,McMinnville,OR,97128,(971) 663-5493,Yamhill,Northwest Oregon,45.21681941996265,-123.24759276285948,OR-ALF-50016,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564160,False
Willamette Yamhill Senior Care,6351 Cedar St,McMinnville,OR,97128,(503) 677-2135,Yamhill,Northwest Oregon,45.2539848826339,-123.19244495462756,OR-ALF-50017,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564168,False
Tillamook Ridge Assisted Living,8103 Cedar St,Tillamook,OR,97141,(541) 378-9784,Tillamook,Northwest Oregon,45.40861953598193,-123.83728773075123,OR-ALF-50018,Active,"['Assisted Living', 'Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564182,False
Tillamook Valley Senior Village,6846 Oregon St,Tillamook,OR,97141,(971) 907-5077,Tillamook,Northwest Oregon,45.49947102427335,-123.885223697197,OR-ALF-50019,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564194,False
Tillamook Oregon Trail Senior Living,6720 Maple Ave,Tillamook,OR,97141,(503) 261-7944,Tillamook,Northwest Oregon,45.46599726101253,-123.8417688802963,OR-ALF-50020,Active,"['Assisted Living', 'Skilled Nursing', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564203,False
Tillamook Pines Community,4757 Douglas Dr,Tillamook,OR,97141,(541) 509-6914,Tillamook,Northwest Oregon,45.5024150353892,-123.79539545904977,OR-ALF-50021,Active,"['Memory Care', 'Skilled Nursing', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564213,False
Astoria Gardens Senior Community,1103 Forest Ave,Astoria,OR,97103,(541) 602-9609,Clatsop,Northwest Oregon,46.150804777398406,-123.8120735096006,OR-ALF-50022,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564229,False
Astoria Ridge Assisted Living,1069 River Rd,Astoria,OR,97103,(971) 890-7478,Clatsop,Northwest Oregon,46.17204531237278,-123.83513452022474,OR-ALF-50023,Active,"['Independent Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564237,False
Astoria Pines Community,4411 Valley View Dr,Astoria,OR,97103,(971) 229-5397,Clatsop,Northwest Oregon,46.18829905164109,-123.83272585987052,OR-ALF-50024,Active,"['Assisted Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564245,False
Salem Oregon Trail Senior Living,5459 Oregon St,Salem,OR,97301,(503) 846-7015,Marion,Southwest Oregon,44.92667199171902,-123.01573439122735,OR-ALF-50025,Active,"['Independent Living', 'Assisted Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564254,False
Salem Cascade Manor,7874 River Rd,Salem,OR,97301,(971) 543-5270,Marion,Southwest Oregon,44.91667632755225,-123.08258739147006,OR-ALF-50026,Active,"['Independent Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,oregon_government_records,2025-07-10T17:29:22.564380,False
