id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Keystone Manor,1000 Main Street,Adams,Adams,PA,15001,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10001,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.adams-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2237,-76.9244
2,Liberty Gardens,1100 Market Street,Adams,Adams,PA,15002,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10002,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.adams-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2337,-76.9144
3,Independence Place,1200 Broad Street,Adams,Adams,PA,15003,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10003,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.adams-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.2437,-76.9044
4,Colonial Estates,1300 Pine Street,Adams,Adams,PA,15004,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10004,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.adams-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.253699999999995,-76.8944
5,Keystone Manor,1000 Main Street,Pittsburgh,Allegheny,PA,15005,(215) 400-1000,Personal Care Home,Personal Care; Skilled Nursing; Independent Living,35,PA-PCH-10005,Pennsylvania Department of Human Services,2024-06-01,75,True,True,True,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.390600000000006,-80.03590000000001
6,Liberty Gardens,1100 Market Street,Pittsburgh,Allegheny,PA,15006,(216) 401-1001,Assisted Living Residence,Assisted Living; Memory Care; Respite Care,36,PA-ALR-10006,Pennsylvania Department of Human Services,2024-07-02,76,False,False,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.400600000000004,-80.02590000000001
7,Independence Place,1200 Broad Street,Pittsburgh,Allegheny,PA,15007,(217) 402-1002,Continuing Care Retirement Community,Continuing Care; Adult Day Services; Skilled Nursing,37,PA-SNF-10007,Pennsylvania Department of Human Services,2024-08-03,77,False,True,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.4106,-80.0159
8,Colonial Estates,1300 Pine Street,Pittsburgh,Allegheny,PA,15008,(218) 403-1003,Skilled Nursing Facility,Independent Living; Personal Care; Intermediate Care,38,PA-CCR-10008,Pennsylvania Department of Human Services,2024-09-04,78,True,False,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.4206,-80.00590000000001
9,Valley View,1400 Oak Avenue,Pittsburgh,Allegheny,PA,15009,(219) 404-1004,Memory Care Community,Memory Care; Skilled Nursing; Rehabilitation,39,PA-PCH-10009,Pennsylvania Department of Human Services,2024-10-05,79,False,True,True,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.430600000000005,-79.9959
10,Hillcrest Manor,1500 Lancaster Avenue,Pittsburgh,Allegheny,PA,15010,(220) 405-1005,Independent Living Community,Assisted Living; Personal Care; Adult Day Care,40,PA-ALR-10010,Pennsylvania Department of Human Services,2024-11-06,80,False,False,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.4406,-79.9859
11,Quaker Village,1600 Germantown Avenue,Pittsburgh,Allegheny,PA,15011,(221) 406-1006,Adult Day Services,Skilled Nursing; Intermediate Care; Respite Care,41,PA-SNF-10011,Pennsylvania Department of Human Services,2024-12-07,81,True,True,False,https://www.allegheny-senior-living.com,Active,Pennsylvania Department of Human Services,2025-07-17,40.4506,-79.97590000000001
