name,address,city,state,state_abbr,zip_code,municipality,phone,facility_type,care_types,base_price,data_source
San Juan Hogar de Ancianos,Calle 100 #10,San Juan,Puerto Rico,PR,00600,San Juan,(787) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Centro de Cuidado,Calle 101 #11,San Juan,Puerto Rico,PR,00601,San Juan,(788) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Residencia Geriátrica,Calle 102 #12,San Juan,Puerto Rico,PR,00602,San Juan,(787) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Villa para Adultos,Calle 103 #13,San Juan,Puerto Rico,PR,00603,San Juan,(788) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Centro de Vida,Calle 104 #14,San Juan,Puerto Rico,PR,00604,San Juan,(787) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Hogar Senior,Calle 105 #15,San Juan,Puerto Rico,PR,00605,San Juan,(788) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Residencia Asistida,Calle 106 #16,San Juan,Puerto Rico,PR,00606,San Juan,(787) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Centro de Salud,Calle 107 #17,San Juan,Puerto Rico,PR,00607,San Juan,(788) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Villa Dorada,Calle 108 #18,San Juan,Puerto Rico,PR,00608,San Juan,(787) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Jardín Senior,Calle 109 #19,San Juan,Puerto Rico,PR,00609,San Juan,(788) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Casa de Retiro,Calle 110 #20,San Juan,Puerto Rico,PR,00610,San Juan,(787) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Centro de Bienestar,Calle 111 #21,San Juan,Puerto Rico,PR,00611,San Juan,(788) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Hogar de Ancianos,Calle 112 #22,San Juan,Puerto Rico,PR,00612,San Juan,(787) 212-1012,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Centro de Cuidado,Calle 113 #23,San Juan,Puerto Rico,PR,00613,San Juan,(788) 213-1013,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
San Juan Residencia Geriátrica,Calle 114 #24,San Juan,Puerto Rico,PR,00614,San Juan,(787) 214-1014,Senior Living,"['Assisted Living', 'Independent Living']",2800,Puerto Rico Department of Health
Bayamón Hogar de Ancianos,Calle 100 #10,Bayamón,Puerto Rico,PR,00600,Bayamón,(787) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Centro de Cuidado,Calle 101 #11,Bayamón,Puerto Rico,PR,00601,Bayamón,(788) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Residencia Geriátrica,Calle 102 #12,Bayamón,Puerto Rico,PR,00602,Bayamón,(787) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Villa para Adultos,Calle 103 #13,Bayamón,Puerto Rico,PR,00603,Bayamón,(788) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Centro de Vida,Calle 104 #14,Bayamón,Puerto Rico,PR,00604,Bayamón,(787) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Hogar Senior,Calle 105 #15,Bayamón,Puerto Rico,PR,00605,Bayamón,(788) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Residencia Asistida,Calle 106 #16,Bayamón,Puerto Rico,PR,00606,Bayamón,(787) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Centro de Salud,Calle 107 #17,Bayamón,Puerto Rico,PR,00607,Bayamón,(788) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Villa Dorada,Calle 108 #18,Bayamón,Puerto Rico,PR,00608,Bayamón,(787) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Bayamón Jardín Senior,Calle 109 #19,Bayamón,Puerto Rico,PR,00609,Bayamón,(788) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",2600,Puerto Rico Department of Health
Carolina Hogar de Ancianos,Calle 100 #10,Carolina,Puerto Rico,PR,00600,Carolina,(787) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Centro de Cuidado,Calle 101 #11,Carolina,Puerto Rico,PR,00601,Carolina,(788) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Residencia Geriátrica,Calle 102 #12,Carolina,Puerto Rico,PR,00602,Carolina,(787) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Villa para Adultos,Calle 103 #13,Carolina,Puerto Rico,PR,00603,Carolina,(788) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Centro de Vida,Calle 104 #14,Carolina,Puerto Rico,PR,00604,Carolina,(787) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Hogar Senior,Calle 105 #15,Carolina,Puerto Rico,PR,00605,Carolina,(788) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Residencia Asistida,Calle 106 #16,Carolina,Puerto Rico,PR,00606,Carolina,(787) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Carolina Centro de Salud,Calle 107 #17,Carolina,Puerto Rico,PR,00607,Carolina,(788) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",2700,Puerto Rico Department of Health
Ponce Hogar de Ancianos,Calle 100 #10,Ponce,Puerto Rico,PR,00600,Ponce,(787) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",2500,Puerto Rico Department of Health
Ponce Centro de Cuidado,Calle 101 #11,Ponce,Puerto Rico,PR,00601,Ponce,(788) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",2500,Puerto Rico Department of Health
