id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Ocean State Manor,1000 Main Street,Bristol,Bristol,RI,02801,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28001,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.626400000000004,-71.3254
2,Narragansett Bay Village,1100 Ocean Avenue,Warren,Bristol,RI,02802,(401) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,RI-ACF-28002,Rhode Island Department of Health,2024-04-02,81,False,False,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6364,-71.3154
3,Newport Mansion Commons,1200 Narragansett Boulevard,Barrington,Bristol,RI,02803,(401) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,RI-ACF-28003,Rhode Island Department of Health,2024-05-03,82,False,True,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6464,-71.30539999999999
4,Providence Village,1300 Newport Drive,Bristol,Bristol,RI,02804,(401) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,RI-ACF-28004,Rhode Island Department of Health,2024-06-04,83,True,False,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6564,-71.2954
5,Block Island Manor,1400 Providence Street,Warren,Bristol,RI,02805,(401) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,RI-ACF-28005,Rhode Island Department of Health,2024-07-05,84,False,True,True,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6664,-71.2854
6,Aquidneck Commons,1500 Block Island Avenue,Barrington,Bristol,RI,02806,(401) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,RI-ACF-28006,Rhode Island Department of Health,2024-08-06,85,False,False,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6764,-71.27539999999999
7,Warwick Village,1600 Aquidneck Boulevard,Bristol,Bristol,RI,02807,(401) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,RI-ACF-28007,Rhode Island Department of Health,2024-09-07,86,True,True,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6864,-71.2654
8,Cranston Manor,1700 Warwick Drive,Warren,Bristol,RI,02808,(401) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,RI-ACF-28008,Rhode Island Department of Health,2024-10-08,87,False,False,False,https://www.bristol-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.696400000000004,-71.2554
9,Ocean State Manor,1000 Main Street,Warwick,Kent,RI,02809,(401) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,RI-ACF-28009,Rhode Island Department of Health,2024-03-01,80,True,True,True,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6764,-71.5254
10,Narragansett Bay Village,1100 Ocean Avenue,Coventry,Kent,RI,02810,(401) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,RI-ACF-28010,Rhode Island Department of Health,2024-04-02,81,False,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6864,-71.5154
11,Newport Mansion Commons,1200 Narragansett Boulevard,East Greenwich,Kent,RI,02811,(401) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,RI-ACF-28011,Rhode Island Department of Health,2024-05-03,82,False,True,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6964,-71.5054
12,Providence Village,1300 Newport Drive,West Greenwich,Kent,RI,02812,(401) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,RI-ACF-28012,Rhode Island Department of Health,2024-06-04,83,True,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.706399999999995,-71.4954
13,Block Island Manor,1400 Providence Street,West Warwick,Kent,RI,02813,(401) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,RI-ACF-28013,Rhode Island Department of Health,2024-07-05,84,False,True,True,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7164,-71.4854
14,Aquidneck Commons,1500 Block Island Avenue,Warwick,Kent,RI,02814,(401) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,RI-ACF-28014,Rhode Island Department of Health,2024-08-06,85,False,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7264,-71.4754
15,Warwick Village,1600 Aquidneck Boulevard,Coventry,Kent,RI,02815,(401) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,RI-ACF-28015,Rhode Island Department of Health,2024-09-07,86,True,True,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.736399999999996,-71.4654
16,Cranston Manor,1700 Warwick Drive,East Greenwich,Kent,RI,02816,(401) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,RI-ACF-28016,Rhode Island Department of Health,2024-10-08,87,False,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7464,-71.4554
17,Pawtucket Commons,1800 Cranston Street,West Greenwich,Kent,RI,02817,(401) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,RI-ACF-28017,Rhode Island Department of Health,2024-11-09,88,False,True,True,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7564,-71.5254
18,Woonsocket Village,1900 Pawtucket Avenue,West Warwick,Kent,RI,02818,(401) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,RI-ACF-28018,Rhode Island Department of Health,2024-03-10,89,True,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7664,-71.5154
19,Westerly Manor,2000 Woonsocket Boulevard,Warwick,Kent,RI,02819,(401) 210-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,RI-ACF-28019,Rhode Island Department of Health,2024-04-11,90,False,True,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6764,-71.5054
20,East Greenwich Commons,2100 Westerly Drive,Coventry,Kent,RI,02820,(401) 211-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,RI-ACF-28020,Rhode Island Department of Health,2024-05-12,91,False,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6864,-71.4954
21,Middletown Village,2200 East Greenwich Street,East Greenwich,Kent,RI,02821,(401) 212-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,RI-ACF-28021,Rhode Island Department of Health,2024-06-13,92,True,True,True,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.6964,-71.4854
22,Portsmouth Manor,2300 Middletown Avenue,West Greenwich,Kent,RI,02822,(401) 213-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,RI-ACF-28022,Rhode Island Department of Health,2024-07-14,93,False,False,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.706399999999995,-71.4754
23,Jamestown Commons,2400 Portsmouth Boulevard,West Warwick,Kent,RI,02823,(401) 214-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,RI-ACF-28023,Rhode Island Department of Health,2024-08-15,94,False,True,False,https://www.kent-senior-living.com,Active,Rhode Island Department of Health,2025-07-17,41.7164,-71.4654
