id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Palmetto Manor,1000 Main Street,Abbeville,Abbeville,SC,29001,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50001,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1282,-82.41900000000001
2,Magnolia Village,1100 Palmetto Avenue,Abbeville,Abbeville,SC,29002,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50002,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1382,-82.409
3,Azalea Commons,1200 Magnolia Drive,Abbeville,Abbeville,SC,29003,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50003,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.148199999999996,-82.399
4,Lowcountry Village,1300 Azalea Street,Abbeville,Abbeville,SC,29004,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50004,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.158199999999994,-82.38900000000001
5,Upstate Manor,1400 Carolina Avenue,Abbeville,Abbeville,SC,29005,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50005,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1682,-82.379
6,Midlands Commons,1500 Gamecock Boulevard,Abbeville,Abbeville,SC,29006,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50006,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.abbeville-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,34.1782,-82.369
7,Palmetto Manor,1000 Main Street,Aiken,Aiken,SC,29007,(803) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,SC-ALF-50007,South Carolina Department of Health and Environmental Control,2024-03-01,75,True,True,True,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.507000000000005,-81.76570000000001
8,Magnolia Village,1100 Palmetto Avenue,Aiken,Aiken,SC,29008,(804) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,SC-ALF-50008,South Carolina Department of Health and Environmental Control,2024-04-02,76,False,False,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.517,-81.7557
9,Azalea Commons,1200 Magnolia Drive,Aiken,Aiken,SC,29009,(805) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,SC-ALF-50009,South Carolina Department of Health and Environmental Control,2024-05-03,77,False,True,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.527,-81.7457
10,Lowcountry Village,1300 Azalea Street,Aiken,Aiken,SC,29010,(806) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,SC-ALF-50010,South Carolina Department of Health and Environmental Control,2024-06-04,78,True,False,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.537,-81.73570000000001
11,Upstate Manor,1400 Carolina Avenue,Aiken,Aiken,SC,29011,(807) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,SC-ALF-50011,South Carolina Department of Health and Environmental Control,2024-07-05,79,False,True,True,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.547000000000004,-81.7257
12,Midlands Commons,1500 Gamecock Boulevard,Aiken,Aiken,SC,29012,(808) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,40,SC-ALF-50012,South Carolina Department of Health and Environmental Control,2024-08-06,80,False,False,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.557,-81.7157
13,Pee Dee Village,1600 Tiger Drive,Aiken,Aiken,SC,29013,(809) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,41,SC-ALF-50013,South Carolina Department of Health and Environmental Control,2024-09-07,81,True,True,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.567,-81.70570000000001
14,Coastal Manor,1700 Clemson Street,Aiken,Aiken,SC,29014,(810) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,42,SC-ALF-50014,South Carolina Department of Health and Environmental Control,2024-10-08,82,False,False,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.577000000000005,-81.6957
15,Carolina Commons,1800 USC Avenue,Aiken,Aiken,SC,29015,(811) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,43,SC-ALF-50015,South Carolina Department of Health and Environmental Control,2024-11-09,83,False,True,True,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.587,-81.76570000000001
16,Gamecock Village,1900 Citadel Drive,Aiken,Aiken,SC,29016,(812) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,44,SC-ALF-50016,South Carolina Department of Health and Environmental Control,2024-03-10,84,True,False,False,https://www.aiken-senior-living.com,Active,South Carolina Department of Health and Environmental Control,2025-07-17,33.597,-81.7557
