name,address,city,state,zip_code,county,phone,care_types,facility_type,license_number,data_source,verification_status,last_updated
Sunrise Senior Living of Columbia,123 Main Street,Columbia,SC,29201,Richland,(803) 555-0123,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-001,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149482
Atria Senior Living Charleston,456 King Street,Charleston,SC,29401,Charleston,(843) 555-0456,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-002,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149492
Brookdale Senior Living Greenville,789 Main Street,Greenville,SC,29601,Greenville,(864) 555-0789,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-003,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149495
Emeritus Senior Living Spartanburg,321 North Church Street,Spartanburg,SC,29306,Spartanburg,(864) 555-0321,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-004,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149498
Palmetto Senior Living Rock Hill,654 Oakland Avenue,Rock Hill,SC,29730,York,(803) 555-0654,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-005,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149502
Coastal Senior Living Myrtle Beach,987 Ocean Boulevard,Myrtle Beach,SC,29577,Horry,(843) 555-0987,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-006,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149505
Lowcountry Senior Living Beaufort,135 Bay Street,Beaufort,SC,29902,Beaufort,(843) 555-0135,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-007,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149508
Upstate Senior Living Anderson,246 North Main Street,Anderson,SC,29621,Anderson,(864) 555-0246,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-008,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149514
Midlands Senior Living Sumter,369 Liberty Street,Sumter,SC,29150,Sumter,(803) 555-0369,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-009,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149517
Pee Dee Senior Living Florence,159 West Evans Street,Florence,SC,29501,Florence,(843) 555-0159,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-010,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149524
Foothills Senior Living Clemson,753 College Avenue,Clemson,SC,29631,Pickens,(864) 555-0753,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-011,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149527
Congaree Senior Living Cayce,951 State Street,Cayce,SC,29033,Lexington,(803) 555-0951,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,SC-AL-012,South_Carolina_DHEC_Framework,Framework_Ready,2025-07-17T03:04:58.149529
