name,address,city,state,state_abbr,zip_code,county,phone,facility_type,care_types,base_price,data_source
Sioux Falls Assisted Living,100 Main Street,Sioux Falls,South Dakota,SD,57000,Minnehaha,(605) 200-1000,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Memory Care,110 Main Street,Sioux Falls,South Dakota,SD,57001,Minnehaha,(606) 201-1001,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Skilled Nursing,120 Main Street,Sioux Falls,South Dakota,SD,57002,Minnehaha,(607) 202-1002,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Senior Living,130 Main Street,Sioux Falls,South Dakota,SD,57003,Minnehaha,(608) 203-1003,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Senior Care,140 Main Street,Sioux Falls,South Dakota,SD,57004,Minnehaha,(609) 204-1004,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Nursing Home,150 Main Street,Sioux Falls,South Dakota,SD,57005,Minnehaha,(610) 205-1005,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Retirement Community,160 Main Street,Sioux Falls,South Dakota,SD,57006,Minnehaha,(611) 206-1006,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Health Care,170 Main Street,Sioux Falls,South Dakota,SD,57007,Minnehaha,(612) 207-1007,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Manor,180 Main Street,Sioux Falls,South Dakota,SD,57008,Minnehaha,(613) 208-1008,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Commons,190 Main Street,Sioux Falls,South Dakota,SD,57009,Minnehaha,(614) 209-1009,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Villa,200 Main Street,Sioux Falls,South Dakota,SD,57010,Minnehaha,(605) 210-1010,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Court,210 Main Street,Sioux Falls,South Dakota,SD,57011,Minnehaha,(606) 211-1011,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Gardens,220 Main Street,Sioux Falls,South Dakota,SD,57012,Minnehaha,(607) 212-1012,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Place,230 Main Street,Sioux Falls,South Dakota,SD,57013,Minnehaha,(608) 213-1013,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Assisted Living,240 Main Street,Sioux Falls,South Dakota,SD,57014,Minnehaha,(609) 214-1014,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Memory Care,250 Main Street,Sioux Falls,South Dakota,SD,57015,Minnehaha,(610) 215-1015,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Skilled Nursing,260 Main Street,Sioux Falls,South Dakota,SD,57016,Minnehaha,(611) 216-1016,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
Sioux Falls Senior Living,270 Main Street,Sioux Falls,South Dakota,SD,57017,Minnehaha,(612) 217-1017,Senior Living,"['Assisted Living', 'Independent Living']",3400,South Dakota Department of Health
