id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Knoxville Estates,9226 Union Street,Knoxville,Knox,TN,37901,(731) 749-3714,Skilled Nursing Facility,"Adult Day Services, Respite Care",108,TN-ACLF-50555,Tennessee Department of Health,2024-09-23,99,False,True,False,https://www.knoxville-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.971526,-83.916481
2,Valley Residence,4698 Music Valley Drive,Powell,Knox,TN,37958,(901) 298-1291,Adult Day Services,"Intermediate Care, Assisted Care",138,TN-ACLF-45430,Tennessee Department of Health,2024-04-16,79,False,True,False,https://www.powell-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.569223,-83.861918
3,Knox Memory Care,9804 Charlotte Avenue,Knoxville,Knox,TN,37917,(901) 501-4388,Continuing Care Retirement Community,"Adult Day Services, Assisted Care",32,TN-ACLF-34105,Tennessee Department of Health,2024-02-16,97,False,True,True,https://www.knoxville-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.973403,-83.916705
4,Ridge Center,8323 West End Avenue,Knoxville,Knox,TN,37918,(901) 334-6854,Intermediate Care Facility,"Skilled Nursing, Respite Care, Assisted Living",132,TN-ACLF-32179,Tennessee Department of Health,2024-02-15,76,True,False,False,https://www.knoxville-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.961814,-83.897678
5,Ridge Village,4087 Hillsboro Pike,Powell,Knox,TN,37997,(629) 822-8262,Skilled Nursing Facility,"Assisted Living, Skilled Nursing, Adult Day Services",85,TN-ACLF-22526,Tennessee Department of Health,2024-04-11,85,True,True,False,https://www.powell-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.00316,-86.934755
6,Creek House,4272 Charlotte Avenue,Powell,Knox,TN,37937,(731) 276-3932,Adult Day Services,"Assisted Living, Intermediate Care",52,TN-ACLF-37117,Tennessee Department of Health,2024-12-25,80,True,False,True,https://www.powell-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.851662,-83.806523
7,Smoky Mountain Residence,1084 Gallatin Pike,Farragut,Knox,TN,37931,(931) 212-7327,Skilled Nursing Facility,"Respite Care, Assisted Living",31,TN-ACLF-97654,Tennessee Department of Health,2024-02-02,84,False,False,True,https://www.farragut-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.280095,-89.223636
8,Magnolia Retirement Community,4975 Hillsboro Pike,Hixson,Hamilton,TN,37459,(901) 751-6829,Assisted Care Living Facility,"Intermediate Care, Respite Care",88,TN-ACLF-61101,Tennessee Department of Health,2024-04-11,94,True,True,False,https://www.hixson-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.290473,-86.422409
9,Valley Residence,3072 Gallatin Pike,Chattanooga,Hamilton,TN,37404,(615) 295-6308,Memory Care Community,"Memory Care, Assisted Living",81,TN-ACLF-76334,Tennessee Department of Health,2024-04-25,75,True,False,True,https://www.chattanooga-senior-living.com,Active,Tennessee Department of Health,2025-07-12,35.058869,-85.282094
10,Volunteer Commons,7616 Gallatin Pike,Hixson,Hamilton,TN,37458,(423) 995-4478,Continuing Care Retirement Community,"Intermediate Care, Adult Day Services",32,TN-ACLF-12083,Tennessee Department of Health,2024-01-03,80,True,False,False,https://www.hixson-senior-living.com,Active,Tennessee Department of Health,2025-07-12,36.323272,-88.131236
