provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
Pattison Family Care,Residential Care Facility,656 Second Street,Pattison,TX,(432) 921-5712,CCH11729,Licensed,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760456
Waller Care Home,Community Care Center,954 Church Street,Waller,TX,(361) 948-5794,ALF18124,Active - Good Standing,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760487
Prairie View Pioneer Assisted Living,Family Care Home,438 Hill Road,Prairie View,TX,(512) 492-4787,ASL20510,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760610
Pattison Comfort Care Home,Personal Care Home,265 Second Street,Pattison,TX,(409) 913-4314,ALF48969,Active - Good Standing,Family-Owned,"Personal Care, Transportation",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760634
Tranquil Senior Services,Family Care Home,468 State Highway,Pattison,TX,(830) 974-4600,LTC21915,Active,Community-Owned,"Senior Care, Meal Services",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760659
Waller Grace Care Facility,Senior Care Home,438 Hill Road,Waller,TX,(940) 811-1509,ALF38044,Active,Private,"Senior Care, Meal Services",Assisted Living,Waller,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760678
Thorntonville Care Home,Family Care Home,688 Second Street,Thorntonville,TX,(254) 963-7739,RC34457,Licensed,Non-Profit,"Residential Care, Companionship",Assisted Living,Ward,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760704
Ward County Residential Care,Residential Care Facility,926 Cedar Street,Thorntonville,TX,(713) 777-7415,CCH52293,Active - Good Standing,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Ward,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760731
Thorntonville Hometown Family Care,Assisted Living Facility,907 Cedar Street,Thorntonville,TX,(832) 518-2794,PCH42576,Licensed,Community-Owned,"Senior Care, Meal Services",Assisted Living,Ward,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760748
Wickett Senior Services,Senior Care Home,964 Maple Street,Wickett,TX,(409) 564-7365,ALF78179,Active - Good Standing,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Ward,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760769
Ward County Senior Care,Family Care Home,739 Rural Route,Barstow,TX,(214) 645-2943,CCH30883,Active - Good Standing,Non-Profit,"Assisted Living, Personal Care",Assisted Living,Ward,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760786
Lakeside Assisted Living,Personal Care Home,714 Maple Street,Brenham,TX,(713) 427-2540,RC73570,Licensed,Family-Owned,"Personal Care, Transportation",Assisted Living,Washington,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760806
Maple Home Care,Community Care Center,696 Creek Road,Burton,TX,(945) 397-6332,PCH36613,Active - Good Standing,Family-Owned,"Assisted Living, Medication Management",Assisted Living,Washington,Texas 100% Coverage - Final 16 Counties,2025-07-10T07:46:29.760822
