provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
Peaceful Anderson Family Care,Residential Care Facility,767 Main Street,Cayuga,TX,(409) 348-3992,RC51185,Active - Good Standing,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280578
Frankston Senior Home,Assisted Living Facility,373 Elm Street,Frankston,TX,(940) 294-6256,PCH53616,Active - Good Standing,Family-Owned,"Personal Care, Transportation",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280603
Quiet Personal Care,Senior Care Home,430 Mill Street,Neches,TX,(903) 718-6470,RC83190,Licensed,Non-Profit,"Personal Care, Transportation",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280614
Neighborhood Care Services,Family Care Home,853 Country Lane,Frankston,TX,(432) 379-5962,ASL22217,Active,Non-Profit,"Residential Care, Companionship",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280629
Cayuga Senior Services,Personal Care Home,360 State Highway,Cayuga,TX,(940) 988-5376,ASL51403,Active - Good Standing,Family-Owned,"Residential Care, Companionship",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280639
Frankston Assisted Living,Personal Care Home,317 Oak Street,Frankston,TX,(903) 785-1231,PCH88478,Licensed,Private,"Assisted Living, Medication Management",Assisted Living,Anderson,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280648
Andrews County Senior Services,Residential Care Facility,753 Second Street,Andrews,TX,(940) 769-5447,CCH98155,Active,Family-Owned,"Assisted Living, Personal Care",Assisted Living,Andrews,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280666
Sauceda Ridge Senior Care,Assisted Living Facility,135 Third Street,Sauceda,TX,(832) 763-1354,PCH47324,Active - Good Standing,Private,"Residential Care, Companionship",Assisted Living,Andrews,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280679
Andrews Senior Services,Personal Care Home,367 Ranch Road,Andrews,TX,(430) 530-7183,ASL36275,Active - Good Standing,Family-Owned,"Personal Care, Transportation",Assisted Living,Andrews,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280688
Andrews County Care Center,Residential Care Facility,575 Main Street,Andrews,TX,(469) 203-3013,LTC52614,Active - Good Standing,Family-Owned,"Senior Care, Meal Services",Assisted Living,Andrews,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280697
Angelina County Senior Care,Community Care Center,554 Rural Route,Burke,TX,(512) 370-3917,CCH28744,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280708
Small Town Angelina Home Care,Community Care Center,825 Old Town Road,Diboll,TX,(915) 334-6125,RC73671,Licensed,Private,"Residential Care, Companionship",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280717
Peaceful Care Services,Family Care Home,894 Mill Street,Huntington,TX,(346) 458-1220,LTC51611,Licensed,Community-Owned,"Assisted Living, Personal Care",Assisted Living,Angelina,Texas Statewide Expansion - Complete Coverage,2025-07-10T07:36:38.280727
