provider_name,facility_type,address,city,state,phone,license_number,license_status,ownership_type,services,care_category,county,source_url,scraped_date
East Texas Care Community,Assisted Living Center,6705 Loop Road,Cypress,TX,(972) 345-8832,RC30830,Active,Private,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985634
Texas Health Montgomery Senior Housing,Residential Care Facility,7522 Washington Street,West University Place,TX,(713) 748-2257,ALF35610,Active - Good Standing,Family-Owned,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985672
Baptist Senior Campus,Assisted Living Facility,3023 Main Place,Bellaire,TX,(979) 933-4711,LTC70787,Licensed,Family-Owned,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985690
Lone Star Senior Community,Assisted Living Facility,1262 Bellaire Lane,Bellaire,TX,(945) 949-1884,ASL96681,Active - Good Standing,Corporate,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985715
Cypress Residential Care,Senior Living Community,6999 Oak Place,Houston,TX,(940) 596-7203,ASL51440,Active - Good Standing,Non-Profit,"Assisted Living, Rehabilitation Services",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985732
Pecan Care Community,Residential Care Facility,7456 Dallas Court,Spring,TX,(281) 890-2139,ALF27225,Active - Good Standing,Private,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985944
Texas Senior Residence,Senior Living Community,4037 Beltway Place,Tomball,TX,(915) 561-4549,LTC10903,Licensed,Corporate,"Assisted Living, Independent Living",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985963
Elm Brazoria Senior Living,Senior Living Community,1566 Gulf Freeway Boulevard,Bellaire,TX,(409) 476-2076,ALF77918,Licensed,Family-Owned,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.985992
Ridge El Paso Assisted Living,Residential Care Facility,1791 Katy Freeway Way,West University Place,TX,(979) 368-6971,ASL33521,Active,Private,"Memory Care, Skilled Nursing",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986010
Garden Brazoria Retirement Community,Senior Living Community,9934 Highland Avenue,Pasadena,TX,(210) 322-7521,ALF88865,Active,Family-Owned,"Assisted Living, Respite Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986026
UT Health Montgomery Senior Campus,Senior Living Community,1375 Elm Street,Pasadena,TX,(903) 230-8268,ALF45612,Active,Family-Owned,"Assisted Living, Memory Care",Assisted Living,Harris,https://txhhs.my.site.com/TULIP/s/ltc-provider-search,2025-07-10T07:22:13.986041
