name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Salt Lake City Assisted Living,3499 Temple Dr,Salt Lake City,UT,84101,(385) 726-2322,Salt Lake,Wasatch Front,40.762509831608064,-111.87179163751179,UT-ALF-80000,Active,"['Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243368,False
Pioneer Salt Lake Manor,3083 400 East,Salt Lake City,UT,84101,(801) 829-8995,Salt Lake,Wasatch Front,40.736369980512734,-111.86864130996274,UT-ALF-80001,Active,"['Independent Living', 'Skilled Nursing', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243507,False
Salt Lake City Utah Senior Living,4185 State St,Salt Lake City,UT,84101,(801) 388-6406,Salt Lake,Wasatch Front,40.737633597011275,-111.90561113722052,UT-ALF-80002,Active,"['Skilled Nursing', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243528,False
Salt Lake Valley Senior Village,3971 Canyon Rd,Salt Lake City,UT,84101,(801) 470-1688,Salt Lake,Wasatch Front,40.77464636280168,-111.89599390905128,UT-ALF-80003,Active,"['Memory Care', 'Adult Day Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243542,False
Utah Salt Lake City Senior Living,1900 100 North,Salt Lake City,UT,84101,(801) 543-6256,Salt Lake,Wasatch Front,40.75943160298632,-111.9007411426862,UT-ALF-80004,Active,"['Skilled Nursing', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243554,False
Farmington Pines Community,1215 400 East,Farmington,UT,84025,(801) 410-8283,Davis,Wasatch Front,40.95668958610146,-111.90829085303076,UT-ALF-80005,Active,"['Independent Living', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243568,False
Farmington Ridge Assisted Living,1167 Desert Dr,Farmington,UT,84025,(801) 693-9072,Davis,Wasatch Front,40.966089228143105,-111.86691067491866,UT-ALF-80006,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243583,False
Davis Valley Senior Village,4838 Mountain View Dr,Farmington,UT,84025,(385) 405-6981,Davis,Wasatch Front,40.99385762978149,-111.905150508455,UT-ALF-80007,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243598,False
Davis Senior Living,3041 Temple Dr,Farmington,UT,84025,(801) 960-5820,Davis,Wasatch Front,40.9684905090345,-111.88187862425623,UT-ALF-80008,Active,"['Assisted Living', 'Skilled Nursing', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243609,False
Davis Memory Care Center,3419 Pioneer Rd,Farmington,UT,84025,(385) 803-7846,Davis,Wasatch Front,40.95994674119491,-111.87462262664405,UT-ALF-80009,Active,"['Skilled Nursing', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243620,False
Davis Valley Senior Village,4757 University Ave,Farmington,UT,84025,(801) 563-3988,Davis,Wasatch Front,40.95729941660057,-111.86802323512158,UT-ALF-80010,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243630,False
Ogden Mountain Manor,3617 Pioneer Rd,Ogden,UT,84401,(385) 980-3930,Weber,Wasatch Front,41.24148599733793,-111.98866475819968,UT-ALF-80011,Active,"['Memory Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243641,False
Ogden Ridge Assisted Living,1701 Foothill Dr,Ogden,UT,84401,(801) 773-1024,Weber,Wasatch Front,41.232647139886254,-111.99607943208521,UT-ALF-80012,Active,"['Assisted Living', 'Memory Care', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243651,False
Ogden Heights Retirement,2291 Foothill Dr,Ogden,UT,84401,(385) 664-4326,Weber,Wasatch Front,41.23451268386066,-111.95235480851191,UT-ALF-80013,Active,"['Adult Day Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243668,False
Ogden Assisted Living,1881 University Ave,Ogden,UT,84401,(801) 234-2244,Weber,Wasatch Front,41.20418206228575,-111.98986749762214,UT-ALF-80014,Active,"['Memory Care', 'Skilled Nursing', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243686,False
Weber Memory Care Center,4303 Brigham St,Ogden,UT,84401,(801) 618-4474,Weber,Wasatch Front,41.2209725510788,-111.9731079222004,UT-ALF-80015,Active,"['Memory Care', 'Independent Living', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243705,False
Utah Memory Care Center,3514 Main St,Provo,UT,84601,(801) 395-1591,Utah,Wasatch Front,40.25028948618428,-111.68300348738228,UT-ALF-80016,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243726,False
Provo Heights Retirement,919 Canyon Rd,Provo,UT,84601,(385) 467-7749,Utah,Wasatch Front,40.2531562517666,-111.64168207606947,UT-ALF-80017,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243742,False
Wasatch Utah Care Center,4133 400 East,Provo,UT,84601,(385) 281-4842,Utah,Wasatch Front,40.238875746250905,-111.6762044095995,UT-ALF-80018,Active,"['Memory Care', 'Adult Day Care', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243759,False
Utah Valley Senior Village,3847 Canyon Rd,Provo,UT,84601,(385) 337-1314,Utah,Wasatch Front,40.245777982121446,-111.66134978369381,UT-ALF-80019,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243770,False
Wasatch Utah Care Center,4061 Brigham St,Provo,UT,84601,(385) 395-7255,Utah,Wasatch Front,40.25217568257716,-111.67611190194788,UT-ALF-80020,Active,"['Skilled Nursing', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243779,False
Tooele Utah Senior Living,171 Wasatch Blvd,Tooele,UT,84074,(385) 426-9175,Tooele,Wasatch Front,40.528407688254184,-112.2928652764391,UT-ALF-80021,Active,"['Memory Care', 'Assisted Living', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,utah_government_records,2025-07-10T18:38:45.243791,False
