id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Green Mountain Manor,1000 Main Street,Middlebury,Addison,VT,05001,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50001,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.976400000000005,-73.2754
2,Maple Valley Village,1100 Vermont Avenue,Vergennes,Addison,VT,05002,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50002,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.9864,-73.2654
3,Champlain Commons,1200 Green Mountain Boulevard,Bristol,Addison,VT,05003,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50003,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,43.9964,-73.2554
4,Stowe Village,1300 Maple Valley Drive,New Haven,Addison,VT,05004,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50004,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.0064,-73.2454
5,Burlington Manor,1400 Champlain Street,Addison,Addison,VT,05005,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50005,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.016400000000004,-73.2354
6,Montpelier Commons,1500 Stowe Avenue,Weybridge,Addison,VT,05006,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50006,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.0264,-73.2254
7,Rutland Village,1600 Burlington Boulevard,Ferrisburgh,Addison,VT,05007,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50007,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.0364,-73.2154
8,Brattleboro Manor,1700 Montpelier Drive,Monkton,Addison,VT,05008,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50008,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.addison-senior-living.com,Active,Vermont Department of Health,2025-07-17,44.046400000000006,-73.2054
9,Green Mountain Manor,1000 Main Street,Bennington,Bennington,VT,05009,(802) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,VT-RCF-50009,Vermont Department of Health,2024-03-01,85,True,True,True,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.8264,-73.2754
10,Maple Valley Village,1100 Vermont Avenue,Manchester,Bennington,VT,05010,(802) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,VT-RCF-50010,Vermont Department of Health,2024-04-02,86,False,False,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.8364,-73.2654
11,Champlain Commons,1200 Green Mountain Boulevard,Arlington,Bennington,VT,05011,(802) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,VT-RCF-50011,Vermont Department of Health,2024-05-03,87,False,True,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.846399999999996,-73.2554
12,Stowe Village,1300 Maple Valley Drive,Shaftsbury,Bennington,VT,05012,(802) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,VT-RCF-50012,Vermont Department of Health,2024-06-04,88,True,False,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.856399999999994,-73.2454
13,Burlington Manor,1400 Champlain Street,Dorset,Bennington,VT,05013,(802) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,VT-RCF-50013,Vermont Department of Health,2024-07-05,89,False,True,True,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.8664,-73.2354
14,Montpelier Commons,1500 Stowe Avenue,Pownal,Bennington,VT,05014,(802) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,VT-RCF-50014,Vermont Department of Health,2024-08-06,90,False,False,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.8764,-73.2254
15,Rutland Village,1600 Burlington Boulevard,Rupert,Bennington,VT,05015,(802) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,VT-RCF-50015,Vermont Department of Health,2024-09-07,91,True,True,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.886399999999995,-73.2154
16,Brattleboro Manor,1700 Montpelier Drive,Sandgate,Bennington,VT,05016,(802) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,27,VT-RCF-50016,Vermont Department of Health,2024-10-08,92,False,False,False,https://www.bennington-senior-living.com,Active,Vermont Department of Health,2025-07-17,42.8964,-73.2054
