id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Colonial Manor,1000 Main Street,Accomack,Accomack,VA,22001,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70001,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
2,Commonwealth Commons,1100 Virginia Avenue,Accomack,Accomack,VA,22002,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70002,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
3,Old Dominion Village,1200 Colonial Drive,Accomack,Accomack,VA,22003,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70003,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
4,Virginia Heritage Care,1300 Commonwealth Boulevard,Accomack,Accomack,VA,22004,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70004,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
5,Potomac River Manor,1400 Jefferson Street,Accomack,Accomack,VA,22005,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70005,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.accomack-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
6,Colonial Manor,1000 Main Street,Charlottesville,Albemarle,VA,22006,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70006,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.albemarle-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
7,Commonwealth Commons,1100 Virginia Avenue,Charlottesville,Albemarle,VA,22007,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70007,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.albemarle-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
8,Old Dominion Village,1200 Colonial Drive,Charlottesville,Albemarle,VA,22008,(705) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,37,VA-ALF-70008,Virginia Department of Health,2024-05-03,77,False,True,False,https://www.albemarle-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5107,-77.456
9,Virginia Heritage Care,1300 Commonwealth Boulevard,Charlottesville,Albemarle,VA,22009,(706) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,38,VA-ALF-70009,Virginia Department of Health,2024-06-04,78,True,False,False,https://www.albemarle-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5207,-77.44600000000001
10,Potomac River Manor,1400 Jefferson Street,Charlottesville,Albemarle,VA,22010,(707) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,39,VA-ALF-70010,Virginia Department of Health,2024-07-05,79,False,True,True,https://www.albemarle-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5307,-77.436
11,Colonial Manor,1000 Main Street,Covington,Alleghany,VA,22011,(703) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,35,VA-ALF-70011,Virginia Department of Health,2024-03-01,75,True,True,True,https://www.alleghany-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.490700000000004,-77.47600000000001
12,Commonwealth Commons,1100 Virginia Avenue,Covington,Alleghany,VA,22012,(704) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,36,VA-ALF-70012,Virginia Department of Health,2024-04-02,76,False,False,False,https://www.alleghany-senior-living.com,Active,Virginia Department of Health,2025-07-17,37.5007,-77.46600000000001
