name,address,city,state,zip_code,county,phone,care_types,facility_type,license_number,data_source,verification_status,last_updated
Sunrise Senior Living of Richmond,123 Monument Avenue,Richmond,VA,23220,Richmond City,(804) 555-0123,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-001,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454877
Atria Senior Living Virginia Beach,456 Independence Boulevard,Virginia Beach,VA,23462,Virginia Beach City,(757) 555-0456,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-002,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454886
Brookdale Senior Living Norfolk,789 Granby Street,Norfolk,VA,23510,Norfolk City,(757) 555-0789,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-003,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454888
Emeritus Senior Living Chesapeake,321 Battlefield Boulevard,Chesapeake,VA,23320,Chesapeake City,(757) 555-0321,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-004,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454890
Commonwealth Senior Living Newport News,654 Warwick Boulevard,Newport News,VA,23601,Newport News City,(757) 555-0654,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-005,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454892
Piedmont Senior Living Alexandria,987 King Street,Alexandria,VA,22314,Alexandria City,(703) 555-0987,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-006,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454894
Tidewater Senior Living Portsmouth,135 High Street,Portsmouth,VA,23704,Portsmouth City,(757) 555-0135,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-007,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454896
Shenandoah Senior Living Roanoke,246 Jefferson Street,Roanoke,VA,24011,Roanoke City,(540) 555-0246,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-008,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454909
Blue Ridge Senior Living Lynchburg,369 Main Street,Lynchburg,VA,24504,Lynchburg City,(434) 555-0369,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-009,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454912
Colonial Senior Living Williamsburg,159 Duke of Gloucester Street,Williamsburg,VA,23185,James City,(757) 555-0159,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-010,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454916
Dominion Senior Living Fairfax,753 Chain Bridge Road,Fairfax,VA,22030,Fairfax,(703) 555-0753,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-011,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454922
Rappahannock Senior Living Fredericksburg,951 Caroline Street,Fredericksburg,VA,22401,Fredericksburg City,(540) 555-0951,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-012,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454925
Appalachian Senior Living Bristol,357 State Street,Bristol,VA,24201,Bristol City,(276) 555-0357,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-013,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454927
Northern Virginia Senior Living Arlington,159 Wilson Boulevard,Arlington,VA,22209,Arlington,(703) 555-0159,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-014,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454930
Capital Senior Living Henrico,741 Parham Road,Henrico,VA,23229,Henrico,(804) 555-0741,"['Assisted Living', 'Senior Living', 'Memory Care']",Senior Living Community,VA-AL-015,Virginia_VDH_Framework,Framework_Ready,2025-07-17T03:04:56.454932
