name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Seattle Assisted Living,879 Pine St,Seattle,WA,98101,(564) 877-1426,King,Puget Sound,47.59239309436941,-122.36432039170141,WA-ALF-60000,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187803,False
Seattle Gardens Senior Community,4660 Mountain View Rd,Seattle,WA,98101,(509) 925-3615,King,Puget Sound,47.65022235493387,-122.34388592047881,WA-ALF-60001,Active,['Adult Family Home'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187841,False
Mount King Senior Village,5648 Mountain View Rd,Seattle,WA,98101,(253) 229-4237,King,Puget Sound,47.60702692420367,-122.29812734838545,WA-ALF-60002,Active,"['Memory Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187884,False
King Springs Senior Care,9358 Broadway,Seattle,WA,98101,(206) 301-6559,King,Puget Sound,47.62078439481207,-122.29619008324967,WA-ALF-60003,Active,"['Memory Care', 'Independent Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187909,False
Snohomish Manor,173 Broadway,Everett,WA,98201,(206) 336-9693,Snohomish,Puget Sound,48.00559244203281,-122.2272973991526,WA-ALF-60004,Active,"['Memory Care', 'Assisted Living', 'Adult Family Home']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187930,False
Snohomish Manor,5514 Olympic Dr,Everett,WA,98201,(564) 933-2799,Snohomish,Puget Sound,47.994877643714624,-122.19104773879205,WA-ALF-60005,Active,"['Skilled Nursing', 'Independent Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187941,False
Olympic Snohomish Manor,1343 Pacific Ave,Everett,WA,98201,(206) 747-7424,Snohomish,Puget Sound,47.96151117740809,-122.2279032886963,WA-ALF-60006,Active,"['Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187956,False
Everett Heights Retirement,3184 Mountain View Rd,Everett,WA,98201,(509) 299-3985,Snohomish,Puget Sound,47.96307850394479,-122.16344882104433,WA-ALF-60007,Active,"['Independent Living', 'Adult Family Home', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187972,False
Everett Gardens Senior Community,5866 First Ave,Everett,WA,98201,(360) 553-3543,Snohomish,Puget Sound,47.98097664677587,-122.1768533164683,WA-ALF-60008,Active,"['Independent Living', 'Memory Care', 'Adult Family Home']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.187990,False
Everett Ridge Assisted Living,3067 Evergreen Dr,Everett,WA,98201,(253) 751-5499,Snohomish,Puget Sound,47.96413709710889,-122.20820422294308,WA-ALF-60009,Active,"['Memory Care', 'Independent Living', 'Adult Family Home']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,washington_government_records,2025-07-10T17:34:43.188003,False
