id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Mountain View Manor,1000 Main Street,Philippi,Barbour,WV,25001,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25001,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1064,-80.0854
2,Appalachian Village,1100 Mountain Avenue,Belington,Barbour,WV,25002,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25002,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1164,-80.0754
3,Coal Country Commons,1200 Appalachian Boulevard,Junior,Barbour,WV,25003,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25003,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1264,-80.0654
4,Mountaineer Village,1300 Coal Street,Moatsville,Barbour,WV,25004,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25004,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.136399999999995,-80.0554
5,Charleston Manor,1400 Mountaineer Drive,Audra,Barbour,WV,25005,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25005,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.barbour-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.1464,-80.0454
6,Mountain View Manor,1000 Main Street,Martinsburg,Berkeley,WV,25006,(304) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,20,WV-ALF-25006,West Virginia Department of Health and Human Resources,2024-03-01,80,True,True,True,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.406400000000005,-78.00540000000001
7,Appalachian Village,1100 Mountain Avenue,Hedgesville,Berkeley,WV,25007,(304) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,21,WV-ALF-25007,West Virginia Department of Health and Human Resources,2024-04-02,81,False,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4164,-77.9954
8,Coal Country Commons,1200 Appalachian Boulevard,Falling Waters,Berkeley,WV,25008,(304) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,22,WV-ALF-25008,West Virginia Department of Health and Human Resources,2024-05-03,82,False,True,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4264,-77.9854
9,Mountaineer Village,1300 Coal Street,Inwood,Berkeley,WV,25009,(304) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,23,WV-ALF-25009,West Virginia Department of Health and Human Resources,2024-06-04,83,True,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4364,-77.97540000000001
10,Charleston Manor,1400 Mountaineer Drive,Bunker Hill,Berkeley,WV,25010,(304) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,24,WV-ALF-25010,West Virginia Department of Health and Human Resources,2024-07-05,84,False,True,True,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.446400000000004,-77.9654
11,Huntington Commons,1500 Charleston Avenue,Martinsburg,Berkeley,WV,25011,(304) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,25,WV-ALF-25011,West Virginia Department of Health and Human Resources,2024-08-06,85,False,False,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4564,-77.9554
12,Morgantown Village,1600 Huntington Boulevard,Hedgesville,Berkeley,WV,25012,(304) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,26,WV-ALF-25012,West Virginia Department of Health and Human Resources,2024-09-07,86,True,True,False,https://www.berkeley-senior-living.com,Active,West Virginia Department of Health and Human Resources,2025-07-17,39.4664,-77.9454
