id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Badger State Manor,1000 Main Street,Friendship,Adams,WI,53001,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40001,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
2,Cheese Country Commons,1100 Wisconsin Avenue,Friendship,Adams,WI,53002,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40002,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
3,Northwoods Care,1200 State Street,Friendship,Adams,WI,53003,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40003,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
4,Dairyland Village,1300 Oak Street,Friendship,Adams,WI,53004,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40004,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
5,Wisconsin Rapids Manor,1400 Maple Avenue,Friendship,Adams,WI,53005,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40005,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
6,Great Lakes Commons,1500 Pine Street,Friendship,Adams,WI,53006,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40006,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
7,Badger State Manor,1000 Main Street,Ashland,Ashland,WI,53007,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40007,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
8,Cheese Country Commons,1100 Wisconsin Avenue,Ashland,Ashland,WI,53008,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40008,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
9,Northwoods Care,1200 State Street,Ashland,Ashland,WI,53009,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40009,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
10,Dairyland Village,1300 Oak Street,Ashland,Ashland,WI,53010,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40010,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
11,Wisconsin Rapids Manor,1400 Maple Avenue,Ashland,Ashland,WI,53011,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40011,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.ashland-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
