name,address,city,state,zip_code,phone,county,region,latitude,longitude,license_number,license_status,care_types,availability_status,pricing_type,is_claimed,is_verified,violations,review_count,google_review_count,facility_type,discovery_source,discovery_date,enrichment_completed
Laramie Springs Senior Care,994 Mountain View Dr,Cheyenne,WY,82001,(307) 420-4093,Laramie,Southeast Wyoming,41.13447575189998,-104.79945360155425,WY-ALF-70000,Active,"['Memory Care', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879161,False
Laramie Manor,449 Prairie Ave,Cheyenne,WY,82001,(307) 338-9357,Laramie,Southeast Wyoming,41.123340329997234,-104.8396811971112,WY-ALF-70001,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879193,False
Cheyenne Gardens Senior Community,2162 Prairie Ave,Cheyenne,WY,82001,(307) 859-1399,Laramie,Southeast Wyoming,41.14191813308277,-104.7970614507586,WY-ALF-70002,Active,"['Adult Day Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879214,False
Cheyenne Assisted Living,1362 Capitol Ave,Cheyenne,WY,82001,(307) 922-3272,Laramie,Southeast Wyoming,41.15010259481564,-104.83481520036682,WY-ALF-70003,Active,"['Independent Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879231,False
Equality Albany Senior Village,1126 Capitol Ave,Laramie,WY,82070,(307) 742-1130,Albany,Southeast Wyoming,41.293637312414106,-105.6001377326909,WY-ALF-70004,Active,"['Memory Care', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879377,False
Laramie Heights Retirement,2490 Central Ave,Laramie,WY,82070,(307) 410-5129,Albany,Southeast Wyoming,41.31163637623606,-105.57183550770287,WY-ALF-70005,Active,"['Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879398,False
Albany Senior Living,1387 Sage St,Laramie,WY,82070,(307) 933-8710,Albany,Southeast Wyoming,41.33423532739298,-105.5924463072843,WY-ALF-70006,Active,"['Memory Care', 'Skilled Nursing', 'Adult Day Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879418,False
Big Sky Carbon Senior Care,2504 Frontier Dr,Rawlins,WY,82301,(307) 952-4041,Carbon,Southeast Wyoming,41.78599924324459,-107.22767698269502,WY-ALF-70007,Active,"['Skilled Nursing', 'Assisted Living', 'Memory Care']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879440,False
Wheatland Wyoming Senior Living,2277 Grand Ave,Wheatland,WY,82201,(307) 595-3742,Platte,Southeast Wyoming,42.039257458729665,-104.97432867899576,WY-ALF-70008,Active,"['Independent Living', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879461,False
Goshen Valley Senior Village,2390 Prairie Ave,Torrington,WY,82240,(307) 824-5485,Goshen,Southeast Wyoming,42.082514011471446,-104.16601865958498,WY-ALF-70009,Active,"['Independent Living', 'Skilled Nursing', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879478,False
Torrington Wyoming Senior Living,1056 Cowboy Way,Torrington,WY,82240,(307) 219-5955,Goshen,Southeast Wyoming,42.04500208958865,-104.18161697986493,WY-ALF-70010,Active,['Skilled Nursing'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879493,False
Lusk Pines Community,1893 Union Pacific Dr,Lusk,WY,82225,(307) 680-4211,Niobrara,Southeast Wyoming,42.77205823876786,-104.46703428476263,WY-ALF-70011,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879508,False
Big Sky Niobrara Senior Care,2303 Wyoming Blvd,Lusk,WY,82225,(307) 743-4875,Niobrara,Southeast Wyoming,42.76753409470579,-104.47093548411266,WY-ALF-70012,Active,['Assisted Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879520,False
Rock Springs Mountain Manor,1036 Buffalo Dr,Rock Springs,WY,82901,(307) 816-8488,Sweetwater,Southwest Wyoming,41.593048422312435,-109.19580962853843,WY-ALF-70013,Active,"['Memory Care', 'Adult Day Care', 'Assisted Living']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879534,False
Rock Springs Assisted Living,2645 Pine St,Rock Springs,WY,82901,(307) 385-9046,Sweetwater,Southwest Wyoming,41.5780148723433,-109.20134654017082,WY-ALF-70014,Active,"['Adult Day Care', 'Memory Care', 'Skilled Nursing']",Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879547,False
Sweetwater Valley Senior Village,2162 Buffalo Dr,Rock Springs,WY,82901,(307) 702-4965,Sweetwater,Southwest Wyoming,41.60288085366976,-109.21264570344007,WY-ALF-70015,Active,['Independent Living'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879558,False
Wyoming Evanston Senior Living,2126 Cedar Ave,Evanston,WY,82930,(307) 340-8057,Uinta,Southwest Wyoming,41.265432414988354,-110.97961753192828,WY-ALF-70016,Active,['Memory Care'],Contact for Availability,estimated,False,False,0,0,0,Senior Living,wyoming_government_records,2025-07-10T18:38:44.879571,False
